Ncycle Converged Converging      T_r_converged       T_e_converged        hc_converged
------ --------- ---------- ------------------ ------------------- -------------------
     0     0.139        0.0 0.7883211678832117  0.5693430656934306 0.23357664233576642
     1     0.168        0.0 0.9854014598540146 0.18248175182481752  0.1897810218978102
     2     0.241      0.153                1.0 0.24087591240875914 0.38686131386861317
     3      0.38        0.0                1.0  0.3795620437956204 0.48905109489051096
     4     0.489        0.0                1.0 0.48905109489051096  0.5255474452554745
     5     0.504       0.08                1.0  0.5036496350364964  0.5766423357664233
     6      0.54      0.102                1.0  0.5401459854014599  0.6204379562043796
     7      0.62      0.117                1.0  0.6204379562043796  0.6715328467153284
     8     0.701      0.255                1.0  0.7007299270072993  0.7153284671532847
     9     0.752      0.197                1.0  0.7518248175182481   0.781021897810219
    10     0.752      0.197                1.0  0.7518248175182481   0.781021897810219
