Ncycle Converged Converging      T_r_converged       T_e_converged        hc_converged
------ --------- ---------- ------------------ ------------------- -------------------
     0     0.095        0.0 0.7664233576642335   0.291970802919708 0.24817518248175183
     1     0.088        0.0 0.9416058394160584 0.12408759124087591 0.19708029197080293
     2     0.168      0.036                1.0  0.1678832116788321 0.40145985401459855
     3     0.467        0.0                1.0 0.46715328467153283  0.5255474452554745
     4     0.533      0.073                1.0  0.5328467153284672  0.5620437956204379
     5     0.569      0.168                1.0  0.5693430656934306  0.5985401459854015
     6     0.591      0.175                1.0  0.5912408759124088  0.6642335766423357
     7     0.642      0.204                1.0  0.6423357664233577   0.708029197080292
     8      0.73      0.255                1.0  0.7299270072992701  0.7591240875912408
     9     0.781      0.241                1.0   0.781021897810219  0.8029197080291971
    10     0.781      0.241                1.0   0.781021897810219  0.8029197080291971
