Ncycle Converged Converging      T_r_converged        T_e_converged        hc_converged
------ --------- ---------- ------------------ -------------------- -------------------
     0     0.131        0.0 0.7737226277372263  0.17518248175182483 0.15328467153284672
     1     0.029        0.0 0.9051094890510949   0.0364963503649635  0.0364963503649635
     2     0.044        0.0                1.0 0.043795620437956206 0.31386861313868614
     3     0.307        0.0                1.0  0.30656934306569344 0.45985401459854014
     4     0.518      0.073                1.0   0.5182481751824818  0.5766423357664233
     5     0.562      0.248                1.0   0.5620437956204379  0.6496350364963503
     6      0.62      0.234                1.0   0.6204379562043796  0.7153284671532847
     7     0.701      0.307                1.0   0.7007299270072993  0.7737226277372263
     8     0.803       0.38                1.0   0.8029197080291971  0.8467153284671532
     9     0.883      0.431                1.0   0.8832116788321168  0.9416058394160584
    10     0.883      0.431                1.0   0.8832116788321168  0.9416058394160584
