#depth	C	C+	C+2	C+3	C+4	C+5	C+6	C[1]	C[2]	C[3]	C+[1]	C+[2]	CO
 5.00000e-02	0.00e+00	3.35e-45	1.66e-34	4.29e-25	7.77e-16	6.46e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.76e-151
 1.45000e-01	0.00e+00	3.36e-45	1.66e-34	4.30e-25	7.78e-16	6.46e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.77e-151
 2.30500e-01	0.00e+00	3.37e-45	1.66e-34	4.30e-25	7.79e-16	6.46e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.77e-151
 3.07450e-01	0.00e+00	3.37e-45	1.66e-34	4.30e-25	7.79e-16	6.46e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.77e-151
 3.76705e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 4.39034e-01	0.00e+00	3.38e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 4.95131e-01	0.00e+00	3.38e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 5.45618e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 5.91056e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 6.31951e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 6.68755e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 7.01880e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.46e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 7.31692e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 7.58523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 7.82670e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.04403e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.23963e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.41567e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.57410e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.71669e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.84502e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 8.96052e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.06523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.16523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.26523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.36523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.46523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.56523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.66523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	9.78e-151
 9.76523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	7.70e-151
 9.86523e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	7.50e-151
 9.95761e-01	0.00e+00	3.37e-45	1.67e-34	4.31e-25	7.79e-16	6.47e-08	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	5.90e-151
