#depth	Fe	Fe+	Fe+2	Fe+3	Fe+4	Fe+5	Fe+6	Fe+7	Fe+8	Fe+9	Fe+10	Fe+11	Fe+12	Fe+13	Fe+14	Fe+15	Fe+16	Fe+17	Fe+18	Fe+19	Fe+20	Fe+21	Fe+22	Fe+23	Fe+24	Fe+25	Fe+26
 5.00000e-02	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.87e-42	1.86e-36	2.75e-31	2.41e-26	5.42e-22	3.68e-17	2.50e-12	7.48e-08	4.44e-04	1.00e+00
 1.45000e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.88e-42	1.86e-36	2.77e-31	2.42e-26	5.44e-22	3.69e-17	2.50e-12	7.49e-08	4.45e-04	1.00e+00
 2.30500e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.89e-42	1.87e-36	2.77e-31	2.43e-26	5.45e-22	3.70e-17	2.50e-12	7.50e-08	4.45e-04	1.00e+00
 3.07450e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.87e-36	2.77e-31	2.43e-26	5.45e-22	3.70e-17	2.50e-12	7.50e-08	4.45e-04	1.00e+00
 3.76705e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.88e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.50e-08	4.45e-04	1.00e+00
 4.39034e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.88e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.51e-08	4.45e-04	1.00e+00
 4.95131e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.88e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.51e-08	4.45e-04	1.00e+00
 5.45618e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.88e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.50e-08	4.45e-04	1.00e+00
 5.91056e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.87e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.50e-08	4.45e-04	1.00e+00
 6.31951e-01	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.90e-42	1.87e-36	2.78e-31	2.43e-26	5.46e-22	3.70e-17	2.51e-12	7.50e-08	4.45e-04	1.00e+00
