#depth	C	C+	C+2	C+3	C+4	C+5	C+6	C[1]	C[2]	C[3]	C+[1]	C+[2]	CO
 5.00000e-02	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.18e-172
 1.45000e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	3.70e-173
 2.30500e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.16e-173
 3.07450e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	3.66e-174
 3.76705e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	6.44e-175
 4.39034e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.13e-175
 4.95131e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	2.00e-176
 5.45618e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	6.28e-177
 5.91056e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.98e-177
 6.31951e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	6.21e-178
 6.68755e-01	0.00e+00	0.00e+00	0.00e+00	2.61e-31	2.80e-20	1.72e-10	1.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	0.00e+00	1.95e-178
