i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- --------
1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08    0.986   0.0136 5.81e-06 9.21e-09 5.96e-12 1.71e-18    1e-20
1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.645    0.352  0.00244 7.62e-06 9.55e-08 1.03e-12 2.12e-18
1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05    0.605    0.392  0.00318 1.01e-05 1.48e-07  1.9e-12  4.6e-18
1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.562    0.434  0.00413 1.34e-05 2.28e-07 3.49e-12    1e-17
1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.517    0.477  0.00535 1.77e-05 3.52e-07 6.41e-12  2.2e-17
1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04    0.472    0.521   0.0069 2.33e-05 5.44e-07 1.18e-11 4.85e-17
1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04    0.426    0.565  0.00887 3.09e-05  8.4e-07 2.19e-11 1.07e-16
1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04     0.38    0.609   0.0114 4.09e-05  1.3e-06 4.08e-11 2.41e-16
1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.335    0.651   0.0146 5.44e-05 2.01e-06 7.63e-11 5.45e-16
1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04    0.291     0.69   0.0186 7.26e-05 3.12e-06 1.44e-10 1.25e-15
1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04     0.25    0.726   0.0237 9.78e-05 4.88e-06 2.75e-10 2.92e-15
1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04    0.212    0.758   0.0301 0.000133 7.66e-06 5.33e-10 6.97e-15
1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04    0.176    0.785   0.0384 0.000183 1.21e-05 1.05e-09  1.7e-14
1        0 2.170e+03 7.100e+07 1.780e-05 1.310e-03    0.144    0.807   0.0489 0.000255 1.94e-05  2.1e-09 4.27e-14
1        0 2.250e+03 7.100e+07 2.410e-05 1.770e-03    0.116    0.821   0.0625 0.000362 3.15e-05 4.31e-09 1.11e-13
1        0 2.350e+03 7.100e+07 3.260e-05 2.400e-03   0.0914    0.828   0.0799 0.000526 5.18e-05 9.07e-09 2.98e-13
1        0 2.460e+03 7.100e+07 4.410e-05 3.250e-03   0.0705    0.826    0.102 0.000782 8.65e-05 1.96e-08 8.31e-13
1        0 2.590e+03 7.100e+07 5.970e-05 4.400e-03    0.053    0.814    0.131  0.00119 0.000147 4.37e-08 2.43e-12
1        0 2.740e+03 7.100e+07 8.070e-05 5.940e-03   0.0389    0.791    0.168  0.00186 0.000252 9.94e-08 7.34e-12
1        0 2.910e+03 7.100e+07 1.090e-04 8.040e-03   0.0278    0.754    0.215  0.00295 0.000438 2.32e-07  2.3e-11
1        0 3.120e+03 7.100e+07 1.480e-04 1.090e-02   0.0192    0.703    0.272  0.00479 0.000772 5.58e-07 7.52e-11
1        0 3.390e+03 7.100e+07 2.000e-04 1.470e-02   0.0128    0.637    0.341  0.00787  0.00137 1.37e-06 2.54e-10
1        0 3.730e+03 7.100e+07 2.710e-04 1.990e-02  0.00821    0.557    0.419    0.013  0.00245 3.42e-06 8.91e-10
1        0 4.180e+03 7.100e+07 3.660e-04 2.700e-02  0.00501    0.466    0.502   0.0217   0.0044 8.77e-06 3.24e-09
1        0 4.830e+03 7.100e+07 4.960e-04 3.650e-02  0.00288    0.369    0.584   0.0363  0.00805 2.34e-05 1.26e-08
1        0 5.770e+03 7.100e+07 6.700e-04 4.930e-02  0.00155    0.274    0.649   0.0605    0.015 6.47e-05 5.16e-08
1        0 1.580e+04 7.100e+07 9.070e-04 6.680e-02 0.000493    0.128    0.661    0.151   0.0587 0.000646 1.28e-06
1        0 1.660e+04 7.100e+07 1.230e-03 9.040e-02 0.000273   0.0904    0.629    0.189   0.0902  0.00137 3.77e-06
1        0 1.720e+04 7.100e+07 1.660e-03 1.220e-01 0.000145   0.0615    0.575    0.226    0.135  0.00283 1.07e-05
1        0 1.780e+04 7.100e+07 2.250e-03 1.650e-01 7.41e-05     0.04    0.501    0.259    0.195  0.00562 2.92e-05
1        0 1.840e+04 7.100e+07 3.040e-03 2.240e-01 3.61e-05   0.0248    0.413    0.281     0.27   0.0108 7.68e-05
1        0 1.900e+04 7.100e+07 4.110e-03 3.030e-01 1.68e-05   0.0145    0.321    0.285    0.359   0.0197 0.000194
1        0 1.980e+04 7.100e+07 5.570e-03 4.100e-01  7.5e-06  0.00804    0.235     0.27    0.452   0.0344 0.000469
1        0 2.070e+04 7.100e+07 7.530e-03 5.540e-01 3.23e-06  0.00423    0.161    0.239    0.538   0.0569  0.00108
1        0 2.170e+04 7.100e+07 1.020e-02 7.500e-01 1.34e-06  0.00212    0.104    0.198    0.605   0.0893  0.00235
1        0 2.280e+04 7.100e+07 1.380e-02 1.020e+00 5.32e-07  0.00101   0.0631    0.154    0.644    0.133  0.00488
1        0 2.390e+04 7.100e+07 1.870e-02 1.370e+00 2.01e-07 0.000461   0.0363    0.113    0.653    0.188   0.0096
1        0 2.500e+04 7.100e+07 2.520e-02 1.860e+00 7.21e-08   0.0002   0.0198   0.0795     0.63    0.252    0.018
1        0 2.630e+04 7.100e+07 3.420e-02 2.510e+00 2.51e-08 8.37e-05   0.0103   0.0527     0.58    0.325   0.0323
1        0 2.780e+04 7.100e+07 4.620e-02 3.400e+00 8.56e-09 3.38e-05  0.00505    0.033    0.507    0.399   0.0557
1        0 2.970e+04 7.100e+07 6.250e-02 4.600e+00 2.86e-09 1.32e-05  0.00234   0.0193    0.419    0.467    0.092
1        0 3.240e+04 7.100e+07 8.460e-02 6.230e+00 9.47e-10 4.94e-06  0.00101   0.0104    0.325    0.518    0.146
1        0 3.600e+04 7.100e+07 1.140e-01 8.430e+00 3.02e-10 1.76e-06 0.000399  0.00513    0.233    0.541    0.221
1        0 4.150e+04 7.100e+07 1.550e-01 1.140e+01 8.93e-11 5.72e-07  0.00014  0.00224    0.152    0.526    0.319
1        0 4.970e+04 7.100e+07 2.100e-01 1.540e+01 2.24e-11 1.59e-07 4.15e-05  0.00085   0.0894    0.473    0.437
1        0 6.330e+04 7.100e+07 2.840e-01 2.090e+01 4.05e-12 3.35e-08 9.71e-06 0.000268   0.0458    0.387    0.567
1        0 8.250e+04 7.100e+07 3.840e-01 2.820e+01 4.75e-13 5.09e-09 1.85e-06  7.5e-05   0.0212    0.291    0.688
1        0 1.030e+05 7.100e+07 5.190e-01 3.820e+01 4.51e-14 6.74e-10 3.42e-07 2.12e-05  0.00967     0.21     0.78
1        0 1.240e+05 7.100e+07 7.020e-01 5.170e+01 4.09e-15 8.77e-11 6.47e-08 6.24e-06  0.00444    0.149    0.847
1        0 1.360e+05 7.100e+07 9.500e-01 7.000e+01 4.99e-16  1.5e-11 1.54e-08 2.17e-06  0.00225    0.109    0.889
1        0 1.450e+05 7.100e+07 1.290e+00 9.470e+01 6.75e-17 2.74e-12 3.91e-09 7.86e-07  0.00116   0.0794    0.919
1        0 1.710e+05 7.100e+07 1.740e+00 1.280e+02 5.38e-19  3.3e-13  7.1e-10 2.26e-07 0.000517   0.0538    0.946
1        0 2.210e+05 7.100e+07 2.350e+00 1.730e+02 2.85e-18 2.55e-14 9.19e-11 5.22e-08 0.000201    0.034    0.966
1        0 2.710e+05 7.100e+07 3.190e+00 2.350e+02 1.04e-18 2.34e-15 1.37e-11 1.34e-08  8.3e-05   0.0221    0.978
1        0 3.150e+05 7.100e+07 4.310e+00 3.170e+02    1e-20 2.66e-16 2.48e-12 3.89e-09 3.69e-05   0.0148    0.985
1        1 3.010e+05 7.100e+07 5.830e+00 4.290e+02  8.4e-19 8.31e-17 8.91e-13 1.76e-09 2.15e-05   0.0113    0.989
1        0 3.030e+05 7.100e+07 7.890e+00 5.810e+02 1.81e-19 1.84e-17 2.66e-13 7.07e-10 1.17e-05  0.00836    0.992
1        0 3.400e+05 7.100e+07 1.070e+01 7.860e+02  2.3e-19 4.01e-18 5.35e-14 2.21e-10 5.41e-06   0.0057    0.994
1        0 3.560e+05 7.100e+07 1.440e+01 1.060e+03 4.17e-19 3.61e-18 1.39e-14 8.13e-11 2.77e-06  0.00409    0.996
1        1 2.310e+05 7.100e+07 1.950e+01 1.440e+03    1e-20    1e-20 1.83e-14  8.7e-11 2.82e-06   0.0041    0.996
1        0 2.570e+05 7.100e+07 2.640e+01 1.950e+03 8.82e-20  7.7e-19 3.84e-15 2.77e-11 1.33e-06  0.00282    0.997
1        0 3.590e+05 7.100e+07 3.580e+01 2.630e+03 4.05e-19 3.13e-18 3.88e-16 5.33e-12 4.49e-07  0.00165    0.998
1        0 6.840e+05 7.100e+07 4.840e+01 3.570e+03    1e-20    1e-20 9.93e-18    1e-12 1.11e-07 0.000758    0.999
1        0 1.870e+06 7.100e+07 6.550e+01 4.820e+03    1e-20    1e-20    1e-20 7.79e-13 4.96e-08 0.000256      1.0
1        0 3.440e+06 7.100e+07 8.860e+01 6.530e+03 6.54e-20 5.02e-19 3.33e-18  1.6e-13 1.57e-08 0.000113      1.0
1        0 5.340e+06 7.100e+07 1.200e+02 8.830e+03 5.54e-20 4.26e-19 2.63e-18 2.45e-14 4.46e-09 5.66e-05      1.0
1        0 7.430e+06 7.100e+07 1.620e+02 1.190e+04    1e-20    1e-20    1e-20 3.99e-15 1.35e-09 3.09e-05      1.0
1        0 9.360e+06 7.100e+07 2.200e+02 1.620e+04    1e-20 5.85e-20  3.6e-19 8.05e-16 4.72e-10 1.84e-05      1.0
1        1 1.060e+07 7.100e+07 2.970e+02 2.190e+04    1e-20    1e-20    1e-20 2.19e-16 2.01e-10 1.21e-05      1.0
1        2 1.060e+07 7.100e+07 4.020e+02 2.960e+04    1e-20    1e-20    1e-20 7.54e-17  1.1e-10 8.93e-06      1.0
1        2 1.060e+07 7.100e+07 5.440e+02 4.010e+04    1e-20 1.91e-20 1.18e-19 3.66e-17 6.03e-11 6.61e-06      1.0
1        2 1.060e+07 7.100e+07 7.360e+02 5.420e+04    1e-20    1e-20    1e-20 1.26e-17  3.3e-11 4.89e-06      1.0
1        2 1.060e+07 7.100e+07 9.960e+02 7.330e+04    1e-20    1e-20    1e-20 5.22e-18 1.81e-11 3.62e-06      1.0
1        2 1.060e+07 7.100e+07 1.350e+03 9.920e+04    1e-20    1e-20    1e-20 4.72e-19 9.89e-12 2.68e-06      1.0
1        2 1.060e+07 7.100e+07 1.820e+03 1.340e+05    1e-20 7.63e-20  4.7e-19 2.65e-18 5.41e-12 1.98e-06      1.0
1        2 1.060e+07 7.100e+07 2.470e+03 1.820e+05    1e-20    1e-20    1e-20    1e-20 2.96e-12 1.46e-06      1.0
1        2 1.060e+07 7.100e+07 3.340e+03 2.460e+05    1e-20    1e-20    1e-20 1.58e-19 1.62e-12 1.08e-06      1.0
1        2 1.060e+07 7.100e+07 4.520e+03 3.320e+05    1e-20    1e-20    1e-20  6.4e-20 8.83e-13    8e-07      1.0
1        2 1.060e+07 7.100e+07 6.110e+03 4.500e+05    1e-20    1e-20    1e-20 2.58e-20 4.82e-13 5.91e-07      1.0
1        2 1.060e+07 7.100e+07 8.270e+03 6.090e+05    1e-20    1e-20    1e-20 1.04e-20 2.63e-13 4.37e-07      1.0
1        2 1.060e+07 7.100e+07 1.120e+04 8.230e+05    1e-20    1e-20    1e-20    1e-20 1.44e-13 3.23e-07      1.0
1        2 1.060e+07 7.100e+07 1.510e+04 1.110e+06    1e-20    1e-20    1e-20    1e-20 7.87e-14 2.39e-07      1.0
1        2 1.060e+07 7.100e+07 2.050e+04 1.510e+06    1e-20    1e-20    1e-20    1e-20  4.3e-14 1.76e-07      1.0
1        2 1.060e+07 7.100e+07 2.770e+04 2.040e+06    1e-20    1e-20    1e-20    1e-20 2.35e-14  1.3e-07      1.0
1        2 1.060e+07 7.100e+07 3.750e+04 2.760e+06    1e-20    1e-20    1e-20    1e-20 1.28e-14 9.64e-08      1.0
1        2 1.060e+07 7.100e+07 5.070e+04 3.730e+06    1e-20    1e-20    1e-20    1e-20 7.01e-15 7.12e-08      1.0
1        2 1.060e+07 7.100e+07 6.860e+04 5.050e+06    1e-20    1e-20    1e-20    1e-20 3.82e-15 5.26e-08      1.0
1        2 1.060e+07 7.100e+07 9.290e+04 6.840e+06    1e-20    1e-20    1e-20    1e-20 2.09e-15 3.89e-08      1.0
1        2 1.060e+07 7.100e+07 1.260e+05 9.250e+06    1e-20    1e-20    1e-20    1e-20 1.14e-15 2.88e-08      1.0
1        2 1.060e+07 7.100e+07 1.700e+05 1.250e+07    1e-20    1e-20    1e-20    1e-20 6.23e-16 2.13e-08      1.0
1        2 1.060e+07 7.100e+07 2.300e+05 1.690e+07    1e-20    1e-20    1e-20    1e-20  3.4e-16 1.57e-08      1.0
