i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08     0.98   0.0195 0.000151 7.84e-06 6.07e-07 9.13e-08  1.4e-08 1.18e-09 2.22e-11 8.82e-13 3.37e-14    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.524    0.429   0.0446  0.00179 9.93e-05 9.35e-06 1.02e-06 4.41e-08 6.19e-10 2.29e-11 7.97e-13 1.03e-17 5.15e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05    0.476    0.465    0.057  0.00253 0.000134 1.24e-05 1.28e-06 5.25e-08 7.25e-10 2.64e-11 8.98e-13 1.44e-17 7.08e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.426    0.498   0.0724  0.00358 0.000183 1.67e-05  1.6e-06 6.26e-08 8.49e-10 3.06e-11 1.01e-12 2.02e-17 9.77e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.377    0.527   0.0912  0.00508 0.000252 2.27e-05 2.02e-06 7.48e-08 9.93e-10 3.54e-11 1.14e-12 2.86e-17 1.35e-19 1.04e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04    0.328    0.551    0.114  0.00724  0.00035 3.13e-05 2.54e-06 8.97e-08 1.16e-09 4.11e-11  1.3e-12 4.07e-17 1.88e-19 1.45e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04     0.28    0.568    0.141   0.0103 0.000493 4.35e-05 3.22e-06 1.08e-07 1.36e-09 4.81e-11 1.49e-12 5.83e-17 2.62e-19 2.02e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04    0.235    0.577    0.173   0.0147 0.000705 6.14e-05 4.09e-06  1.3e-07 1.58e-09 5.66e-11 1.74e-12 8.41e-17 3.69e-19 2.87e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.193    0.576    0.209   0.0209  0.00102 8.76e-05 5.22e-06 1.57e-07 1.84e-09 6.73e-11 2.07e-12 1.23e-16 5.25e-19 4.12e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04    0.154    0.565     0.25   0.0297   0.0015 0.000127 6.71e-06 1.92e-07 2.14e-09 8.11e-11 2.55e-12 1.81e-16 7.56e-19 6.04e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04     0.12    0.541    0.294    0.042  0.00224 0.000186 8.72e-06 2.36e-07  2.5e-09 9.95e-11 3.27e-12 2.72e-16 1.11e-18 9.07e-20 1.49e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04   0.0903    0.506    0.341   0.0589  0.00339 0.000278 1.15e-05 2.95e-07 2.92e-09 1.25e-10 4.42e-12 4.18e-16 1.68e-18  1.4e-19 2.42e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04   0.0655     0.46    0.387    0.082  0.00521 0.000423 1.54e-05 3.75e-07 3.44e-09 1.61e-10 6.31e-12  6.6e-16 2.63e-18 2.25e-19 4.19e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.170e+03 7.100e+07 1.780e-05 1.310e-03   0.0456    0.405    0.428    0.113   0.0081 0.000652 2.13e-05 4.89e-07 4.13e-09 2.14e-10 9.46e-12 1.08e-15 4.31e-18 3.77e-19  7.7e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.250e+03 7.100e+07 2.410e-05 1.770e-03   0.0301    0.342    0.461    0.153   0.0127  0.00102 3.04e-05 6.63e-07 5.11e-09 2.96e-10 1.49e-11 1.86e-15 7.52e-18 6.62e-19  1.5e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.350e+03 7.100e+07 3.260e-05 2.400e-03   0.0188    0.276    0.481    0.203     0.02  0.00164 4.55e-05 9.45e-07 6.63e-09 4.26e-10 2.41e-11 3.39e-15  1.4e-17 1.22e-18 3.04e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.460e+03 7.100e+07 4.410e-05 3.250e-03    0.011    0.212    0.481    0.262   0.0315  0.00266 7.18e-05 1.43e-06  9.2e-09 6.41e-10 4.02e-11  6.6e-15 2.79e-17 2.39e-18 6.41e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.590e+03 7.100e+07 5.970e-05 4.400e-03  0.00595    0.152    0.459    0.328   0.0493  0.00439 0.000121 2.32e-06  1.4e-08 1.01e-09 6.83e-11 1.39e-14 5.97e-17 4.94e-18 1.39e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.740e+03 7.100e+07 8.070e-05 5.940e-03  0.00299    0.103    0.416    0.395   0.0756   0.0073 0.000216    4e-06 2.33e-08 1.67e-09 1.17e-10 3.14e-14 1.35e-16 1.07e-17 3.09e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.910e+03 7.100e+07 1.090e-04 8.040e-03  0.00137   0.0644    0.354    0.454    0.113   0.0122 0.000406 7.36e-06 4.26e-08 2.89e-09 2.01e-10 7.58e-14 3.23e-16 2.46e-17    7e-18 1.06e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.120e+03 7.100e+07 1.480e-04 1.090e-02 0.000568    0.037    0.282    0.495    0.165   0.0206 0.000801 1.43e-05 8.46e-08 5.31e-09 3.52e-10 1.96e-13  8.2e-16 6.03e-17 1.63e-17 3.68e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.390e+03 7.100e+07 2.000e-04 1.470e-02 0.000211   0.0194    0.208    0.507    0.229   0.0346  0.00164 2.91e-05 1.79e-07 1.05e-08 6.25e-10 5.34e-13 2.21e-15 1.59e-16  3.9e-17 1.37e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.730e+03 7.100e+07 2.710e-04 1.990e-02 6.96e-05   0.0092    0.141    0.485    0.304   0.0574  0.00343 6.16e-05 3.97e-07 2.25e-08 1.14e-09 1.53e-12 6.34e-15  4.6e-16 9.73e-17 5.49e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 4.180e+03 7.100e+07 3.660e-04 2.700e-02    2e-05  0.00387   0.0862    0.428    0.381   0.0936  0.00728 0.000135 9.15e-07 5.28e-08 2.17e-09 4.65e-12 1.95e-14 1.46e-15 2.55e-16 2.35e-18 2.44e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 4.830e+03 7.100e+07 4.960e-04 3.650e-02 4.79e-06   0.0014   0.0468    0.344    0.444    0.149   0.0157 0.000313 2.19e-06 1.37e-07 4.38e-09 1.51e-11 6.49e-14 5.19e-15 7.08e-16  1.1e-17 1.05e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.770e+03 7.100e+07 6.700e-04 4.930e-02 9.59e-07 0.000427    0.022    0.245    0.473    0.225   0.0335 0.000749 5.39e-06 3.82e-07 9.35e-09  5.2e-11 2.33e-13 2.03e-14 2.07e-15 5.51e-17 4.93e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.580e+04 7.100e+07 9.070e-04 6.680e-02 1.09e-07 1.44e-05  0.00227   0.0706    0.353    0.416    0.154  0.00404 3.42e-05 3.89e-06  5.3e-08  6.2e-10  4.6e-12 4.68e-13 1.58e-14 1.13e-15 1.55e-17 2.92e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.660e+04 7.100e+07 1.230e-03 9.040e-02 2.43e-08 4.23e-06 0.000929   0.0401    0.278    0.448    0.226  0.00728 6.65e-05  8.1e-06 9.87e-08 1.59e-09 1.25e-11 1.36e-12 4.06e-14 3.96e-15 5.77e-17 1.11e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
