i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08    0.983   0.0168 6.92e-06 7.33e-09 3.44e-13 1.25e-15 3.57e-20    1e-20    1e-20
1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.603    0.391  0.00555 1.62e-05 1.17e-08 1.05e-10 4.67e-14 7.03e-20    1e-20
1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05    0.561    0.431  0.00728 2.37e-05 1.84e-08 1.82e-10 8.76e-14 1.57e-19    1e-20
1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.518    0.473  0.00951 3.48e-05 2.91e-08 3.18e-10 1.65e-13 3.51e-19    1e-20
1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.473    0.515   0.0124 5.12e-05  4.6e-08 5.58e-10 3.13e-13  7.9e-19    1e-20
1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04    0.428    0.556    0.016 7.58e-05 7.29e-08 9.89e-10 5.96e-13  1.8e-18    1e-20
1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04    0.383    0.597   0.0207 0.000113 1.16e-07 1.76e-09 1.14e-12 4.14e-18    1e-20
1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04    0.338    0.635   0.0266 0.000169 1.85e-07 3.18e-09 2.22e-12 9.69e-18    1e-20
1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.295     0.67   0.0341 0.000253 2.98e-07  5.8e-09 4.37e-12  2.3e-17    1e-20
1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04    0.254    0.702   0.0435 0.000384 4.84e-07 1.07e-08 8.71e-12 5.58e-17    1e-20
1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04    0.216    0.728   0.0554 0.000585 7.96e-07    2e-08 1.78e-11 1.39e-16    1e-20
1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04     0.18    0.748   0.0704 0.000901 1.33e-06 3.79e-08  3.7e-11 3.57e-16    1e-20
1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04    0.148    0.761   0.0893   0.0014 2.26e-06 7.32e-08 7.94e-11  9.5e-16    1e-20
1        0 2.170e+03 7.100e+07 1.780e-05 1.310e-03    0.119    0.766    0.113  0.00219 3.93e-06 1.44e-07 1.76e-10 2.63e-15    1e-20
1        0 2.250e+03 7.100e+07 2.410e-05 1.770e-03   0.0933    0.761    0.143  0.00346    7e-06 2.89e-07 4.04e-10 7.64e-15 3.48e-20
1        0 2.350e+03 7.100e+07 3.260e-05 2.400e-03   0.0714    0.744    0.179  0.00553 1.28e-05 5.92e-07 9.64e-10 2.33e-14 1.36e-19
1        0 2.460e+03 7.100e+07 4.410e-05 3.250e-03    0.053    0.714    0.224  0.00888 2.42e-05 1.24e-06 2.39e-09  7.5e-14 5.63e-19
1        0 2.590e+03 7.100e+07 5.970e-05 4.400e-03   0.0379     0.67    0.278   0.0144 4.71e-05 2.64e-06 6.24e-09 2.56e-13 2.53e-18
1        0 2.740e+03 7.100e+07 8.070e-05 5.940e-03   0.0262    0.612    0.339    0.023 9.33e-05 5.68e-06 1.67e-08 9.08e-13 1.19e-17
1        0 2.910e+03 7.100e+07 1.090e-04 8.040e-03   0.0173    0.541    0.405   0.0367 0.000188 1.23e-05  4.6e-08 3.36e-12 5.89e-17
1        0 3.120e+03 7.100e+07 1.480e-04 1.090e-02   0.0108    0.459    0.472   0.0575 0.000386 2.68e-05 1.31e-07  1.3e-11  3.1e-16
