i converge       t_e       t_r        ip        xi      i01      i02      i03
- -------- --------- --------- --------- --------- -------- -------- --------
1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08    0.993  0.00653 3.94e-07
1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.806    0.194 0.000428
1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05    0.778    0.221 0.000579
1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.747    0.252 0.000783
1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.713    0.286  0.00106
1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04    0.675    0.323  0.00142
1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04    0.635    0.363  0.00191
1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04    0.591    0.407  0.00257
1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.545    0.452  0.00345
1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04    0.496    0.499  0.00462
1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04    0.446    0.548  0.00619
1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04    0.395    0.596  0.00828
1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04    0.345    0.644   0.0111
1        0 2.170e+03 7.100e+07 1.780e-05 1.310e-03    0.296    0.689   0.0148
1        0 2.250e+03 7.100e+07 2.410e-05 1.770e-03    0.249    0.731   0.0198
1        0 2.350e+03 7.100e+07 3.260e-05 2.400e-03    0.205    0.768   0.0265
1        0 2.460e+03 7.100e+07 4.410e-05 3.250e-03    0.166    0.799   0.0355
1        0 2.590e+03 7.100e+07 5.970e-05 4.400e-03     0.13    0.822   0.0478
1        0 2.740e+03 7.100e+07 8.070e-05 5.940e-03    0.101    0.835   0.0641
1        0 2.910e+03 7.100e+07 1.090e-04 8.040e-03   0.0755    0.838    0.086
1        0 3.120e+03 7.100e+07 1.480e-04 1.090e-02   0.0552     0.83    0.115
1        0 3.390e+03 7.100e+07 2.000e-04 1.470e-02   0.0392    0.807    0.154
1        0 3.730e+03 7.100e+07 2.710e-04 1.990e-02   0.0269    0.769    0.204
1        0 4.180e+03 7.100e+07 3.660e-04 2.700e-02   0.0177    0.715    0.268
1        0 4.830e+03 7.100e+07 4.960e-04 3.650e-02   0.0111    0.642    0.347
1        0 5.770e+03 7.100e+07 6.700e-04 4.930e-02  0.00652    0.554     0.44
1        0 1.580e+04 7.100e+07 9.070e-04 6.680e-02  0.00155    0.343    0.655
1        0 1.660e+04 7.100e+07 1.230e-03 9.040e-02 0.000903    0.275    0.724
1        0 1.720e+04 7.100e+07 1.660e-03 1.220e-01 0.000519    0.216    0.784
1        0 1.780e+04 7.100e+07 2.250e-03 1.650e-01 0.000294    0.167    0.833
1        0 1.840e+04 7.100e+07 3.040e-03 2.240e-01 0.000164    0.127    0.873
1        0 1.900e+04 7.100e+07 4.110e-03 3.030e-01    9e-05   0.0956    0.904
1        0 1.980e+04 7.100e+07 5.570e-03 4.100e-01 4.86e-05    0.071    0.929
1        0 2.070e+04 7.100e+07 7.530e-03 5.540e-01  2.6e-05   0.0522    0.948
1        0 2.170e+04 7.100e+07 1.020e-02 7.500e-01 1.37e-05    0.038    0.962
1        0 2.280e+04 7.100e+07 1.380e-02 1.020e+00 7.21e-06   0.0276    0.972
1        0 2.390e+04 7.100e+07 1.870e-02 1.370e+00 3.79e-06     0.02     0.98
1        0 2.500e+04 7.100e+07 2.520e-02 1.860e+00 1.98e-06   0.0144    0.986
1        0 2.630e+04 7.100e+07 3.420e-02 2.510e+00 1.03e-06   0.0104     0.99
1        0 2.780e+04 7.100e+07 4.620e-02 3.400e+00 5.33e-07  0.00741    0.993
1        0 2.970e+04 7.100e+07 6.250e-02 4.600e+00 2.71e-07  0.00525    0.995
1        0 3.240e+04 7.100e+07 8.460e-02 6.230e+00 1.34e-07  0.00368    0.996
1        0 3.600e+04 7.100e+07 1.140e-01 8.430e+00 6.47e-08  0.00253    0.997
1        0 4.150e+04 7.100e+07 1.550e-01 1.140e+01 2.99e-08  0.00171    0.998
1        0 4.970e+04 7.100e+07 2.100e-01 1.540e+01 1.31e-08  0.00111    0.999
1        0 6.330e+04 7.100e+07 2.840e-01 2.090e+01 5.27e-09 0.000696    0.999
1        0 8.250e+04 7.100e+07 3.840e-01 2.820e+01  2.1e-09 0.000426      1.0
