i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- --------
1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08    0.991  0.00876 5.98e-06 4.47e-09 2.95e-12  1.3e-15    1e-20    1e-20
1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.744    0.252  0.00425 7.31e-06 7.61e-08 8.35e-11 3.11e-16    1e-20
1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05     0.71    0.285  0.00569 1.05e-05 1.21e-07 1.43e-10 6.31e-16    1e-20
1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.673     0.32  0.00761 1.51e-05 1.91e-07 2.46e-10 1.29e-15    1e-20
1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.633    0.357   0.0101 2.19e-05 3.03e-07 4.27e-10 2.67e-15    1e-20
1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04     0.59    0.397   0.0135  3.2e-05 4.82e-07  7.5e-10  5.6e-15    1e-20
1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04    0.544    0.438   0.0179  4.7e-05 7.64e-07 1.33e-09 1.19e-14 2.31e-20
1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04    0.497    0.479   0.0236 6.94e-05 1.21e-06 2.37e-09 2.56e-14 5.99e-20
1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.448    0.521   0.0311 0.000103 1.93e-06 4.29e-09 5.59e-14 1.58e-19
1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04    0.399     0.56   0.0407 0.000154 3.08e-06 7.83e-09 1.24e-13 4.26e-19
1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04     0.35    0.597   0.0532 0.000233 4.92e-06 1.45e-08 2.82e-13 1.18e-18
1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04    0.301    0.629   0.0693 0.000353 7.91e-06 2.73e-08 6.52e-13 3.37e-18
1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04    0.255    0.655   0.0899  0.00054 1.28e-05 5.21e-08 1.54e-12 9.91e-18
