i converge       t_e       t_r        ip        xi      i01   i02
- -------- --------- --------- --------- --------- -------- -----
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.815 0.185
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.789 0.211
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.759 0.241
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.725 0.275
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.688 0.312
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.647 0.353
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04    0.603 0.397
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04    0.555 0.445
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04    0.506 0.494
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04    0.454 0.546
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.402 0.598
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04    0.353 0.647
1        3 7.650e+03 7.090e+07 1.780e-05 1.310e-03    0.302 0.698
1        3 7.650e+03 7.090e+07 2.410e-05 1.770e-03    0.254 0.746
1        3 7.650e+03 7.090e+07 3.260e-05 2.400e-03     0.21  0.79
1        3 7.650e+03 7.090e+07 4.420e-05 3.250e-03     0.17  0.83
1        1 8.610e+03 7.090e+07 5.970e-05 4.390e-03    0.129 0.871
1        3 1.040e+04 7.090e+07 8.080e-05 5.940e-03   0.0914 0.909
1        3 1.040e+04 7.090e+07 1.090e-04 8.040e-03   0.0713 0.929
1        3 1.040e+04 7.090e+07 1.480e-04 1.090e-02   0.0543 0.946
1        3 1.040e+04 7.090e+07 2.000e-04 1.470e-02   0.0414 0.959
1        3 1.040e+04 7.090e+07 2.710e-04 1.990e-02   0.0309 0.969
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02    0.023 0.977
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02   0.0171 0.983
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02    0.013 0.987
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02  0.00965  0.99
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02  0.00718 0.993
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01  0.00534 0.995
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01  0.00403 0.996
