i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- --------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.671     0.32  0.00932 1.14e-05 1.25e-07 2.37e-10 1.54e-15    1e-20
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.634    0.354   0.0121 1.63e-05 1.89e-07 3.96e-10 3.01e-15    1e-20
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.591    0.393   0.0159  2.4e-05 2.98e-07 6.98e-10 6.33e-15 1.21e-20
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.545    0.434    0.021 3.55e-05 4.69e-07 1.24e-09 1.34e-14 3.07e-20
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.498    0.474   0.0274 5.28e-05 7.38e-07 2.21e-09 2.86e-14 7.86e-20
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04     0.45    0.515   0.0357 7.88e-05 1.16e-06 3.98e-09  6.2e-14 2.05e-19
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04      0.4    0.553   0.0463 0.000118 1.82e-06 7.24e-09 1.36e-13 5.43e-19
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04    0.351    0.589   0.0599 0.000179 2.88e-06 1.33e-08 3.04e-13 1.47e-18
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04    0.303     0.62   0.0769 0.000272 4.55e-06 2.48e-08 6.91e-13 4.08e-18
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04    0.256    0.645   0.0984 0.000415 7.21e-06 4.67e-08  1.6e-12 1.16e-17
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.212    0.662    0.125 0.000637 1.15e-05  8.9e-08 3.78e-12  3.4e-17
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04    0.174    0.669    0.156 0.000958 1.78e-05 1.65e-07 8.64e-12 9.58e-17
1        3 7.650e+03 7.090e+07 1.780e-05 1.310e-03    0.137    0.666    0.195  0.00149 2.87e-05 3.24e-07 2.14e-11 2.99e-16
1        3 7.650e+03 7.090e+07 2.410e-05 1.770e-03    0.106     0.65    0.242  0.00231 4.63e-05 6.43e-07 5.39e-11 9.58e-16
1        3 7.650e+03 7.090e+07 3.260e-05 2.400e-03   0.0786    0.621    0.297  0.00359 7.49e-05 1.28e-06 1.38e-10 3.15e-15
1        3 7.650e+03 7.090e+07 4.420e-05 3.250e-03   0.0567     0.58    0.358  0.00554 0.000121 2.58e-06 3.59e-10 1.06e-14
1        1 8.610e+03 7.090e+07 5.970e-05 4.390e-03   0.0363    0.519    0.436  0.00902 0.000204 5.81e-06 1.11e-09  4.5e-14
1        3 1.040e+04 7.090e+07 8.080e-05 5.940e-03   0.0201    0.435    0.529   0.0156  0.00037  1.5e-05 4.22e-09  2.5e-13
1        3 1.040e+04 7.090e+07 1.090e-04 8.040e-03   0.0131    0.371    0.592   0.0228 0.000589 2.89e-05 1.07e-08 8.28e-13
1        3 1.040e+04 7.090e+07 1.480e-04 1.090e-02  0.00805    0.306    0.652   0.0335 0.000966 5.75e-05 2.84e-08 2.95e-12
1        3 1.040e+04 7.090e+07 2.000e-04 1.470e-02  0.00489    0.247    0.699   0.0476  0.00156 0.000111 7.26e-08    1e-11
1        3 1.040e+04 7.090e+07 2.710e-04 1.990e-02  0.00281    0.192    0.735   0.0676  0.00259 0.000217 1.93e-07 3.61e-11
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02  0.00157    0.145    0.755   0.0938  0.00428 0.000419 5.04e-07 1.28e-10
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02 0.000861    0.108    0.757    0.127  0.00709 0.000799  1.3e-06 4.46e-10
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02 0.000479   0.0795    0.742    0.165   0.0113  0.00144 3.12e-06 1.42e-09
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02 0.000253   0.0564    0.709    0.213   0.0183  0.00266 7.75e-06 4.74e-09
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02 0.000129    0.039     0.66    0.267   0.0293  0.00485  1.9e-05 1.57e-08
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01 6.42e-05   0.0261    0.595    0.324   0.0461  0.00873 4.62e-05 5.14e-08
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01  3.2e-05   0.0172    0.522    0.377    0.069    0.015 0.000105 1.56e-07
1        3 1.040e+04 7.090e+07 3.040e-03 2.240e-01 1.47e-05   0.0107    0.436    0.425    0.102   0.0261 0.000247 4.92e-07
1        3 1.040e+04 7.090e+07 4.120e-03 3.030e-01 6.44e-06  0.00631    0.347    0.456    0.145   0.0443 0.000566 1.52e-06
1        3 1.040e+04 7.090e+07 5.570e-03 4.100e-01 2.66e-06  0.00352    0.262    0.464    0.197   0.0729  0.00126 4.55e-06
1        3 1.040e+04 7.090e+07 7.540e-03 5.540e-01 1.03e-06  0.00185    0.185    0.444    0.251    0.115  0.00268 1.31e-05
1        3 1.040e+04 7.090e+07 1.020e-02 7.500e-01 3.75e-07 0.000905    0.123    0.397    0.301    0.173  0.00545  3.6e-05
1        3 1.040e+04 7.090e+07 1.380e-02 1.010e+00 1.26e-07 0.000412   0.0755     0.33    0.336    0.247   0.0105 9.37e-05
1        3 1.040e+04 7.090e+07 1.870e-02 1.370e+00 3.96e-08 0.000174   0.0432    0.255     0.35    0.332   0.0191  0.00023
1        3 1.040e+04 7.090e+07 2.530e-02 1.860e+00 1.15e-08 6.87e-05    0.023    0.184     0.34     0.42   0.0326 0.000533
1        3 1.040e+04 7.090e+07 3.420e-02 2.510e+00 3.14e-09 2.53e-05   0.0115    0.124    0.309    0.502   0.0527  0.00116
1        3 1.040e+04 7.090e+07 4.630e-02 3.400e+00 8.04e-10 8.76e-06  0.00537   0.0783    0.264    0.569   0.0808  0.00241
1        3 1.040e+04 7.090e+07 6.260e-02 4.600e+00 1.95e-10 2.87e-06  0.00238    0.047    0.214    0.614    0.118  0.00476
1        3 1.040e+04 7.090e+07 8.470e-02 6.230e+00  4.5e-11 8.97e-07  0.00101   0.0268    0.165    0.634    0.164  0.00898
1        3 1.040e+04 7.090e+07 1.150e-01 8.430e+00 9.94e-12 2.68e-07 0.000406   0.0147    0.122    0.627     0.22   0.0162
1        3 1.040e+04 7.090e+07 1.550e-01 1.140e+01  2.1e-12 7.65e-08 0.000157  0.00766    0.086    0.595    0.283   0.0282
1        3 1.040e+04 7.090e+07 2.100e-01 1.540e+01 4.24e-13 2.09e-08  5.8e-05  0.00383   0.0582    0.542    0.348   0.0471
1        3 1.040e+04 7.090e+07 2.840e-01 2.090e+01 8.22e-14 5.48e-09 2.06e-05  0.00184   0.0377    0.474    0.412   0.0752
1        3 1.040e+04 7.090e+07 3.840e-01 2.820e+01 1.52e-14 1.37e-09 6.96e-06 0.000841   0.0234    0.396    0.465    0.115
1        3 1.040e+04 7.090e+07 5.190e-01 3.820e+01 2.67e-15 3.28e-10 2.25e-06 0.000368   0.0138    0.316    0.502    0.168
1        3 1.040e+04 7.090e+07 7.030e-01 5.170e+01 4.36e-16 7.46e-11 6.93e-07 0.000153  0.00779    0.241    0.517    0.234
1        3 1.040e+04 7.090e+07 9.510e-01 6.990e+01 4.71e-17 1.62e-11 2.04e-07  6.1e-05  0.00419    0.175    0.509    0.312
1        3 1.040e+04 7.090e+07 1.290e+00 9.470e+01 1.34e-19 3.37e-12 5.73e-08 2.32e-05  0.00216    0.122    0.479    0.397
1        3 1.040e+04 7.090e+07 1.740e+00 1.280e+02    1e-20 6.73e-13 1.55e-08 8.47e-06  0.00107   0.0813    0.433    0.485
1        3 1.040e+04 7.090e+07 2.360e+00 1.730e+02  2.3e-18 1.29e-13 4.02e-09 2.98e-06 0.000507   0.0523    0.377    0.571
1        3 1.040e+04 7.090e+07 3.190e+00 2.340e+02    1e-20  2.4e-14 1.01e-09 1.01e-06 0.000233   0.0325    0.317     0.65
1        3 1.040e+04 7.090e+07 4.310e+00 3.170e+02    1e-20 4.32e-15 2.47e-10 3.35e-07 0.000104   0.0197     0.26     0.72
1        3 1.040e+04 7.090e+07 5.840e+00 4.290e+02 5.09e-18 7.92e-16 5.91e-11 1.08e-07 4.57e-05   0.0117    0.208     0.78
1        3 1.040e+04 7.090e+07 7.900e+00 5.810e+02    1e-20 1.27e-16 1.39e-11 3.44e-08 1.96e-05  0.00677    0.163     0.83
1        3 1.040e+04 7.090e+07 1.070e+01 7.860e+02 3.28e-18 3.87e-17 3.21e-12 1.08e-08 8.31e-06  0.00388    0.127     0.87
1        3 1.040e+04 7.090e+07 1.450e+01 1.060e+03 2.52e-19 5.07e-18 7.33e-13 3.33e-09 3.47e-06  0.00219   0.0969    0.901
