i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.477    0.508    0.015 4.15e-05    7e-08 3.89e-10 4.88e-13 1.27e-18    1e-20
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.437    0.544   0.0189 5.89e-05 1.04e-07 6.47e-10 8.55e-13  2.6e-18    1e-20
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.393    0.583   0.0241 8.63e-05 1.61e-07 1.13e-09 1.58e-12 5.72e-18    1e-20
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05     0.35     0.62   0.0305 0.000127 2.48e-07 1.98e-09 2.91e-12 1.26e-17    1e-20
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.308    0.654   0.0385 0.000186 3.82e-07  3.5e-09 5.41e-12 2.81e-17    1e-20
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.268    0.684   0.0484 0.000274 5.93e-07 6.21e-09 1.01e-11 6.33e-17    1e-20
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04     0.23    0.709   0.0607 0.000406 9.24e-07 1.11e-08 1.92e-11 1.45e-16    1e-20
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04    0.195    0.729   0.0757 0.000604 1.45e-06 2.01e-08  3.7e-11 3.38e-16    1e-20
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04    0.162    0.742   0.0941 0.000903  2.3e-06 3.68e-08 7.23e-11 8.08e-16    1e-20
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04    0.133    0.749    0.117  0.00136  3.7e-06 6.81e-08 1.45e-10 1.98e-15    1e-20
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.107    0.747    0.144  0.00205 6.04e-06 1.28e-07 2.96e-10 5.03e-15 2.02e-20
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04   0.0858    0.736    0.175  0.00304 9.71e-06 2.34e-07 5.92e-10 1.24e-14 6.13e-20
