i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.302    0.692  0.00454  0.00106 0.000143    4e-07  1.4e-10  9.2e-14 2.47e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.272    0.721  0.00541  0.00129 0.000177    5e-07 2.04e-10 1.36e-13 4.21e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.241     0.75  0.00654   0.0016 0.000222 6.42e-07 3.07e-10 2.09e-13 7.56e-18 1.03e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.212    0.778  0.00793  0.00198 0.000278 8.29e-07 4.65e-10 3.25e-13 1.37e-17 1.91e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.185    0.803  0.00961  0.00244  0.00035 1.08e-06  7.1e-10 5.13e-13 2.51e-17 3.61e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.159    0.825   0.0117  0.00302 0.000443 1.42e-06  1.1e-09 8.22e-13 4.66e-17 6.96e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04    0.136    0.845   0.0142  0.00373 0.000562  1.9e-06 1.72e-09 1.34e-12 8.82e-17 1.38e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04    0.115    0.862   0.0174  0.00463 0.000719 2.59e-06 2.73e-09 2.26e-12 1.71e-16  2.8e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04   0.0964    0.876   0.0213  0.00576 0.000927 3.59e-06 4.44e-09  3.9e-12  3.4e-16 5.91e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04   0.0796    0.886   0.0263  0.00719  0.00121 5.12e-06  7.4e-09 6.97e-12    7e-16  1.3e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.065    0.892   0.0325  0.00903   0.0016 7.52e-06 1.27e-08  1.3e-11  1.5e-15    3e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04   0.0531    0.894   0.0399   0.0112  0.00211 1.11e-05 2.18e-08 2.43e-11 3.19e-15 6.92e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.780e-05 1.310e-03   0.0421    0.891   0.0498   0.0143  0.00288 1.75e-05 4.06e-08 4.98e-11 7.51e-15 1.79e-17    1e-20    1e-20    1e-20    1e-20    1e-20
