i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05     0.14    0.683    0.166   0.0102 0.000422  3.8e-05 2.93e-06 6.22e-08  3.9e-10  2.2e-11 6.71e-13 1.55e-17 7.59e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05    0.132    0.662    0.192   0.0136  0.00056 5.01e-05 3.55e-06  7.4e-08 4.56e-10 2.63e-11 8.09e-13  2.2e-17 1.07e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05    0.124    0.637     0.22   0.0181 0.000755  6.7e-05 4.33e-06 8.83e-08 5.34e-10 3.15e-11 9.88e-13 3.14e-17 1.52e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05    0.115    0.608    0.252   0.0242  0.00103 9.06e-05 5.31e-06 1.06e-07 6.25e-10  3.8e-11 1.23e-12  4.5e-17 2.17e-19  1.3e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04    0.104    0.575    0.286   0.0325  0.00144 0.000124 6.58e-06 1.28e-07 7.32e-10 4.63e-11 1.55e-12 6.55e-17 3.15e-19 1.91e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04   0.0933    0.538    0.323   0.0435  0.00203 0.000173 8.23e-06 1.55e-07 8.61e-10  5.7e-11 2.02e-12 9.64e-17 4.66e-19 2.85e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04   0.0815    0.496    0.362   0.0582  0.00292 0.000245 1.05e-05 1.91e-07 1.02e-09 7.14e-11 2.71e-12 1.44e-16 7.06e-19 4.34e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04   0.0692    0.449      0.4   0.0776  0.00425 0.000353 1.35e-05 2.39e-07 1.21e-09  9.1e-11 3.77e-12 2.21e-16  1.1e-18 6.79e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04   0.0569    0.398    0.436    0.103  0.00629 0.000515 1.78e-05 3.04e-07 1.46e-09 1.19e-10 5.43e-12 3.49e-16 1.79e-18  1.1e-19 1.61e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04   0.0457    0.347    0.465    0.133  0.00915 0.000746 2.36e-05 3.91e-07 1.78e-09 1.56e-10 7.87e-12 5.51e-16 2.92e-18 1.77e-19 2.86e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04   0.0346     0.29    0.487    0.173   0.0138  0.00113 3.31e-05 5.29e-07 2.26e-09 2.16e-10 1.21e-11 9.39e-16 5.19e-18 3.09e-19  5.5e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04   0.0248    0.235    0.497    0.221   0.0209  0.00173 4.82e-05 7.48e-07 3.02e-09  3.1e-10  1.9e-11 1.68e-15 9.68e-18 5.63e-19 1.09e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03   0.0168    0.182     0.49    0.277   0.0315  0.00268 7.34e-05 1.11e-06 4.27e-09 4.59e-10 3.04e-11 3.19e-15 1.89e-17 1.07e-18 2.22e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.390e+03 7.090e+07 2.410e-05 1.770e-03   0.0106    0.134    0.466    0.337   0.0471   0.0042 0.000117 1.74e-06 6.48e-09 7.04e-10 4.92e-11 6.41e-15 3.85e-17 2.12e-18 4.61e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.410e+03 7.090e+07 3.260e-05 2.400e-03  0.00629   0.0946    0.425    0.397   0.0694  0.00661 0.000196 2.86e-06 1.06e-08 1.12e-09 8.01e-11 1.36e-14 8.13e-17 4.37e-18 9.71e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
