i converge       t_e       t_r        ip        xi      i01      i02      i03
- -------- --------- --------- --------- --------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05      0.8    0.199 0.000967
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05     0.77    0.228  0.00132
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05    0.737    0.261   0.0018
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05    0.701    0.297  0.00246
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04     0.66    0.336  0.00335
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04    0.616    0.379  0.00456
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04    0.569    0.425   0.0062
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04    0.518    0.473  0.00844
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04    0.465    0.523   0.0115
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04    0.415     0.57   0.0153
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04     0.36    0.619   0.0208
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04    0.306    0.665   0.0282
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03    0.255    0.707   0.0382
1        2 9.390e+03 7.090e+07 2.410e-05 1.770e-03    0.208     0.74   0.0514
1        2 9.410e+03 7.090e+07 3.260e-05 2.400e-03    0.166    0.765   0.0689
1        2 9.460e+03 7.090e+07 4.420e-05 3.250e-03    0.131    0.779   0.0904
1        2 9.520e+03 7.090e+07 5.970e-05 4.390e-03   0.0993    0.781     0.12
1        2 9.600e+03 7.090e+07 8.080e-05 5.940e-03   0.0736    0.769    0.157
1        2 9.700e+03 7.090e+07 1.090e-04 8.040e-03   0.0539    0.745    0.201
1        2 9.840e+03 7.090e+07 1.480e-04 1.090e-02   0.0382    0.707    0.255
1        3 1.000e+04 7.090e+07 2.000e-04 1.470e-02   0.0259    0.653    0.322
1        3 1.020e+04 7.090e+07 2.710e-04 1.990e-02    0.017    0.587    0.396
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02    0.011    0.515    0.474
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02  0.00716    0.447    0.546
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02  0.00449    0.377    0.619
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02  0.00274     0.31    0.687
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02  0.00164    0.251    0.748
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01 0.000996    0.202    0.797
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01 0.000578    0.158    0.842
1        3 1.040e+04 7.090e+07 3.040e-03 2.240e-01 0.000331    0.122    0.878
1        3 1.040e+04 7.090e+07 4.120e-03 3.030e-01 0.000188   0.0933    0.906
1        3 1.040e+04 7.090e+07 5.570e-03 4.100e-01 0.000105   0.0708    0.929
1        3 1.040e+04 7.090e+07 7.540e-03 5.540e-01 5.89e-05   0.0534    0.947
1        3 1.040e+04 7.090e+07 1.020e-02 7.500e-01 3.27e-05   0.0401     0.96
1        3 1.040e+04 7.090e+07 1.380e-02 1.010e+00 1.81e-05     0.03     0.97
1        3 1.040e+04 7.090e+07 1.870e-02 1.370e+00 9.97e-06   0.0223    0.978
1        3 1.040e+04 7.090e+07 2.530e-02 1.860e+00 5.49e-06   0.0166    0.983
1        3 1.040e+04 7.090e+07 3.420e-02 2.510e+00 3.01e-06   0.0123    0.988
1        3 1.040e+04 7.090e+07 4.630e-02 3.400e+00 1.65e-06  0.00915    0.991
1        3 1.040e+04 7.090e+07 6.260e-02 4.600e+00 9.05e-07  0.00678    0.993
1        3 1.040e+04 7.090e+07 8.470e-02 6.230e+00 4.95e-07  0.00502    0.995
1        3 1.040e+04 7.090e+07 1.150e-01 8.430e+00 2.71e-07  0.00372    0.996
1        3 1.040e+04 7.090e+07 1.550e-01 1.140e+01 1.48e-07  0.00275    0.997
1        3 1.040e+04 7.090e+07 2.100e-01 1.540e+01 8.11e-08  0.00203    0.998
1        3 1.040e+04 7.090e+07 2.840e-01 2.090e+01 4.43e-08  0.00151    0.998
1        3 1.040e+04 7.090e+07 3.840e-01 2.820e+01 2.42e-08  0.00111    0.999
1        3 1.040e+04 7.090e+07 5.190e-01 3.820e+01 1.33e-08 0.000823    0.999
1        3 1.040e+04 7.090e+07 7.030e-01 5.170e+01 7.24e-09 0.000609    0.999
1        3 1.040e+04 7.090e+07 9.510e-01 6.990e+01 3.96e-09  0.00045      1.0
1        3 1.040e+04 7.090e+07 1.290e+00 9.470e+01 2.16e-09 0.000333      1.0
1        3 1.040e+04 7.090e+07 1.740e+00 1.280e+02 1.18e-09 0.000246      1.0
1        3 1.040e+04 7.090e+07 2.360e+00 1.730e+02 6.46e-10 0.000182      1.0
1        3 1.040e+04 7.090e+07 3.190e+00 2.340e+02 3.53e-10 0.000134      1.0
1        3 1.040e+04 7.090e+07 4.310e+00 3.170e+02 1.93e-10 9.93e-05      1.0
1        3 1.040e+04 7.090e+07 5.840e+00 4.290e+02 1.05e-10 7.34e-05      1.0
1        3 1.040e+04 7.090e+07 7.900e+00 5.810e+02 5.75e-11 5.43e-05      1.0
1        3 1.040e+04 7.090e+07 1.070e+01 7.860e+02 3.14e-11 4.01e-05      1.0
1        3 1.040e+04 7.090e+07 1.450e+01 1.060e+03 1.72e-11 2.96e-05      1.0
1        3 1.040e+04 7.090e+07 1.960e+01 1.440e+03 9.37e-12 2.19e-05      1.0
1        3 1.040e+04 7.090e+07 2.650e+01 1.950e+03 5.12e-12 1.62e-05      1.0
1        3 1.040e+04 7.090e+07 3.580e+01 2.630e+03 2.79e-12  1.2e-05      1.0
1        3 1.040e+04 7.090e+07 4.850e+01 3.570e+03 1.52e-12 8.84e-06      1.0
1        3 1.040e+04 7.090e+07 6.560e+01 4.820e+03 8.33e-13 6.54e-06      1.0
1        3 1.040e+04 7.090e+07 8.870e+01 6.520e+03 4.54e-13 4.83e-06      1.0
1        3 1.040e+04 7.090e+07 1.200e+02 8.830e+03 2.48e-13 3.57e-06      1.0
1        3 1.040e+04 7.090e+07 1.620e+02 1.190e+04 1.35e-13 2.64e-06      1.0
1        3 1.040e+04 7.090e+07 2.200e+02 1.620e+04 7.37e-14 1.95e-06      1.0
1        3 1.040e+04 7.090e+07 2.970e+02 2.190e+04 4.01e-14 1.44e-06      1.0
1        3 1.040e+04 7.090e+07 4.020e+02 2.960e+04 2.18e-14 1.07e-06      1.0
1        3 1.040e+04 7.090e+07 5.440e+02 4.000e+04 1.19e-14 7.87e-07      1.0
1        3 1.040e+04 7.090e+07 7.370e+02 5.420e+04 6.43e-15 5.82e-07      1.0
1        3 1.040e+04 7.090e+07 9.970e+02 7.330e+04 3.48e-15  4.3e-07      1.0
1        3 1.040e+04 7.090e+07 1.350e+03 9.920e+04 1.88e-15 3.18e-07      1.0
1        3 1.040e+04 7.090e+07 1.820e+03 1.340e+05 1.01e-15 2.35e-07      1.0
1        3 1.040e+04 7.090e+07 2.470e+03 1.820e+05 5.46e-16 1.74e-07      1.0
1        3 1.040e+04 7.090e+07 3.340e+03 2.460e+05 2.93e-16 1.28e-07      1.0
1        3 1.040e+04 7.090e+07 4.520e+03 3.320e+05 1.57e-16 9.47e-08      1.0
1        3 1.040e+04 7.090e+07 6.120e+03 4.500e+05 8.39e-17 6.99e-08      1.0
1        3 1.040e+04 7.090e+07 8.280e+03 6.090e+05 4.49e-17 5.17e-08      1.0
1        3 1.040e+04 7.090e+07 1.120e+04 8.230e+05 2.41e-17 3.82e-08      1.0
1        3 1.040e+04 7.090e+07 1.510e+04 1.110e+06 1.29e-17 2.82e-08      1.0
1        3 1.040e+04 7.090e+07 2.050e+04 1.510e+06 6.93e-18 2.08e-08      1.0
1        3 1.040e+04 7.090e+07 2.770e+04 2.040e+06 3.73e-18 1.53e-08      1.0
1        3 1.040e+04 7.090e+07 3.750e+04 2.760e+06    2e-18 1.13e-08      1.0
1        3 1.040e+04 7.090e+07 5.070e+04 3.730e+06 1.08e-18 8.33e-09      1.0
1        3 1.040e+04 7.090e+07 6.870e+04 5.050e+06 5.82e-19 6.13e-09      1.0
1        3 1.040e+04 7.090e+07 9.290e+04 6.830e+06 3.14e-19 4.51e-09      1.0
1        3 1.040e+04 7.090e+07 1.260e+05 9.250e+06  1.7e-19 3.31e-09      1.0
1        3 1.040e+04 7.090e+07 1.700e+05 1.250e+07 9.18e-20 2.43e-09      1.0
1        3 1.040e+04 7.090e+07 2.300e+05 1.690e+07 4.34e-20 1.79e-09      1.0
1        3 1.040e+04 7.090e+07 3.110e+05 2.290e+07 2.35e-20 1.31e-09      1.0
1        3 1.040e+04 7.090e+07 4.210e+05 3.100e+07 1.27e-20 9.65e-10      1.0
1        3 1.040e+04 7.090e+07 5.700e+05 4.200e+07 1.03e-26 7.09e-10      1.0
1        3 1.040e+04 7.090e+07 7.720e+05 5.680e+07 1.03e-26 5.22e-10      1.0
1        3 1.040e+04 7.090e+07 1.040e+06 7.680e+07 1.03e-26 3.84e-10      1.0
1        3 1.040e+04 7.090e+07 1.410e+06 1.040e+08 1.03e-26 2.83e-10      1.0
1        3 1.040e+04 7.090e+07 1.910e+06 1.410e+08 1.03e-26 2.08e-10      1.0
1        3 1.040e+04 7.090e+07 2.590e+06 1.900e+08 1.03e-26 1.54e-10      1.0
1        3 1.040e+04 7.090e+07 3.500e+06 2.570e+08 1.03e-26 1.13e-10      1.0
1        3 1.040e+04 7.090e+07 4.730e+06 3.480e+08 1.03e-26 8.35e-11      1.0
