i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05    0.521    0.461    0.018 1.76e-05 3.13e-08 1.12e-11 2.18e-16 8.95e-24
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05    0.474    0.502   0.0236 2.75e-05  5.8e-08 2.48e-11 5.73e-16 8.95e-24
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05    0.427    0.542   0.0306 4.26e-05 1.07e-07 5.49e-11 1.51e-15 8.95e-24
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05     0.38     0.58   0.0395 6.59e-05 1.99e-07 1.22e-10 4.01e-15 2.25e-20
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04    0.335    0.615   0.0506 0.000102 3.69e-07 2.71e-10 1.08e-14 7.26e-20
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04     0.29    0.645   0.0645 0.000156 6.85e-07 6.09e-10 2.92e-14 2.38e-19
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04    0.248     0.67   0.0818 0.000241 1.28e-06 1.38e-09 8.05e-14 7.97e-19
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04    0.208    0.689    0.103 0.000371 2.41e-06 3.18e-09 2.26e-13 2.74e-18
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04    0.171    0.699    0.129 0.000571 4.57e-06 7.41e-09 6.49e-13 9.66e-18
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04     0.14      0.7    0.159 0.000858 8.39e-06 1.66e-08 1.78e-12 3.24e-17
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04    0.111    0.692    0.197  0.00133 1.63e-05 4.04e-08 5.41e-12 1.23e-16
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04   0.0852    0.671    0.241  0.00206 3.19e-05 9.99e-08 1.69e-11 4.86e-16
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03   0.0635     0.64    0.293  0.00319 6.28e-05 2.51e-07  5.4e-11 1.98e-15
1        2 9.390e+03 7.090e+07 2.410e-05 1.770e-03   0.0461    0.597    0.352  0.00492 0.000124 6.39e-07 1.77e-10 8.34e-15
1        2 9.410e+03 7.090e+07 3.260e-05 2.400e-03   0.0323    0.544    0.416  0.00754 0.000247 1.64e-06  5.9e-10 3.61e-14
1        2 9.460e+03 7.090e+07 4.420e-05 3.250e-03   0.0224    0.486     0.48   0.0112 0.000473 4.06e-06 1.88e-09 1.48e-13
1        2 9.520e+03 7.090e+07 5.970e-05 4.390e-03   0.0146     0.42    0.548   0.0169 0.000941 1.07e-05 6.53e-09  6.8e-13
1        2 9.600e+03 7.090e+07 8.080e-05 5.940e-03  0.00929    0.353    0.611    0.025  0.00185 2.79e-05 2.27e-08 3.13e-12
1        2 9.700e+03 7.090e+07 1.090e-04 8.040e-03  0.00578     0.29    0.665    0.036  0.00351 7.01e-05 7.54e-08 1.38e-11
1        2 9.840e+03 7.090e+07 1.480e-04 1.090e-02  0.00345    0.231    0.707   0.0511  0.00664 0.000177 2.54e-07 6.22e-11
1        3 1.000e+04 7.090e+07 2.000e-04 1.470e-02  0.00194    0.177    0.736   0.0723   0.0128 0.000465 9.13e-07 3.05e-10
