i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05    0.551    0.434   0.0146 6.94e-05 2.97e-08 8.45e-12 1.12e-15 1.18e-24 1.18e-24
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05    0.506    0.474   0.0194 0.000112 5.69e-08 1.93e-11 3.04e-15 2.85e-20 1.18e-24
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05     0.46    0.514   0.0256 0.000178 1.09e-07 4.39e-11 8.27e-15 9.25e-20 1.18e-24
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05    0.413    0.553   0.0334 0.000283 2.06e-07    1e-10 2.26e-14 3.02e-19 1.18e-24
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04    0.367     0.59   0.0434 0.000447 3.92e-07 2.29e-10  6.2e-14 9.99e-19 1.18e-24
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04    0.321    0.622    0.056 0.000704 7.46e-07 5.26e-10 1.72e-13 3.35e-18 1.18e-24
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04    0.277     0.65   0.0718  0.00111 1.43e-06 1.22e-09 4.85e-13 1.15e-17 1.18e-24
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04    0.233    0.673   0.0916  0.00174 2.74e-06 2.86e-09 1.39e-12 4.02e-17 1.18e-24
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04    0.194    0.687    0.116  0.00273 5.29e-06 6.79e-09 4.06e-12 1.44e-16 1.18e-24
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04     0.16    0.692    0.144  0.00417 9.86e-06 1.55e-08 1.13e-11 4.91e-16 1.18e-24
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04    0.127    0.687     0.18  0.00655 1.94e-05 3.81e-08 3.49e-11  1.9e-15 1.99e-20
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04    0.098    0.669    0.222   0.0103 3.84e-05 9.52e-08  1.1e-10 7.55e-15 9.97e-20
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03   0.0737    0.639    0.271    0.016 7.62e-05 2.41e-07 3.54e-10  3.1e-14 5.22e-19
1        2 9.390e+03 7.090e+07 2.410e-05 1.770e-03   0.0532    0.596    0.326   0.0248 0.000152 6.15e-07 1.16e-09 1.31e-13 2.83e-18
1        2 9.410e+03 7.090e+07 3.260e-05 2.400e-03   0.0375     0.54    0.384   0.0379   0.0003 1.58e-06 3.87e-09 5.64e-13 1.58e-17
1        2 9.460e+03 7.090e+07 4.420e-05 3.250e-03   0.0257    0.478     0.44    0.056 0.000572 3.87e-06 1.22e-08  2.3e-12 8.33e-17
1        2 9.520e+03 7.090e+07 5.970e-05 4.390e-03   0.0165    0.405    0.494   0.0831  0.00112 9.99e-06 4.18e-08 1.04e-11 4.96e-16
1        2 9.600e+03 7.090e+07 8.080e-05 5.940e-03   0.0101    0.331    0.537     0.12  0.00214 2.53e-05 1.41e-07 4.64e-11 2.95e-15
1        2 9.700e+03 7.090e+07 1.090e-04 8.040e-03   0.0061    0.261    0.563    0.166  0.00391  6.1e-05 4.49e-07 1.96e-10 1.65e-14
