i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05    0.226    0.769  0.00433  0.00105 0.000155 4.31e-07 1.47e-10  9.5e-14 2.72e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05    0.212    0.781  0.00519  0.00127 0.000189 5.38e-07 2.15e-10 1.42e-13 4.76e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05    0.198    0.794  0.00623  0.00154 0.000233 6.79e-07 3.19e-10 2.16e-13 8.43e-18 1.05e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05    0.183    0.808  0.00751  0.00188 0.000288 8.65e-07 4.77e-10 3.32e-13 1.51e-17 1.93e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04    0.167    0.821  0.00909   0.0023 0.000359 1.12e-06 7.25e-10 5.22e-13 2.77e-17 3.64e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04    0.151    0.835    0.011  0.00282  0.00045 1.47e-06 1.12e-09 8.38e-13 5.17e-17 7.06e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04    0.134    0.848   0.0135  0.00348 0.000571 1.96e-06 1.76e-09 1.38e-12 9.89e-17 1.41e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04    0.118     0.86   0.0165  0.00433 0.000731 2.69e-06 2.82e-09 2.34e-12 1.95e-16 2.94e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04    0.103    0.871   0.0204   0.0054 0.000947 3.77e-06 4.66e-09 4.12e-12 3.97e-16 6.35e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04   0.0884    0.879    0.025  0.00669  0.00122 5.31e-06 7.64e-09 7.24e-12 7.99e-16 1.37e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04   0.0742    0.885   0.0312  0.00848  0.00163 7.94e-06 1.35e-08 1.39e-11 1.78e-15 3.29e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04   0.0611    0.887   0.0392   0.0108  0.00222 1.23e-05 2.48e-08 2.81e-11 4.15e-15 8.39e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03   0.0495    0.884   0.0494   0.0139  0.00309    2e-05 4.76e-08    6e-11 1.02e-14 2.28e-17    1e-20    1e-20    1e-20    1e-20    1e-20
