i converge       t_e       t_r        ip        xi      i01   i02
- -------- --------- --------- --------- --------- -------- -----
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05      0.8   0.2
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05     0.77  0.23
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.735 0.265
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.697 0.303
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.655 0.345
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04     0.61  0.39
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.561 0.439
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04    0.509 0.491
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04    0.457 0.543
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04    0.403 0.597
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04     0.35  0.65
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04    0.299 0.701
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03    0.251 0.749
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03    0.207 0.793
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03    0.168 0.832
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03    0.134 0.866
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03    0.105 0.895
1        0 7.950e+03 7.090e+07 8.070e-05 5.940e-03   0.0814 0.919
1        0 8.110e+03 7.090e+07 1.090e-04 8.040e-03   0.0622 0.938
1        0 8.340e+03 7.090e+07 1.480e-04 1.090e-02   0.0469 0.953
1        0 8.660e+03 7.090e+07 2.000e-04 1.470e-02    0.035 0.965
1        0 9.080e+03 7.090e+07 2.700e-04 1.990e-02   0.0258 0.974
1        0 9.620e+03 7.090e+07 3.660e-04 2.700e-02   0.0188 0.981
1        0 1.030e+04 7.090e+07 4.950e-04 3.650e-02   0.0136 0.986
1        0 1.110e+04 7.090e+07 6.700e-04 4.930e-02  0.00976  0.99
1        0 1.190e+04 7.090e+07 9.070e-04 6.680e-02  0.00698 0.993
1        0 1.280e+04 7.090e+07 1.230e-03 9.040e-02  0.00499 0.995
1        0 1.360e+04 7.090e+07 1.660e-03 1.220e-01  0.00357 0.996
1        0 1.460e+04 7.090e+07 2.250e-03 1.650e-01  0.00255 0.997
1        0 1.560e+04 7.090e+07 3.040e-03 2.240e-01  0.00181 0.998
1        0 1.660e+04 7.090e+07 4.110e-03 3.030e-01  0.00129 0.999
1        0 1.770e+04 7.090e+07 5.560e-03 4.100e-01 0.000918 0.999
1        0 1.880e+04 7.090e+07 7.530e-03 5.540e-01 0.000653 0.999
1        0 2.000e+04 7.090e+07 1.020e-02 7.500e-01 0.000464   1.0
1        0 2.140e+04 7.090e+07 1.380e-02 1.020e+00 0.000328   1.0
1        0 2.300e+04 7.090e+07 1.860e-02 1.370e+00 0.000231   1.0
1        0 2.490e+04 7.090e+07 2.520e-02 1.860e+00 0.000161   1.0
1        0 2.720e+04 7.090e+07 3.410e-02 2.510e+00 0.000112   1.0
1        0 3.020e+04 7.090e+07 4.620e-02 3.400e+00 7.65e-05   1.0
1        0 3.410e+04 7.090e+07 6.250e-02 4.600e+00 5.14e-05   1.0
1        0 3.900e+04 7.090e+07 8.460e-02 6.230e+00  3.4e-05   1.0
1        0 4.530e+04 7.090e+07 1.140e-01 8.430e+00 2.21e-05   1.0
1        0 5.280e+04 7.090e+07 1.550e-01 1.140e+01 1.42e-05   1.0
1        0 6.190e+04 7.090e+07 2.090e-01 1.540e+01 9.14e-06   1.0
1        0 7.290e+04 7.090e+07 2.830e-01 2.090e+01 5.84e-06   1.0
1        0 8.630e+04 7.090e+07 3.830e-01 2.820e+01 3.72e-06   1.0
1        0 1.000e+05 7.090e+07 5.190e-01 3.820e+01 2.43e-06   1.0
1        0 1.150e+05 7.090e+07 7.020e-01 5.170e+01 1.62e-06   1.0
1        0 1.220e+05 7.090e+07 9.500e-01 7.000e+01 1.17e-06   1.0
1        0 1.290e+05 7.090e+07 1.290e+00 9.470e+01 8.48e-07   1.0
1        0 1.430e+05 7.090e+07 1.740e+00 1.280e+02 5.87e-07   1.0
1        0 1.840e+05 7.090e+07 2.350e+00 1.730e+02 3.48e-07   1.0
1        1 2.650e+05 7.090e+07 3.180e+00 2.340e+02 1.82e-07   1.0
1        0 3.110e+05 7.090e+07 4.310e+00 3.170e+02 1.18e-07   1.0
1        1 3.220e+05 7.090e+07 5.830e+00 4.290e+02 8.65e-08   1.0
1        0 2.450e+05 7.090e+07 7.880e+00 5.810e+02 8.56e-08   1.0
1        0 2.820e+05 7.090e+07 1.070e+01 7.860e+02 5.62e-08   1.0
1        0 3.190e+05 7.090e+07 1.440e+01 1.060e+03 3.72e-08   1.0
1        0 3.630e+05 7.090e+07 1.950e+01 1.440e+03 2.45e-08   1.0
1        0 4.300e+05 7.090e+07 2.640e+01 1.950e+03 1.54e-08   1.0
1        0 5.840e+05 7.090e+07 3.580e+01 2.630e+03 8.42e-09   1.0
1        1 9.750e+05 7.090e+07 4.840e+01 3.570e+03 3.64e-09   1.0
1        2 9.750e+05 7.090e+07 6.550e+01 4.820e+03 2.71e-09   1.0
1        2 9.750e+05 7.090e+07 8.860e+01 6.530e+03 2.01e-09   1.0
1        2 9.750e+05 7.090e+07 1.200e+02 8.830e+03 1.49e-09   1.0
1        2 9.750e+05 7.090e+07 1.620e+02 1.190e+04  1.1e-09   1.0
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 8.15e-10   1.0
1        2 9.750e+05 7.090e+07 2.970e+02 2.190e+04 6.01e-10   1.0
1        2 9.750e+05 7.090e+07 4.020e+02 2.960e+04 4.43e-10   1.0
1        2 9.750e+05 7.090e+07 5.440e+02 4.000e+04 3.26e-10   1.0
1        2 9.750e+05 7.090e+07 7.360e+02 5.420e+04  2.4e-10   1.0
1        2 9.750e+05 7.090e+07 9.950e+02 7.330e+04 1.76e-10   1.0
1        2 9.750e+05 7.090e+07 1.350e+03 9.920e+04 1.29e-10   1.0
1        2 9.750e+05 7.090e+07 1.820e+03 1.340e+05 9.49e-11   1.0
1        2 9.750e+05 7.090e+07 2.460e+03 1.820e+05 6.96e-11   1.0
1        2 9.750e+05 7.090e+07 3.330e+03 2.460e+05 5.11e-11   1.0
1        2 9.750e+05 7.090e+07 4.510e+03 3.320e+05 3.75e-11   1.0
1        2 9.750e+05 7.090e+07 6.110e+03 4.500e+05 2.75e-11   1.0
1        2 9.750e+05 7.090e+07 8.260e+03 6.090e+05 2.02e-11   1.0
1        2 9.750e+05 7.090e+07 1.120e+04 8.230e+05 1.49e-11   1.0
1        2 9.750e+05 7.090e+07 1.510e+04 1.110e+06 1.09e-11   1.0
1        2 9.750e+05 7.090e+07 2.050e+04 1.510e+06 8.04e-12   1.0
1        2 9.750e+05 7.090e+07 2.770e+04 2.040e+06 5.92e-12   1.0
1        2 9.750e+05 7.090e+07 3.750e+04 2.760e+06 4.36e-12   1.0
1        2 9.750e+05 7.090e+07 5.070e+04 3.730e+06 3.21e-12   1.0
1        2 9.750e+05 7.090e+07 6.860e+04 5.050e+06 2.36e-12   1.0
1        2 9.750e+05 7.090e+07 9.280e+04 6.840e+06 1.74e-12   1.0
1        2 9.750e+05 7.090e+07 1.260e+05 9.250e+06 1.28e-12   1.0
