i converge       t_e       t_r        ip        xi      i01      i02      i03
- -------- --------- --------- --------- --------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05     0.82    0.179 0.000762
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.792    0.207  0.00105
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05     0.76    0.239  0.00146
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.724    0.274  0.00202
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.684    0.313  0.00279
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04     0.64    0.356  0.00386
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.593    0.402  0.00532
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04    0.542    0.451  0.00733
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04    0.488    0.502   0.0101
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04    0.433    0.553   0.0138
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04    0.377    0.604   0.0189
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04    0.322    0.652   0.0258
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03     0.27    0.695   0.0349
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03    0.221    0.731   0.0472
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03    0.178    0.759   0.0633
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03    0.139    0.776   0.0844
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03    0.107    0.781    0.112
1        0 7.950e+03 7.090e+07 8.070e-05 5.940e-03   0.0799    0.774    0.146
1        0 8.110e+03 7.090e+07 1.090e-04 8.040e-03   0.0582    0.752     0.19
1        0 8.340e+03 7.090e+07 1.480e-04 1.090e-02   0.0412    0.716    0.243
1        0 8.660e+03 7.090e+07 2.000e-04 1.470e-02   0.0283    0.665    0.306
1        0 9.080e+03 7.090e+07 2.700e-04 1.990e-02   0.0188    0.603    0.379
1        0 9.620e+03 7.090e+07 3.660e-04 2.700e-02    0.012     0.53    0.458
1        0 1.030e+04 7.090e+07 4.950e-04 3.650e-02  0.00738    0.451    0.541
1        0 1.110e+04 7.090e+07 6.700e-04 4.930e-02  0.00439    0.373    0.622
1        0 1.190e+04 7.090e+07 9.070e-04 6.680e-02  0.00253      0.3    0.698
1        0 1.280e+04 7.090e+07 1.230e-03 9.040e-02  0.00143    0.235    0.763
1        0 1.360e+04 7.090e+07 1.660e-03 1.220e-01 0.000788    0.181    0.818
1        0 1.460e+04 7.090e+07 2.250e-03 1.650e-01 0.000427    0.137    0.863
1        0 1.560e+04 7.090e+07 3.040e-03 2.240e-01 0.000228    0.102    0.898
1        0 1.660e+04 7.090e+07 4.110e-03 3.030e-01  0.00012    0.075    0.925
1        0 1.770e+04 7.090e+07 5.560e-03 4.100e-01 6.31e-05   0.0549    0.945
1        0 1.880e+04 7.090e+07 7.530e-03 5.540e-01 3.29e-05   0.0399     0.96
1        0 2.000e+04 7.090e+07 1.020e-02 7.500e-01  1.7e-05   0.0288    0.971
1        0 2.140e+04 7.090e+07 1.380e-02 1.020e+00 8.73e-06   0.0207    0.979
1        0 2.300e+04 7.090e+07 1.860e-02 1.370e+00 4.44e-06   0.0148    0.985
1        0 2.490e+04 7.090e+07 2.520e-02 1.860e+00 2.24e-06   0.0105    0.989
1        0 2.720e+04 7.090e+07 3.410e-02 2.510e+00 1.11e-06  0.00741    0.993
1        0 3.020e+04 7.090e+07 4.620e-02 3.400e+00 5.42e-07  0.00517    0.995
1        0 3.410e+04 7.090e+07 6.250e-02 4.600e+00 2.59e-07  0.00357    0.996
1        0 3.900e+04 7.090e+07 8.460e-02 6.230e+00 1.22e-07  0.00244    0.998
1        0 4.530e+04 7.090e+07 1.140e-01 8.430e+00 5.62e-08  0.00165    0.998
1        0 5.280e+04 7.090e+07 1.550e-01 1.140e+01 2.59e-08  0.00111    0.999
1        0 6.190e+04 7.090e+07 2.090e-01 1.540e+01 1.19e-08 0.000746    0.999
1        0 7.290e+04 7.090e+07 2.830e-01 2.090e+01 5.51e-09 0.000498      1.0
1        0 8.630e+04 7.090e+07 3.830e-01 2.820e+01 2.62e-09  0.00033      1.0
1        0 1.000e+05 7.090e+07 5.190e-01 3.820e+01 1.31e-09 0.000221      1.0
1        0 1.150e+05 7.090e+07 7.020e-01 5.170e+01 6.84e-10 0.000149      1.0
1        0 1.220e+05 7.090e+07 9.500e-01 7.000e+01  3.7e-10 0.000105      1.0
1        0 1.290e+05 7.090e+07 1.290e+00 9.470e+01 2.09e-10  7.5e-05      1.0
1        0 1.430e+05 7.090e+07 1.740e+00 1.280e+02 1.13e-10 5.18e-05      1.0
1        0 1.840e+05 7.090e+07 2.350e+00 1.730e+02 6.03e-11 3.18e-05      1.0
1        1 2.650e+05 7.090e+07 3.180e+00 2.340e+02    3e-11 1.75e-05      1.0
1        0 3.110e+05 7.090e+07 4.310e+00 3.170e+02 1.49e-11 1.14e-05      1.0
1        1 3.220e+05 7.090e+07 5.830e+00 4.290e+02 8.05e-12 8.28e-06      1.0
1        0 2.450e+05 7.090e+07 7.880e+00 5.810e+02 5.23e-12 7.71e-06      1.0
1        0 2.820e+05 7.090e+07 1.070e+01 7.860e+02 2.82e-12 5.13e-06      1.0
1        0 3.190e+05 7.090e+07 1.440e+01 1.060e+03 1.42e-12 3.44e-06      1.0
