i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05     0.56    0.428   0.0117 5.61e-05 2.33e-08 7.59e-12 8.87e-16 1.18e-24 1.18e-24
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.515    0.469   0.0158 9.17e-05 4.53e-08 1.73e-11 2.41e-15 2.01e-20 1.18e-24
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.469     0.51   0.0211 0.000149 8.76e-08 3.92e-11 6.59e-15 6.59e-20 1.18e-24
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.422     0.55    0.028  0.00024 1.69e-07 8.93e-11 1.81e-14 2.17e-19 1.18e-24
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.374    0.588   0.0369 0.000384 3.26e-07 2.04e-10    5e-14 7.28e-19 1.18e-24
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04    0.328    0.623   0.0484 0.000614 6.29e-07 4.71e-10  1.4e-13 2.47e-18 1.18e-24
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.283    0.653   0.0628 0.000976 1.21e-06 1.09e-09 3.96e-13 8.54e-18 1.18e-24
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04     0.24    0.677    0.081  0.00155 2.35e-06 2.56e-09 1.14e-12 3.02e-17 1.18e-24
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04      0.2    0.694    0.104  0.00245 4.57e-06 6.08e-09 3.34e-12 1.09e-16 1.18e-24
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04    0.163    0.701    0.132  0.00387 8.95e-06 1.47e-08    1e-11 4.06e-16 1.18e-24
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04    0.131    0.698    0.165   0.0061 1.76e-05 3.58e-08 3.06e-11 1.56e-15 1.53e-20
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04    0.101    0.683    0.206  0.00958 3.48e-05 8.88e-08 9.58e-11 6.15e-15 7.61e-20
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03   0.0766    0.656    0.253    0.015  6.9e-05 2.23e-07 3.06e-10  2.5e-14 3.93e-19
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03   0.0562    0.615    0.305   0.0232 0.000137 5.64e-07 9.94e-10 1.04e-13  2.1e-18
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03   0.0399    0.562    0.362   0.0356 0.000271 1.44e-06 3.28e-09 4.44e-13 1.16e-17
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03    0.027    0.498     0.42   0.0538 0.000533 3.67e-06 1.09e-08 1.92e-12 6.55e-17
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03   0.0177    0.427    0.475   0.0796  0.00104 9.31e-06 3.63e-08 8.42e-12 3.77e-16
