i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05    0.353    0.642  0.00339 0.000906 0.000101 2.74e-07 7.75e-11 4.93e-14 9.44e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.313    0.682  0.00422  0.00113 0.000131 3.59e-07 1.21e-10 7.83e-14  1.8e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.274    0.719  0.00524  0.00141 0.000169 4.72e-07  1.9e-10 1.25e-13 3.47e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.238    0.753  0.00651  0.00175 0.000217 6.24e-07    3e-10 2.03e-13 6.72e-18 1.01e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.205    0.784  0.00809  0.00218 0.000281 8.31e-07 4.75e-10 3.31e-13 1.31e-17    2e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04    0.175    0.812     0.01  0.00271 0.000363 1.12e-06 7.61e-10  5.5e-13  2.6e-17 4.05e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.148    0.836   0.0125  0.00338  0.00047 1.52e-06 1.23e-09 9.32e-13 5.23e-17 8.38e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04    0.124    0.855   0.0155  0.00422 0.000613 2.11e-06 2.03e-09 1.61e-12 1.07e-16 1.79e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04    0.103    0.872   0.0193  0.00529 0.000806 2.98e-06  3.4e-09 2.88e-12 2.26e-16 3.94e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04   0.0846    0.884   0.0241  0.00667  0.00107 4.33e-06 5.84e-09 5.32e-12  4.9e-16 9.08e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04   0.0687    0.891   0.0302  0.00844  0.00144 6.47e-06 1.04e-08 1.02e-11  1.1e-15 2.19e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04   0.0551    0.894    0.038   0.0107  0.00196    1e-05  1.9e-08 2.06e-11 2.59e-15 5.58e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03   0.0435    0.892    0.048   0.0138  0.00272 1.61e-05 3.62e-08 4.36e-11 6.37e-15 1.51e-17    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03   0.0339    0.884   0.0607   0.0177  0.00384 2.69e-05 7.21e-08 9.73e-11 1.65e-14 4.32e-17    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03    0.026    0.869   0.0768   0.0229  0.00553 4.69e-05 1.51e-07  2.3e-10 4.54e-14 1.32e-16 2.06e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03   0.0195    0.845   0.0971   0.0298  0.00811 8.53e-05 3.32e-07 5.76e-10 1.32e-13 4.33e-16 7.89e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03   0.0144    0.812    0.122   0.0389   0.0121 0.000161 7.68e-07 1.53e-09 4.11e-13 1.52e-15 3.23e-19    1e-20    1e-20    1e-20    1e-20
1        0 7.950e+03 7.090e+07 8.070e-05 5.940e-03   0.0105    0.768    0.152   0.0507   0.0184 0.000314 1.86e-06  4.3e-09 1.35e-12 5.65e-15 1.42e-18 2.81e-20    1e-20    1e-20    1e-20
1        0 8.110e+03 7.090e+07 1.090e-04 8.040e-03  0.00742     0.71    0.187   0.0661   0.0281 0.000631 4.73e-06 1.28e-08 4.73e-12 2.25e-14 6.68e-18 1.49e-19    1e-20    1e-20    1e-20
1        0 8.340e+03 7.090e+07 1.480e-04 1.090e-02  0.00515    0.639    0.225   0.0857   0.0432  0.00129 1.24e-05 3.98e-08 1.75e-11 9.49e-14 3.34e-17 8.44e-19    1e-20    1e-20    1e-20
1        0 8.660e+03 7.090e+07 2.000e-04 1.470e-02  0.00349    0.555    0.263     0.11   0.0658  0.00266 3.36e-05  1.3e-07 6.74e-11 4.21e-13 1.76e-16 5.05e-18    1e-20    1e-20    1e-20
1        0 9.080e+03 7.090e+07 2.700e-04 1.990e-02  0.00233    0.461    0.295    0.138   0.0984  0.00545 9.16e-05 4.35e-07  2.7e-10 1.95e-12 9.71e-16 3.17e-17 1.56e-20    1e-20    1e-20
