i converge       t_e       t_r        ip        xi      i01   i02
- -------- --------- --------- --------- --------- -------- -----
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.882 0.118
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05    0.863 0.137
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.842 0.158
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.817 0.183
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.789 0.211
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.758 0.242
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04    0.722 0.278
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.683 0.317
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04     0.64  0.36
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04    0.593 0.407
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04    0.542 0.458
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04    0.488 0.512
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03    0.433 0.567
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03    0.377 0.623
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03    0.321 0.679
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03    0.268 0.732
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03    0.218 0.782
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03    0.174 0.826
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03    0.136 0.864
1        0 3.120e+03 7.090e+07 1.480e-04 1.090e-02    0.104 0.896
1        0 3.390e+03 7.090e+07 2.000e-04 1.470e-02   0.0773 0.923
1        0 3.730e+03 7.090e+07 2.700e-04 1.990e-02   0.0565 0.943
1        0 4.180e+03 7.090e+07 3.660e-04 2.700e-02   0.0404  0.96
1        0 4.830e+03 7.090e+07 4.950e-04 3.650e-02   0.0282 0.972
1        0 5.760e+03 7.090e+07 6.700e-04 4.930e-02   0.0191 0.981
1        0 1.580e+04 7.090e+07 9.070e-04 6.680e-02  0.00737 0.993
1        0 1.660e+04 7.090e+07 1.230e-03 9.040e-02  0.00531 0.995
1        0 1.720e+04 7.090e+07 1.660e-03 1.220e-01  0.00385 0.996
1        0 1.780e+04 7.090e+07 2.250e-03 1.650e-01   0.0028 0.997
1        0 1.840e+04 7.090e+07 3.040e-03 2.240e-01  0.00203 0.998
1        0 1.900e+04 7.090e+07 4.110e-03 3.030e-01  0.00147 0.999
1        0 1.980e+04 7.090e+07 5.560e-03 4.100e-01  0.00106 0.999
1        0 2.070e+04 7.090e+07 7.530e-03 5.540e-01 0.000757 0.999
1        0 2.170e+04 7.090e+07 1.020e-02 7.500e-01 0.000541 0.999
1        0 2.280e+04 7.090e+07 1.380e-02 1.020e+00 0.000386   1.0
1        0 2.390e+04 7.090e+07 1.860e-02 1.370e+00 0.000276   1.0
1        0 2.500e+04 7.090e+07 2.520e-02 1.860e+00 0.000197   1.0
1        0 2.630e+04 7.090e+07 3.410e-02 2.510e+00 0.000141   1.0
1        0 2.780e+04 7.090e+07 4.620e-02 3.400e+00 9.96e-05   1.0
1        0 2.970e+04 7.090e+07 6.250e-02 4.600e+00 6.99e-05   1.0
1        0 3.240e+04 7.090e+07 8.460e-02 6.230e+00 4.82e-05   1.0
1        0 3.610e+04 7.090e+07 1.140e-01 8.430e+00 3.26e-05   1.0
