i converge       t_e       t_r        ip        xi      i01      i02      i03
- -------- --------- --------- --------- --------- -------- -------- --------
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.805    0.195 0.000434
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05    0.777    0.222 0.000586
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.746    0.253 0.000791
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.712    0.287  0.00107
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.675    0.324  0.00144
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.634    0.364  0.00193
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04     0.59    0.407  0.00259
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.544    0.452  0.00347
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04    0.496    0.499  0.00464
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04    0.446    0.548  0.00621
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04    0.395    0.596  0.00831
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04    0.345    0.644   0.0111
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03    0.296    0.689   0.0148
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03    0.249    0.731   0.0198
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03    0.205    0.768   0.0265
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03    0.166    0.799   0.0356
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03    0.131    0.822   0.0478
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03    0.101    0.835   0.0642
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03   0.0756    0.838   0.0861
1        0 3.120e+03 7.090e+07 1.480e-04 1.090e-02   0.0552    0.829    0.116
1        0 3.390e+03 7.090e+07 2.000e-04 1.470e-02   0.0392    0.807    0.154
1        0 3.730e+03 7.090e+07 2.700e-04 1.990e-02   0.0269    0.769    0.204
1        0 4.180e+03 7.090e+07 3.660e-04 2.700e-02   0.0177    0.714    0.268
1        0 4.830e+03 7.090e+07 4.950e-04 3.650e-02   0.0111    0.642    0.347
1        0 5.760e+03 7.090e+07 6.700e-04 4.930e-02  0.00652    0.553     0.44
1        0 1.580e+04 7.090e+07 9.070e-04 6.680e-02  0.00155    0.343    0.656
1        0 1.660e+04 7.090e+07 1.230e-03 9.040e-02 0.000901    0.274    0.725
1        0 1.720e+04 7.090e+07 1.660e-03 1.220e-01 0.000518    0.216    0.784
1        0 1.780e+04 7.090e+07 2.250e-03 1.650e-01 0.000293    0.167    0.833
1        0 1.840e+04 7.090e+07 3.040e-03 2.240e-01 0.000164    0.127    0.873
1        0 1.900e+04 7.090e+07 4.110e-03 3.030e-01 8.98e-05   0.0954    0.904
1        0 1.980e+04 7.090e+07 5.560e-03 4.100e-01 4.85e-05   0.0708    0.929
1        0 2.070e+04 7.090e+07 7.530e-03 5.540e-01 2.59e-05    0.052    0.948
1        0 2.170e+04 7.090e+07 1.020e-02 7.500e-01 1.37e-05   0.0379    0.962
1        0 2.280e+04 7.090e+07 1.380e-02 1.020e+00  7.2e-06   0.0275    0.972
1        0 2.390e+04 7.090e+07 1.860e-02 1.370e+00 3.78e-06   0.0199     0.98
1        0 2.500e+04 7.090e+07 2.520e-02 1.860e+00 1.98e-06   0.0144    0.986
1        0 2.630e+04 7.090e+07 3.410e-02 2.510e+00 1.03e-06   0.0103     0.99
1        0 2.780e+04 7.090e+07 4.620e-02 3.400e+00 5.32e-07  0.00739    0.993
1        0 2.970e+04 7.090e+07 6.250e-02 4.600e+00  2.7e-07  0.00524    0.995
1        0 3.240e+04 7.090e+07 8.460e-02 6.230e+00 1.34e-07  0.00367    0.996
1        0 3.610e+04 7.090e+07 1.140e-01 8.430e+00 6.45e-08  0.00253    0.997
1        0 4.150e+04 7.090e+07 1.550e-01 1.140e+01 2.98e-08   0.0017    0.998
1        0 4.980e+04 7.090e+07 2.090e-01 1.540e+01  1.3e-08  0.00111    0.999
1        0 6.340e+04 7.090e+07 2.830e-01 2.090e+01 5.26e-09 0.000694    0.999
1        0 8.260e+04 7.090e+07 3.830e-01 2.820e+01  2.1e-09 0.000424      1.0
1        0 1.030e+05 7.090e+07 5.190e-01 3.820e+01 9.19e-10 0.000265      1.0
1        0 1.240e+05 7.090e+07 7.020e-01 5.170e+01 4.43e-10  0.00017      1.0
1        0 1.360e+05 7.090e+07 9.500e-01 7.000e+01 2.37e-10 0.000117      1.0
1        0 1.450e+05 7.090e+07 1.290e+00 9.470e+01  1.3e-10 8.24e-05      1.0
1        0 1.710e+05 7.090e+07 1.740e+00 1.280e+02 6.83e-11 5.32e-05      1.0
1        0 2.210e+05 7.090e+07 2.350e+00 1.730e+02 3.48e-11 3.16e-05      1.0
1        0 2.890e+05 7.090e+07 3.180e+00 2.340e+02 1.71e-11 1.84e-05      1.0
1        0 3.100e+05 7.090e+07 4.310e+00 3.170e+02 9.38e-12 1.29e-05      1.0
1        2 3.490e+05 7.090e+07 5.830e+00 4.290e+02 4.92e-12 8.65e-06      1.0
1        0 3.030e+05 7.090e+07 7.880e+00 5.810e+02 3.07e-12 7.35e-06      1.0
1        0 3.410e+05 7.090e+07 1.070e+01 7.860e+02  1.6e-12 4.93e-06      1.0
1        2 3.310e+05 7.090e+07 1.440e+01 1.060e+03 9.09e-13 3.76e-06      1.0
1        2 2.310e+05 7.090e+07 1.950e+01 1.440e+03 5.83e-13 3.78e-06      1.0
1        0 2.570e+05 7.090e+07 2.640e+01 1.950e+03 3.11e-13 2.56e-06      1.0
1        0 3.590e+05 7.090e+07 3.580e+01 2.630e+03 1.46e-13 1.43e-06      1.0
1        0 6.780e+05 7.090e+07 4.840e+01 3.570e+03 4.45e-14 5.94e-07      1.0
1        2 9.750e+05 7.090e+07 6.550e+01 4.820e+03  1.5e-14  3.1e-07      1.0
1        2 9.750e+05 7.090e+07 8.860e+01 6.530e+03 8.28e-15  2.3e-07      1.0
1        2 9.750e+05 7.090e+07 1.200e+02 8.830e+03 4.57e-15 1.71e-07      1.0
1        2 9.750e+05 7.090e+07 1.620e+02 1.190e+04 2.51e-15 1.27e-07      1.0
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 1.38e-15 9.39e-08      1.0
