 n              r           CARB           CIII            CIV             CV
-- -------------- -------------- -------------- -------------- --------------
 0 6.82100000e+13 3.91499870e+02 1.90783900e+01 3.72271620e+02 1.41763290e-01
 1 6.78100000e+13 3.96163090e+02 1.92839770e+01 3.76726830e+02 1.43999700e-01
 2 6.03200000e+13 5.03328750e+02 2.39443860e+01 4.79181260e+02 1.89851460e-01
 3 5.18800000e+13 6.85585860e+02 3.14456710e+01 6.53840750e+02 2.75244000e-01
 4 4.37000000e+13 9.76171740e+02 4.24288570e+01 9.33263620e+02 4.31557620e-01
 5 3.63000000e+13 1.43293880e+03 5.76822530e+01 1.37442600e+03 7.32086480e-01
 6 2.99100000e+13 2.14613310e+03 7.77364680e+01 2.06683940e+03 1.34962450e+00
 7 2.45500000e+13 3.25283670e+03 1.02591650e+02 3.14710360e+03 2.70049800e+00
 8 2.01300000e+13 4.96914920e+03 1.31919030e+02 4.83047870e+03 5.81066060e+00
 9 1.65100000e+13 7.62025670e+03 1.65371570e+02 7.43971410e+03 1.31451000e+01
10 1.35800000e+13 1.17213320e+04 2.03595320e+02 1.14827380e+04 3.05376730e+01
11 1.12100000e+13 1.80452960e+04 2.48382470e+02 1.77156510e+04 7.11546710e+01
12 9.29300000e+12 2.78171870e+04 3.03101680e+02 2.73260910e+04 1.64334490e+02
13 7.74800000e+12 4.28972100e+04 3.71906700e+02 4.20951770e+04 3.73331950e+02
14 6.50500000e+12 6.61591190e+04 4.59008760e+02 6.47313130e+04 8.30569840e+02
15 5.50300000e+12 1.02055220e+05 5.67269640e+02 9.93422490e+04 1.80945000e+03
16 4.69500000e+12 1.57463390e+05 6.97731220e+02 1.52071710e+05 3.88763090e+03
17 4.04500000e+12 2.42979190e+05 8.52380550e+02 2.31921970e+05 8.33150720e+03
18 3.52300000e+12 3.74820520e+05 1.04015510e+03 3.51991120e+05 1.76781490e+04
19 3.10100000e+12 5.78617270e+05 1.28427180e+03 5.33144310e+05 3.56662760e+04
20 2.76200000e+12 8.92511750e+05 1.62402770e+03 8.06206570e+05 6.75544010e+04
21 2.48800000e+12 1.37865170e+06 2.13933880e+03 1.21851910e+06 1.24037930e+05
22 2.26800000e+12 2.12882410e+06 2.97350870e+03 1.83322300e+06 2.26048000e+05
23 2.09100000e+12 3.28703830e+06 4.36376790e+03 2.74080310e+06 4.12769760e+05
24 1.94900000e+12 5.07705200e+06 6.71239550e+03 4.09160290e+06 7.34162910e+05
25 1.83500000e+12 7.91946580e+06 1.09788890e+04 6.22769800e+06 1.22829410e+06
26 1.74500000e+12 1.28943530e+07 2.04880830e+04 1.01285050e+07 1.89750310e+06
27 1.68500000e+12 2.10878110e+07 4.11050790e+04 1.68882960e+07 2.62203480e+06
28 1.64300000e+12 3.47458220e+07 8.36135940e+04 2.84403820e+07 3.48637250e+06
29 1.61200000e+12 5.59107790e+07 1.57522010e+05 4.63376280e+07 4.71922310e+06
30 1.58800000e+12 8.73045410e+07 2.69224110e+05 7.24734210e+07 6.73910480e+06
31 1.56800000e+12 1.32805400e+08 4.19714550e+05 1.09303870e+08 1.03312870e+07
32 1.55100000e+12 1.96930090e+08 5.96459690e+05 1.58977180e+08 1.70369090e+07
33 1.53600000e+12 2.87036350e+08 7.71433610e+05 2.24061250e+08 3.03984900e+07
34 1.52200000e+12 4.14382200e+08 8.94244560e+05 3.05452440e+08 5.91797090e+07
35 1.50900000e+12 5.94435230e+08 8.99601510e+05 3.95810480e+08 1.25338570e+08
36 1.49700000e+12 8.47009070e+08 7.51888410e+05 4.68779000e+08 2.78280880e+08
37 1.48500000e+12 1.20179630e+09 4.95232320e+05 4.78995910e+08 6.04000540e+08
38 1.47400000e+12 1.70265760e+09 2.48882250e+05 4.01114890e+08 1.18507590e+09
39 1.46400000e+12 2.41228150e+09 9.90689580e+04 2.79425320e+08 2.03778560e+09
40 1.45400000e+12 3.41181500e+09 3.52401120e+04 1.76346720e+08 3.16551790e+09
41 1.44400000e+12 4.81598080e+09 1.25299900e+04 1.08940250e+08 4.65704420e+09
42 1.43500000e+12 6.78753690e+09 4.65646510e+03 6.85558580e+07 6.68287190e+09
43 1.42600000e+12 9.55149770e+09 1.84636870e+03 4.47984110e+07 9.47982670e+09
44 1.41700000e+12 1.34131490e+10 7.90843850e+02 3.06768750e+07 1.33616570e+10
45 1.40900000e+12 1.87814670e+10 3.66691740e+02 2.20344570e+07 1.87426100e+10
46 1.40000000e+12 2.61775400e+10 1.82720850e+02 1.64939650e+07 2.61469250e+10
47 1.39200000e+12 3.61906270e+10 9.62111310e+01 1.27199540e+07 3.61657090e+10
48 1.38300000e+12 4.93877180e+10 5.20578430e+01 9.93112350e+06 4.93671000e+10
49 1.37400000e+12 6.59895000e+10 2.76211620e+01 7.62682020e+06 6.59726080e+10
50 1.36500000e+12 8.37496590e+10 1.39147120e+01 5.60417930e+06 8.37363420e+10
51 1.36400000e+12 8.46030830e+10 1.34047390e+01 5.50539480e+06 8.45899510e+10
