 n              r             HE             HeI           HeII          HeIII
-- -------------- -------------- --------------- -------------- --------------
 0 6.82100000e+13 2.08006920e+06 -6.10000000e-02 2.07398300e+06 6.08626100e+03
 1 6.78100000e+13 2.10484530e+06  5.47000002e-02 2.09859030e+06 6.25494530e+03
 2 6.03200000e+13 2.67422480e+06  7.79999997e-02 2.66336700e+06 1.08577220e+04
 3 5.18800000e+13 3.64257100e+06  1.14000000e-01 3.62029600e+06 2.22748860e+04
 4 4.37000000e+13 5.18647630e+06 -2.09999997e-02 5.13567930e+06 5.07970210e+04
 5 3.63000000e+13 7.61331520e+06  1.60000000e-01 7.48917040e+06 1.24144640e+05
 6 2.99100000e+13 1.14025720e+07 -2.60000000e-01 1.10870040e+07 3.15568260e+05
 7 2.45500000e+13 1.72825740e+07 -3.70000001e-01 1.64698010e+07 8.12773370e+05
 8 2.01300000e+13 2.64014760e+07  5.00000000e-01 2.43187670e+07 2.08270850e+06
 9 1.65100000e+13 4.04870160e+07  6.00000001e-01 3.52834420e+07 5.20357340e+06
10 1.35800000e+13 6.22763460e+07  1.00000000e+00 4.97986970e+07 1.24776480e+07
11 1.12100000e+13 9.58760620e+07  2.00000000e+00 6.77429150e+07 2.81331450e+07
12 9.29300000e+12 1.47794870e+08 -2.00000000e+00 8.89855950e+07 5.88092770e+07
13 7.74800000e+12 2.27916210e+08  0.00000000e+00 1.14920560e+08 1.12995650e+08
14 6.50500000e+12 3.51508540e+08  1.00000000e+01 1.50939090e+08 2.00569440e+08
15 5.50300000e+12 5.42227320e+08  2.00000000e+01 2.06438740e+08 3.35788560e+08
16 4.69500000e+12 8.36615210e+08  2.00000000e+01 2.85659850e+08 5.50955340e+08
17 4.04500000e+12 1.29096730e+09  4.00000000e+01 3.80066090e+08 9.10901170e+08
18 3.52300000e+12 1.99145060e+09  1.10000000e+02 5.06722490e+08 1.48472800e+09
19 3.10100000e+12 3.07423850e+09  1.20000000e+02 7.27526680e+08 2.34671170e+09
20 2.76200000e+12 4.74198430e+09  3.00000000e+02 1.09023650e+09 3.65174750e+09
21 2.48800000e+12 7.32488350e+09  6.00000000e+02 1.57672730e+09 5.74815560e+09
22 2.26800000e+12 1.13106080e+10  1.60000000e+03 2.16601310e+09 9.14459330e+09
23 2.09100000e+12 1.74642900e+10  2.80000000e+03 2.98086820e+09 1.44834190e+10
24 1.94900000e+12 2.69747720e+10  6.30000000e+03 4.31098670e+09 2.26637790e+10
25 1.83500000e+12 4.20767370e+10  1.36000000e+04 6.74888940e+09 3.53278340e+10
26 1.74500000e+12 6.85087000e+10  3.30000000e+04 1.22235410e+10 5.62851260e+10
27 1.68500000e+12 1.12041180e+11  7.90000000e+04 2.40071440e+10 8.80339570e+10
28 1.64300000e+12 1.84607250e+11  1.92000000e+05 4.79187380e+10 1.36688320e+11
29 1.61200000e+12 2.97058320e+11  4.60000000e+05 8.88934600e+10 2.08164400e+11
30 1.58800000e+12 4.63855810e+11  1.02000000e+06 1.50210240e+11 3.13644550e+11
31 1.56800000e+12 7.05605430e+11  2.21000000e+06 2.31097890e+11 4.74505330e+11
32 1.55100000e+12 1.04630490e+12  4.62000000e+06 3.20747200e+11 7.25553080e+11
33 1.53600000e+12 1.52504650e+12  9.56000000e+06 3.98975040e+11 1.12606190e+12
34 1.52200000e+12 2.20164480e+12  1.89500000e+07 4.38100650e+11 1.76352520e+12
35 1.50900000e+12 3.15828060e+12  3.67200000e+07 4.17710680e+11 2.74053320e+12
36 1.49700000e+12 4.50022500e+12  6.66900000e+07 3.47222010e+11 4.15293630e+12
37 1.48500000e+12 6.38523720e+12  1.14700000e+08 2.58578500e+11 6.12654400e+12
38 1.47400000e+12 9.04635200e+12  1.89130000e+08 1.78945070e+11 8.86721780e+12
39 1.46400000e+12 1.28166390e+13  3.03460000e+08 1.20103540e+11 1.26962320e+13
40 1.45400000e+12 1.81272390e+13  4.79906000e+08 8.15160940e+10 1.80452430e+13
41 1.44400000e+12 2.55876810e+13  7.47579000e+08 5.70774210e+10 2.55298560e+13
42 1.43500000e+12 3.60627110e+13  1.15779200e+09 4.14912080e+10 3.60200620e+13
43 1.42600000e+12 5.07478500e+13  1.78517600e+09 3.14238240e+10 5.07146410e+13
44 1.41700000e+12 7.12651030e+13  2.73817300e+09 2.48448270e+10 7.12375200e+13
45 1.40900000e+12 9.97873950e+13  4.17358800e+09 2.04704120e+10 9.97627510e+13
46 1.40000000e+12 1.39083310e+14  6.30843300e+09 1.74515670e+10 1.39059550e+14
47 1.39200000e+12 1.92283610e+14  9.36133100e+09 1.52186690e+10 1.92259030e+14
48 1.38300000e+12 2.62400780e+14  1.35793840e+10 1.33506160e+10 2.62373850e+14
49 1.37400000e+12 3.50607340e+14  1.89349570e+10 1.14650430e+10 3.50576940e+14
50 1.36500000e+12 4.44968450e+14  2.42746341e+10 9.33536590e+09 4.44934840e+14
51 1.36400000e+12 4.49502750e+14  2.45039011e+10 9.21609890e+09 4.49469030e+14
