 n              r            HYD            HII             HI
-- -------------- -------------- -------------- --------------
 0 6.82100000e+13 1.04003460e+07 1.04003460e+07 0.00000000e+00
 1 6.78100000e+13 1.05242270e+07 1.05242270e+07 0.00000000e+00
 2 6.03200000e+13 1.33711240e+07 1.33711240e+07 0.00000000e+00
 3 5.18800000e+13 1.82128550e+07 1.82128550e+07 0.00000000e+00
 4 4.37000000e+13 2.59323820e+07 2.59323820e+07 0.00000000e+00
 5 3.63000000e+13 3.80665760e+07 3.80665760e+07 0.00000000e+00
 6 2.99100000e+13 5.70128610e+07 5.70128610e+07 0.00000000e+00
 7 2.45500000e+13 8.64128710e+07 8.64128710e+07 0.00000000e+00
 8 2.01300000e+13 1.32007380e+08 1.32007380e+08 0.00000000e+00
 9 1.65100000e+13 2.02435080e+08 2.02435080e+08 0.00000000e+00
10 1.35800000e+13 3.11381730e+08 3.11381730e+08 0.00000000e+00
11 1.12100000e+13 4.79380310e+08 4.79380310e+08 0.00000000e+00
12 9.29300000e+12 7.38974370e+08 7.38974370e+08 0.00000000e+00
13 7.74800000e+12 1.13958110e+09 1.13958100e+09 1.00000000e+02
14 6.50500000e+12 1.75754270e+09 1.75754270e+09 0.00000000e+00
15 5.50300000e+12 2.71113660e+09 2.71113660e+09 0.00000000e+00
16 4.69500000e+12 4.18307610e+09 4.18307600e+09 1.00000000e+02
17 4.04500000e+12 6.45483660e+09 6.45483640e+09 2.00000000e+02
18 3.52300000e+12 9.95725280e+09 9.95725250e+09 3.00000000e+02
19 3.10100000e+12 1.53711930e+10 1.53711920e+10 1.00000000e+03
20 2.76200000e+12 2.37099220e+10 2.37099210e+10 1.00000000e+03
21 2.48800000e+12 3.66244180e+10 3.66244150e+10 3.00000000e+03
22 2.26800000e+12 5.65530390e+10 5.65530340e+10 5.00000000e+03
23 2.09100000e+12 8.73214490e+10 8.73214370e+10 1.20000000e+04
24 1.94900000e+12 1.34873860e+11 1.34873830e+11 3.00000000e+04
25 1.83500000e+12 2.10383690e+11 2.10383630e+11 6.00000000e+04
26 1.74500000e+12 3.42543500e+11 3.42543360e+11 1.40000000e+05
27 1.68500000e+12 5.60205910e+11 5.60205560e+11 3.50000000e+05
28 1.64300000e+12 9.23036270e+11 9.23035450e+11 8.20000000e+05
29 1.61200000e+12 1.48529160e+12 1.48528980e+12 1.80000000e+06
30 1.58800000e+12 2.31927910e+12 2.31927540e+12 3.70000000e+06
31 1.56800000e+12 3.52802720e+12 3.52802020e+12 7.00000000e+06
32 1.55100000e+12 5.23152450e+12 5.23151180e+12 1.27000000e+07
33 1.53600000e+12 7.62523230e+12 7.62521020e+12 2.21000000e+07
34 1.52200000e+12 1.10082240e+13 1.10081860e+13 3.80000000e+07
35 1.50900000e+12 1.57914030e+13 1.57913400e+13 6.30000000e+07
36 1.49700000e+12 2.25011250e+13 2.25010230e+13 1.02000000e+08
37 1.48500000e+12 3.19261860e+13 3.19260230e+13 1.63000000e+08
38 1.47400000e+12 4.52317600e+13 4.52315040e+13 2.56000000e+08
39 1.46400000e+12 6.40831950e+13 6.40827940e+13 4.01000000e+08
40 1.45400000e+12 9.06361930e+13 9.06355690e+13 6.24000000e+08
41 1.44400000e+12 1.27938400e+14 1.27937440e+14 9.60000000e+08
42 1.43500000e+12 1.80313560e+14 1.80312070e+14 1.49000000e+09
43 1.42600000e+12 2.53739250e+14 2.53736970e+14 2.28000000e+09
44 1.41700000e+12 3.56325520e+14 3.56322030e+14 3.49000000e+09
45 1.40900000e+12 4.98936980e+14 4.98931680e+14 5.30000000e+09
46 1.40000000e+12 6.95416540e+14 6.95408550e+14 7.99000000e+09
47 1.39200000e+12 9.61418070e+14 9.61406220e+14 1.18500000e+10
48 1.38300000e+12 1.31200390e+15 1.31198680e+15 1.71000000e+10
49 1.37400000e+12 1.75303670e+15 1.75301280e+15 2.39000000e+10
50 1.36500000e+12 2.22484220e+15 2.22481160e+15 3.06000000e+10
51 1.36400000e+12 2.24751380e+15 2.24748290e+15 3.09000000e+10
