 n              r           IRON            FeV           FeVI          FeVII         FeVIII
-- -------------- -------------- -------------- -------------- -------------- --------------
 0 6.82100000e+13 8.45302940e+01 2.04933130e+00 8.04697420e-02 3.68327170e-03 2.94872410e-05
 1 6.78100000e+13 8.55371500e+01 2.07258460e+00 8.15610870e-02 3.73221970e-03 2.99283560e-05
 2 6.03200000e+13 1.08675710e+02 2.62121400e+00 1.04975670e-01 4.77088930e-03 3.88371880e-05
 3 5.18800000e+13 1.48027570e+02 3.55188880e+00 1.45288380e-01 6.55103570e-03 5.43183140e-05
 4 4.37000000e+13 2.10769120e+02 5.02356010e+00 2.11017380e-01 9.41649130e-03 7.98398890e-05
 5 3.63000000e+13 3.09391510e+02 7.31383610e+00 3.17188610e-01 1.39708940e-02 1.21577310e-04
 6 2.99100000e+13 4.63380150e+02 1.08469800e+01 4.88526080e-01 2.11663500e-02 1.89813970e-04
 7 2.45500000e+13 7.02332910e+02 1.62484580e+01 7.64103420e-01 3.24639540e-02 3.00983420e-04
 8 2.01300000e+13 1.07290880e+03 2.44836330e+01 1.20869680e+00 5.01608430e-02 4.82238800e-04
 9 1.65100000e+13 1.64531990e+03 3.69552390e+01 1.92408800e+00 7.76985730e-02 7.76041890e-04
10 1.35800000e+13 2.53079930e+03 5.58007650e+01 3.07866650e+00 1.20408100e-01 1.25121610e-03
11 1.12100000e+13 3.89623170e+03 8.39889340e+01 4.94778050e+00 1.86075090e-01 2.01773280e-03
12 9.29300000e+12 6.00611940e+03 1.26012590e+02 7.98930500e+00 2.86527350e-01 3.25337320e-03
13 7.74800000e+12 9.26210730e+03 1.88255520e+02 1.29397160e+01 4.38680430e-01 5.23584170e-03
14 6.50500000e+12 1.42846790e+04 2.80287850e+02 2.09130410e+01 6.66404660e-01 8.37666380e-03
15 5.50300000e+12 2.20351490e+04 4.16499120e+02 3.34549980e+01 1.00205990e+00 1.32473150e-02
16 4.69500000e+12 3.39985460e+04 6.19347640e+02 5.26523710e+01 1.48495870e+00 2.04615260e-02
17 4.04500000e+12 5.24626030e+04 9.24545370e+02 8.19074930e+01 2.15029340e+00 3.03088360e-02
18 3.52300000e+12 8.09289890e+04 1.38850940e+03 1.29003790e+02 3.00516420e+00 4.31979590e-02
19 3.10100000e+12 1.24931560e+05 2.09656630e+03 2.08013770e+02 3.99294130e+00 6.02769770e-02
20 2.76200000e+12 1.92705760e+05 3.17536130e+03 3.34666760e+02 4.95199060e+00 8.09746120e-02
21 2.48800000e+12 2.97670170e+05 4.86174320e+03 5.24571970e+02 5.61507140e+00 9.81723190e-02
22 2.26800000e+12 4.59642880e+05 7.53782120e+03 7.87423280e+02 5.61523880e+00 9.87010560e-02
23 2.09100000e+12 7.09717510e+05 1.17816110e+04 1.12961720e+03 4.68063370e+00 7.70780670e-02
24 1.94900000e+12 1.09620650e+06 1.84889170e+04 1.55247210e+03 2.98366390e+00 4.34518380e-02
25 1.83500000e+12 1.70992340e+06 2.93740050e+04 2.05040930e+03 1.27918950e+00 1.56578440e-02
26 1.74500000e+12 2.78407110e+06 4.88128890e+04 2.59319480e+03 2.89587860e-01 2.78101520e-03
27 1.68500000e+12 4.55315330e+06 8.11745160e+04 3.10372360e+03 4.89574280e-02 3.51714320e-04
28 1.64300000e+12 7.50210870e+06 1.34780430e+05 3.71899820e+03 1.29588070e-02 5.97120020e-05
29 1.61200000e+12 1.20719190e+07 2.16045460e+05 4.66297490e+03 6.36645640e-03 1.51889630e-05
30 1.58800000e+12 1.88502710e+07 3.32823990e+05 6.28645920e+03 5.31228950e-03 4.97459490e-06
31 1.56800000e+12 2.86745430e+07 4.95986340e+05 9.30380000e+03 7.13984990e-03 1.89564120e-06
32 1.55100000e+12 4.25199600e+07 7.17031180e+05 1.53329580e+04 1.42658850e-02 8.13627970e-07
33 1.53600000e+12 6.19751610e+07 1.01463200e+06 2.87576930e+04 4.07328050e-02 3.88124810e-07
