 n              r            NIT            NIV             NV            NVI
-- -------------- -------------- -------------- -------------- --------------
 0 6.82100000e+13 2.68457050e+03 2.62039090e+03 2.92171610e-01 7.21708060e-01
 1 6.78100000e+13 2.71654690e+03 2.65160160e+03 2.96390180e-01 7.32138860e-01
 2 6.03200000e+13 3.45139720e+03 3.36878260e+03 3.80854420e-01 9.41035560e-01
 3 5.18800000e+13 4.70116020e+03 4.58839730e+03 5.26570700e-01 1.30146510e+00
 4 4.37000000e+13 6.69374910e+03 6.53270180e+03 7.62958830e-01 1.88631720e+00
 5 3.63000000e+13 9.82586600e+03 9.58846090e+03 1.14222540e+00 2.82482900e+00
 6 2.99100000e+13 1.47163420e+04 1.43587890e+04 1.74877490e+00 4.32563940e+00
 7 2.45500000e+13 2.23051660e+04 2.17594060e+04 2.71666470e+00 6.71881770e+00
 8 2.01300000e+13 3.40741660e+04 3.32335190e+04 4.26629110e+00 1.05423530e+01
 9 1.65100000e+13 5.22531890e+04 5.09527170e+04 6.75009350e+00 1.66421170e+01
10 1.35800000e+13 8.03748450e+04 7.83594280e+04 1.07602620e+01 2.63969860e+01
11 1.12100000e+13 1.23739170e+05 1.20625630e+05 1.72636710e+01 4.19323680e+01
12 9.29300000e+12 1.90746420e+05 1.85960590e+05 2.79364230e+01 6.65830650e+01
13 7.74800000e+12 2.94152300e+05 2.86817020e+05 4.57189300e+01 1.05185740e+02
14 6.50500000e+12 4.53662530e+05 4.42296990e+05 7.63078830e+01 1.64475850e+02
15 5.50300000e+12 6.99807220e+05 6.81562650e+05 1.32562310e+02 2.53684400e+02
16 4.69500000e+12 1.07974890e+06 1.04862870e+06 2.47495630e+02 3.85280330e+02
17 4.04500000e+12 1.66614300e+06 1.60914580e+06 5.05759620e+02 5.73456540e+02
18 3.52300000e+12 2.57019780e+06 2.45971030e+06 1.09699970e+03 8.23032030e+02
19 3.10100000e+12 3.96766130e+06 3.74615930e+06 2.40342770e+03 1.11453680e+03
20 2.76200000e+12 6.12008060e+06 5.66772050e+06 5.26112380e+03 1.40169130e+03
21 2.48800000e+12 9.45361150e+06 8.53333230e+06 1.14566550e+04 1.61648530e+03
22 2.26800000e+12 1.45976510e+07 1.28158070e+07 2.27055680e+04 1.64669730e+03
23 2.09100000e+12 2.25396910e+07 1.93041740e+07 3.86640370e+04 1.38536770e+03
24 1.94900000e+12 3.48140710e+07 2.91869460e+07 5.91583510e+04 8.74448470e+02
25 1.83500000e+12 5.43049080e+07 4.46309860e+07 8.71915440e+04 3.53521130e+02
26 1.74500000e+12 8.84184210e+07 7.13495060e+07 1.24729300e+05 6.27156250e+01
27 1.68500000e+12 1.44602140e+08 1.15059410e+08 1.65775620e+05 5.28335150e+00
28 1.64300000e+12 2.38257060e+08 1.87177990e+08 2.21155280e+05 7.06628500e-01
29 1.61200000e+12 3.83388200e+08 2.96910940e+08 3.15325650e+05 2.63177600e-01
30 1.58800000e+12 5.98659710e+08 4.55579760e+08 4.94203360e+05 2.17115020e-01
31 1.56800000e+12 9.10665620e+08 6.78594890e+08 8.63440750e+05 3.59119150e-01
32 1.55100000e+12 1.35037780e+09 9.82008180e+08 1.68937560e+06 9.48569670e-01
33 1.53600000e+12 1.96824930e+09 1.39100870e+09 3.75151260e+06 3.51351140e+00
34 1.52200000e+12 2.84147790e+09 1.93884140e+09 9.63455790e+06 1.82459810e+01
35 1.50900000e+12 4.07612730e+09 2.65712410e+09 2.88356400e+07 1.35732260e+02
36 1.49700000e+12 5.80806220e+09 3.55584130e+09 9.83126160e+07 1.39875850e+03
37 1.48500000e+12 8.24088900e+09 4.58585020e+09 3.66324670e+08 1.87075550e+04
38 1.47400000e+12 1.16753660e+10 5.47804730e+09 1.38254350e+09 2.88114060e+05
39 1.46400000e+12 1.65413590e+10 5.53092270e+09 4.57557450e+09 4.24095850e+06
40 1.45400000e+12 2.33953030e+10 4.26701140e+09 1.13033680e+10 4.67435750e+07
41 1.44400000e+12 3.30238690e+10 2.55885550e+09 2.05975330e+10 3.60614960e+08
42 1.43500000e+12 4.65431100e+10 1.32726870e+09 3.05316540e+10 2.11115410e+09
43 1.42600000e+12 6.54959840e+10 6.26627830e+08 3.85589060e+10 9.73420520e+09
44 1.41700000e+12 9.19758790e+10 2.56585380e+08 3.94472020e+10 3.34579800e+10
45 1.40900000e+12 1.28787200e+11 8.59292200e+07 3.09032490e+10 8.11542360e+10
46 1.40000000e+12 1.79503130e+11 2.46851940e+07 1.95931710e+10 1.47944910e+11
47 1.39200000e+12 2.48164300e+11 6.73882070e+06 1.12468320e+10 2.29179070e+11
48 1.38300000e+12 3.38658640e+11 1.84093700e+06 6.24404590e+09 3.27589550e+11
49 1.37400000e+12 4.52499430e+11 4.94703290e+05 3.37243230e+09 4.46206630e+11
50 1.36500000e+12 5.74283380e+11 1.32177850e+05 1.77655820e+09 5.70793540e+11
51 1.36400000e+12 5.80135420e+11 1.23397370e+05 1.71650670e+09 5.76754710e+11
