 n              r            OXY           OIII            OIV             OV            OVI           OVII
-- -------------- -------------- -------------- -------------- -------------- -------------- --------------
 0 6.82100000e+13 6.57719780e+02 5.61065940e+01 4.17118460e+01 3.57992860e-02 1.49094840e-02 1.05767320e-05
 1 6.78100000e+13 6.65554000e+02 5.67400880e+01 4.23032930e+01 3.62989340e-02 1.51501950e-02 1.07512700e-05
 2 6.03200000e+13 8.45592300e+02 7.12960890e+01 5.58956480e+01 4.65479050e-02 2.01772350e-02 1.40556230e-05
 3 5.18800000e+13 1.15178420e+03 9.56356950e+01 8.02904840e+01 6.41881310e-02 2.92909190e-02 1.98979930e-05
 4 4.37000000e+13 1.63996850e+03 1.33455910e+02 1.22256930e+02 9.27324660e-02 4.51606360e-02 2.97023080e-05
 5 3.63000000e+13 2.40733720e+03 1.90672570e+02 1.95260130e+02 1.38383570e-01 7.31467610e-02 4.61408830e-05
 6 2.99100000e+13 3.60550370e+03 2.75118670e+02 3.24822710e+02 2.11102260e-01 1.23573660e-01 7.39368050e-05
 7 2.45500000e+13 5.46476570e+03 3.95850460e+02 5.58992530e+02 3.26570410e-01 2.16246190e-01 1.21412960e-04
 8 2.01300000e+13 8.34817070e+03 5.62171340e+02 9.89900260e+02 5.10315210e-01 3.89767530e-01 2.03640260e-04
 9 1.65100000e+13 1.28020310e+04 7.78799630e+02 1.78689260e+03 8.02719140e-01 7.16449550e-01 3.47219740e-04
10 1.35800000e+13 1.96918370e+04 1.04164060e+03 3.25669970e+03 1.27141030e+00 1.32893800e+00 5.99524940e-04
11 1.12100000e+13 3.03160980e+04 1.33309280e+03 5.89766070e+03 2.02815910e+00 2.44438400e+00 1.03904640e-03
12 9.29300000e+12 4.67328730e+04 1.63030350e+03 1.04827940e+04 3.27465030e+00 4.39380780e+00 1.79350170e-03
13 7.74800000e+12 7.20673130e+04 1.91898710e+03 1.81168530e+04 5.39006470e+00 7.62369080e+00 3.05961450e-03
14 6.50500000e+12 1.11147320e+05 2.20392540e+03 3.04131450e+04 9.16219140e+00 1.27097770e+01 5.15134710e-03
15 5.50300000e+12 1.71452770e+05 2.50416970e+03 4.98234740e+04 1.63890160e+01 2.03921510e+01 8.63336270e-03
