 n          r          v          T         ne         nh
-- ---------- ---------- ---------- ---------- ----------
51  1.364e+12  1.000e+03  1.013e+05  3.151e+15  2.248e+15
50  1.365e+12  1.009e+03  1.009e+05  3.119e+15  2.225e+15
49  1.374e+12  1.263e+03  9.268e+04  2.458e+15  1.753e+15
48  1.383e+12  1.666e+03  8.513e+04  1.839e+15  1.312e+15
47  1.392e+12  2.245e+03  7.845e+04  1.348e+15  9.614e+14
46  1.400e+12  3.067e+03  7.245e+04  9.749e+14  6.954e+14
45  1.409e+12  4.225e+03  6.700e+04  6.994e+14  4.989e+14
44  1.417e+12  5.845e+03  6.202e+04  4.994e+14  3.563e+14
43  1.426e+12  8.109e+03  5.746e+04  3.556e+14  2.537e+14
42  1.435e+12  1.127e+04  5.326e+04  2.527e+14  1.803e+14
41  1.444e+12  1.568e+04  4.939e+04  1.793e+14  1.279e+14
40  1.454e+12  2.184e+04  4.585e+04  1.269e+14  9.064e+13
39  1.464e+12  3.046e+04  4.260e+04  8.968e+13  6.408e+13
38  1.474e+12  4.254e+04  3.968e+04  6.320e+13  4.523e+13
37  1.485e+12  5.938e+04  3.711e+04  4.448e+13  3.193e+13
36  1.497e+12  8.297e+04  3.491e+04  3.118e+13  2.250e+13
35  1.509e+12  1.163e+05  3.305e+04  2.171e+13  1.579e+13
34  1.522e+12  1.640e+05  3.150e+04  1.499e+13  1.101e+13
33  1.536e+12  2.325e+05  3.024e+04  1.029e+13  7.625e+12
32  1.551e+12  3.323e+05  2.922e+04  7.010e+12  5.232e+12
31  1.568e+12  4.821e+05  2.840e+04  4.712e+12  3.528e+12
30  1.588e+12  7.151e+05  2.776e+04  3.100e+12  2.319e+12
29  1.612e+12  1.084e+06  2.728e+04  1.992e+12  1.485e+12
28  1.643e+12  1.679e+06  2.694e+04  1.245e+12  9.230e+11
27  1.685e+12  2.630e+06  2.665e+04  7.610e+11  5.602e+11
26  1.745e+12  4.010e+06  2.629e+04  4.678e+11  3.425e+11
25  1.835e+12  5.906e+06  2.574e+04  2.880e+11  2.104e+11
24  1.949e+12  8.168e+06  2.510e+04  1.847e+11  1.349e+11
23  2.091e+12  1.096e+07  2.442e+04  1.194e+11  8.732e+10
22  2.268e+12  1.438e+07  2.362e+04  7.708e+10  5.655e+10
21  2.488e+12  1.845e+07  2.266e+04  4.974e+10  3.662e+10
20  2.762e+12  2.313e+07  2.162e+04  3.213e+10  2.371e+10
19  3.101e+12  2.830e+07  2.066e+04  2.081e+10  1.537e+10
18  3.523e+12  3.385e+07  1.981e+04  1.345e+10  9.957e+09
17  4.045e+12  3.959e+07  1.904e+04  8.665e+09  6.455e+09
16  4.695e+12  4.535e+07  1.838e+04  5.576e+09  4.183e+09
15  5.503e+12  5.095e+07  1.785e+04  3.592e+09  2.711e+09
14  6.505e+12  5.625e+07  1.745e+04  2.312e+09  1.758e+09
13  7.748e+12  6.113e+07  1.713e+04  1.482e+09  1.140e+09
12  9.293e+12  6.554e+07  1.686e+04  9.465e+08  7.390e+08
11  1.121e+13  6.945e+07  1.664e+04  6.040e+08  4.794e+08
10  1.358e+13  7.284e+07  1.645e+04  3.865e+08  3.114e+08
 9  1.651e+13  7.576e+07  1.629e+04  2.484e+08  2.024e+08
 8  2.013e+13  7.823e+07  1.614e+04  1.606e+08  1.320e+08
 7  2.455e+13  8.029e+07  1.601e+04  1.046e+08  8.641e+07
 6  2.991e+13  8.199e+07  1.589e+04  6.880e+07  5.701e+07
 5  3.630e+13  8.337e+07  1.578e+04  4.585e+07  3.807e+07
 4  4.370e+13  8.447e+07  1.569e+04  3.120e+07  2.593e+07
 3  5.188e+13  8.533e+07  1.560e+04  2.190e+07  1.821e+07
 2  6.032e+13  8.598e+07  1.552e+04  1.607e+07  1.337e+07
 1  6.781e+13  8.642e+07  1.546e+04  1.265e+07  1.052e+07
 0  6.821e+13  8.644e+07  1.546e+04  1.250e+07  1.040e+07
