        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
1.195e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  2.69e+04  2.69e+04 -1.89e+00  6.44e+00  3.91e+04  3.91e+04  3.34e-01  1.65e+38  1.62e+38  1.62e+38  1.05e+07  2.27e+01  6.17e+06  1.00e-01  0.00e+00  0.00e+00 
1.640e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.46e+04  2.46e+04 -1.75e+00 -2.64e+00  3.91e+04  3.91e+04  1.39e-01  3.78e+36  3.28e+36  3.27e+36  8.61e+06  8.84e+01  4.16e+06  1.33e-01  0.00e+00  0.00e+00 
1.921e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.33e+04  2.32e+04  2.35e+01 -2.09e+01  3.93e+04  3.93e+04  8.39e-02  7.01e+35  5.90e+35  5.89e+35  8.22e+06  1.78e+02  3.95e+06  3.86e-01  0.00e+00  0.00e+00 
2.250e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.96e+10  2.20e+04  2.21e+04  4.91e+01  6.83e+01  3.94e+04  3.94e+04  5.58e-02  1.87e+35  1.62e+35  1.62e+35  8.08e+06  2.76e+02  3.87e+06  8.00e-01  0.00e+00  0.00e+00 
2.635e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.04e+10  2.07e+04  2.07e+04 -6.81e-01  2.51e+01  3.94e+04  3.94e+04  3.86e-02  6.84e+34  6.08e+34  6.07e+34  8.00e+06  3.74e+02  3.81e+06  1.20e-01  0.00e+00  0.00e+00 
3.086e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.70e+10  1.96e+04  1.95e+04  9.61e+01 -1.16e+02  3.93e+04  3.93e+04  2.73e-02  3.09e+34  2.84e+34  2.83e+34  7.94e+06  4.68e+02  3.77e+06  5.22e-01  0.00e+00  0.00e+00 
3.615e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.02e+10  1.83e+04  1.85e+04  1.43e+02  8.62e+01  3.92e+04  3.92e+04  1.96e-02  1.58e+34  1.48e+34  1.50e+34  7.89e+06  5.54e+02  3.74e+06  6.16e-01  0.00e+00  0.00e+00 
4.234e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.34e+09  1.76e+04  1.76e+04 -3.61e+01 -2.66e+00  3.90e+04  3.91e+04  1.42e-02  9.47e+33  9.03e+33  9.01e+33  7.85e+06  6.30e+02  3.70e+06  2.70e-01  0.00e+00  0.00e+00 
4.959e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.08e+09  1.70e+04  1.71e+04 -4.80e+01  9.96e+01  3.89e+04  3.89e+04  1.03e-02  5.93e+33  5.75e+33  5.84e+33  7.82e+06  6.97e+02  3.68e+06  1.72e-01  0.00e+00  0.00e+00 
5.809e+12   10      0        0  3.67e+07  0.00e+00  3.67e+07  4.98e+38  5.79e-15  2.69e+09  1.65e+04  1.64e+04 -1.19e+02  2.27e+02  3.88e+04  3.88e+04  7.51e-03  4.13e+33  4.04e+33  4.01e+33  7.79e+06  7.56e+02  3.66e+06  3.44e-01  0.00e+00  0.00e+00 
6.804e+12   11      0        0  4.01e+07  0.00e+00  4.01e+07  8.01e+38  3.89e-15  1.81e+09  1.61e+04  1.58e+04 -8.89e+01 -1.32e+02  3.86e+04  3.86e+04  5.49e-03  2.94e+33  2.91e+33  2.86e+33  7.77e+06  8.06e+02  3.64e+06  4.91e-01  0.00e+00  0.00e+00 
