        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
1.195e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  3.69e-09 -1.54e-20 -3.46e-09  0.00e+00  7.14e-09  0.00e+00 -3.46e-09 -1.54e-20  3.69e-09  9.35e-06  7.14e-09  1.00e+00  8.48e+05 
1.640e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  7.44e-06  4.91e-19  6.26e-06  0.00e+00  1.18e-06  0.00e+00  6.26e-06  4.91e-19  7.44e-06  2.16e-05  1.37e-05  1.00e+00  9.93e+05 
1.921e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.10e-05 -1.48e-18  7.53e-06  0.00e+00  3.45e-06  0.00e+00  7.53e-06 -1.48e-18  1.10e-05  2.84e-05  1.85e-05  1.00e+00  1.16e+06 
2.250e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  1.23e-05  1.31e-17  6.55e-06  0.00e+00  5.71e-06  0.00e+00  6.55e-06  1.31e-17  1.23e-05  3.15e-05  1.88e-05  1.00e+00  1.36e+06 
2.635e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  1.23e-05  2.19e-17  4.75e-06  0.00e+00  7.51e-06  0.00e+00  4.75e-06  2.19e-17  1.23e-05  3.21e-05  1.70e-05  1.00e+00  1.60e+06 
3.086e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  1.16e-05 -4.27e-17  2.87e-06  0.00e+00  8.71e-06  0.00e+00  2.87e-06 -4.27e-17  1.16e-05  3.13e-05  1.45e-05  1.00e+00  1.87e+06 
3.615e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.06e-05 -1.92e-17  1.23e-06  0.00e+00  9.35e-06  0.00e+00  1.23e-06 -1.92e-17  1.06e-05  2.95e-05  1.18e-05  1.00e+00  2.19e+06 
4.234e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  9.47e-06 -1.09e-17 -5.85e-08  0.00e+00  9.52e-06  0.00e+00 -5.85e-08 -1.09e-17  9.47e-06  2.72e-05  9.52e-06  1.00e+00  2.56e+06 
4.959e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  8.35e-06 -7.03e-17 -9.98e-07  0.00e+00  9.35e-06  0.00e+00 -9.98e-07 -7.03e-17  8.35e-06  2.47e-05  9.35e-06  1.00e+00  3.00e+06 
