        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
1.195e+12 1.298e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12 1.520e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  2.69e+04  3.91e+04  1.09e-07  2.42e-02  6.88e-01  2.11e-03  2.15e-10 -3.36e+28 -3.55e+25 -2.14e+28  2.27e+01  2.62e+02  1.05e+07  8.37e+05  6.17e+06 
1.640e+12 1.780e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.46e+04  3.91e+04  2.87e-08  6.58e-03  4.45e-01  9.09e-03  3.52e-09 -4.56e+27 -4.14e+25 -2.90e+27  8.84e+01  1.03e+03  8.61e+06  1.61e+04  4.16e+06 
1.921e+12 2.085e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.33e+04  3.93e+04  1.49e-08  3.19e-03  2.80e-01  2.11e-02  1.90e-08 -2.05e+27  1.80e+25 -1.31e+27  1.78e+02  2.08e+03  8.22e+06  2.81e+03  3.95e+06 
2.250e+12 2.442e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.96e+10  2.20e+04  3.94e+04  1.00e-08  2.08e-03  2.02e-01  3.47e-02  5.03e-08 -1.35e+27 -7.65e+24 -8.64e+26  2.76e+02  3.24e+03  8.08e+06  8.04e+02  3.87e+06 
2.635e+12 2.861e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.04e+10  2.07e+04  3.94e+04  7.73e-09  1.61e-03  1.65e-01  4.75e-02  8.96e-08 -1.05e+27  2.40e+24 -6.73e+26  3.74e+02  4.39e+03  8.00e+06  3.37e+02  3.81e+06 
3.086e+12 3.351e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.70e+10  1.96e+04  3.93e+04  6.45e-09  1.37e-03  1.44e-01  5.81e-02  1.27e-07 -8.61e+26  4.04e+24 -5.44e+26  4.68e+02  5.49e+03  7.94e+06  1.72e+02  3.77e+06 
3.615e+12 3.925e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.02e+10  1.83e+04  3.92e+04  5.72e-09  1.25e-03  1.35e-01  6.59e-02  1.53e-07 -7.28e+26  3.79e+24 -4.64e+26  5.54e+02  6.50e+03  7.89e+06  8.50e+01  3.74e+06 
4.234e+12 4.597e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.34e+09  1.76e+04  3.90e+04  5.18e-09  1.18e-03  1.29e-01  7.05e-02  1.66e-07 -6.18e+26 -8.41e+23 -3.82e+26  6.30e+02  7.39e+03  7.85e+06  5.20e+01  3.70e+06 
4.959e+12 5.384e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.08e+09  1.70e+04  3.89e+04  4.78e-09  1.13e-03  1.26e-01  7.32e-02  1.70e-07 -5.11e+26  4.39e+24 -3.30e+26  6.97e+02  8.15e+03  7.82e+06  3.70e+01  3.68e+06 
