        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
1.195e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  3.40e+04  3.41e+04 -1.40e+02 -1.44e+02  4.02e+04  4.03e+04  3.08e-01  2.80e+39  2.80e+39  2.82e+39  1.07e+07  2.62e+01  4.79e+06  8.00e-01  0.00e+00  0.00e+00 
1.640e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.61e+04  2.61e+04 -3.10e+01 -2.49e+01  4.04e+04  4.04e+04  1.24e-01  1.65e+37  1.65e+37  1.65e+37  1.11e+07  1.04e+02  4.48e+06  8.00e-01  0.00e+00  0.00e+00 
1.921e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.36e+04  2.37e+04  4.07e+01  1.16e+01  4.06e+04  4.06e+04  7.57e-02  1.81e+36  1.81e+36  1.82e+36  1.06e+07  2.09e+02  4.25e+06  8.00e-01  0.00e+00  0.00e+00 
2.250e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.95e+10  2.21e+04  2.21e+04 -9.78e+00  5.37e+00  4.06e+04  4.06e+04  5.05e-02  4.50e+35  4.49e+35  4.53e+35  1.05e+07  3.24e+02  4.16e+06  6.31e-01  0.00e+00  0.00e+00 
2.635e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.03e+10  2.09e+04  2.09e+04 -2.36e+00 -3.24e+01  4.06e+04  4.06e+04  3.49e-02  1.62e+35  1.62e+35  1.62e+35  1.04e+07  4.40e+02  4.11e+06  5.15e-01  0.00e+00  0.00e+00 
3.086e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.69e+10  1.99e+04  1.99e+04 -5.63e+00 -2.93e+00  4.06e+04  4.06e+04  2.47e-02  7.04e+34  7.04e+34  7.06e+34  1.03e+07  5.50e+02  4.06e+06  2.40e-01  0.00e+00  0.00e+00 
3.615e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.01e+10  1.89e+04  1.88e+04 -8.61e+00 -3.64e+01  4.05e+04  4.05e+04  1.76e-02  3.53e+34  3.53e+34  3.52e+34  1.02e+07  6.50e+02  4.02e+06  5.15e-01  0.00e+00  0.00e+00 
4.234e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.29e+09  1.81e+04  1.81e+04  5.03e+01  8.34e-01  4.04e+04  4.04e+04  1.27e-02  1.93e+34  1.93e+34  1.96e+34  1.02e+07  7.41e+02  3.99e+06  5.22e-01  0.00e+00  0.00e+00 
4.959e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.03e+09  1.75e+04  1.75e+04  9.38e+00 -1.71e+01  4.02e+04  4.02e+04  9.20e-03  1.20e+34  1.20e+34  1.20e+34  1.01e+07  8.20e+02  3.96e+06  1.14e-01  0.00e+00  0.00e+00 
