        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
1.195e+12 1.298e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12 1.520e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  3.40e+04  4.02e+04  9.08e-07  2.08e-02  4.55e-01  9.99e-02  5.01e-29 -3.84e+28  4.29e+24 -2.45e+28  2.62e+01  2.99e+02  1.07e+07  0.00e+00  4.79e+06 
1.640e+12 1.780e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.61e+04  4.04e+04  1.49e-07  6.61e-03  4.53e-01  4.33e-02  4.96e-28 -4.86e+27 -1.23e+25 -3.09e+27  1.04e+02  1.20e+03  1.11e+07  0.00e+00  4.48e+06 
1.921e+12 2.085e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.36e+04  4.06e+04  5.85e-08  8.54e-03  5.79e-01  2.85e-02  1.61e-27 -2.14e+27 -2.06e+24 -1.36e+27  2.09e+02  2.42e+03  1.06e+07  0.00e+00  4.25e+06 
2.250e+12 2.442e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.95e+10  2.21e+04  4.06e+04  3.10e-08  1.51e-02  7.14e-01  1.59e-02  3.72e-27 -1.44e+27  3.32e+23 -9.13e+26  3.24e+02  3.75e+03  1.05e+07  0.00e+00  4.16e+06 
2.635e+12 2.861e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.03e+10  2.09e+04  4.06e+04  1.93e-08  2.35e-02  7.74e-01  1.08e-02  7.31e-27 -1.11e+27  3.99e+23 -7.12e+26  4.40e+02  5.06e+03  1.04e+07  0.00e+00  4.11e+06 
3.086e+12 3.351e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.69e+10  1.99e+04  4.06e+04  1.34e-08  3.58e-02  7.86e-01  6.04e-03  1.30e-26 -9.03e+26  1.21e+25 -5.70e+26  5.50e+02  6.33e+03  1.03e+07  0.00e+00  4.06e+06 
3.615e+12 3.925e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.01e+10  1.89e+04  4.05e+04  1.00e-08  4.73e-02  8.25e-01  3.14e-03  2.18e-26 -7.59e+26 -2.01e+24 -4.99e+26  6.50e+02  7.48e+03  1.02e+07  0.00e+00  4.02e+06 
4.234e+12 4.597e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.29e+09  1.81e+04  4.04e+04  7.94e-09  5.62e-02  8.60e-01  1.40e-03  3.50e-26 -6.40e+26  2.49e+24 -4.01e+26  7.41e+02  8.52e+03  1.02e+07  0.00e+00  3.99e+06 
4.959e+12 5.384e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.03e+09  1.75e+04  4.02e+04  6.52e-09  9.74e-02  8.86e-01  6.37e-04  5.43e-26 -5.38e+26 -8.16e+23 -3.45e+26  8.20e+02  9.45e+03  1.01e+07  0.00e+00  3.96e+06 
5.809e+12 6.306e+12   10      0        0  3.67e+07  0.00e+00  3.67e+07  4.98e+38  5.79e-15  2.65e+09  1.69e+04  4.01e+04  5.63e-09  1.23e-01  8.98e-01  2.76e-04  8.24e-26 -4.27e+26 -8.18e+22 -2.71e+26  8.89e+02  1.02e+04  1.01e+07  0.00e+00  3.94e+06 
6.804e+12 7.386e+12   11      0        0  4.01e+07  0.00e+00  4.01e+07  8.01e+38  3.89e-15  1.75e+09  1.68e+04  4.00e+04  4.82e-09  2.17e-01  9.29e-01  1.62e-04  1.23e-25 -3.49e+26 -2.09e+24 -2.17e+26  9.50e+02  1.09e+04  1.01e+07  0.00e+00  3.92e+06 
7.969e+12 8.652e+12   12      0        0  4.32e+07  0.00e+00  4.32e+07  1.29e+39  2.65e-15  1.18e+09  1.63e+04  3.99e+04  4.32e-09  2.80e-01  9.50e-01  6.99e-05  1.80e-25 -2.78e+26  2.98e+24 -1.71e+26  1.00e+03  1.15e+04  1.01e+07  0.00e+00  3.91e+06 
9.334e+12 1.013e+13   13      0        0  4.60e+07  0.00e+00  4.60e+07  2.07e+39  1.83e-15  8.07e+08  1.61e+04  3.98e+04  3.98e-09  3.52e-01  9.62e-01  2.10e-05  2.61e-25 -2.19e+26 -1.20e+24 -1.40e+26  1.05e+03  1.20e+04  1.01e+07  0.00e+00  3.90e+06 
1.093e+13 1.187e+13   14      0        0  4.84e+07  0.00e+00  4.84e+07  3.32e+39  1.27e-15  5.50e+08  1.57e+04  3.97e+04  3.72e-09  4.90e-01  9.76e-01  1.82e-05  3.75e-25 -1.70e+26  1.22e+24 -1.12e+26  1.09e+03  1.25e+04  1.00e+07  0.00e+00  3.89e+06 
1.281e+13 1.390e+13   15      0        0  5.05e+07  0.00e+00  5.05e+07  5.34e+39  8.91e-16  3.73e+08  1.53e+04  3.97e+04  3.53e-09  7.12e-01  9.85e-01  6.36e-06  5.35e-25 -1.38e+26  3.22e+24 -8.85e+25  1.12e+03  1.29e+04  1.00e+07  0.00e+00  3.88e+06 
1.500e+13 1.628e+13   16      0        0  5.23e+07  0.00e+00  5.23e+07  8.58e+39  6.29e-16  2.65e+08  1.48e+04  3.96e+04  3.51e-09  6.59e-01  9.87e-01  2.07e-06  7.58e-25 -1.19e+26  1.65e+24 -7.42e+25  1.15e+03  1.32e+04  1.00e+07  0.00e+00  3.88e+06 
1.757e+13 1.907e+13   17      0        0  5.39e+07  0.00e+00  5.39e+07  1.38e+40  4.46e-16  1.81e+08  1.50e+04  3.96e+04  3.22e-09  8.86e-01  9.88e-01  1.35e-06  1.07e-24 -9.53e+25 -6.24e+23 -5.86e+25  1.18e+03  1.35e+04  1.00e+07  0.00e+00  3.87e+06 
2.058e+13 2.234e+13   18      0        0  5.53e+07  0.00e+00  5.53e+07  2.21e+40  3.18e-16  1.30e+08  1.47e+04  3.96e+04  3.17e-09  8.57e-01  9.92e-01  6.06e-07  1.50e-24 -8.23e+25  1.02e+23 -5.57e+25  1.20e+03  1.38e+04  1.00e+07  0.00e+00  3.87e+06 
2.410e+13 2.617e+13   19      0        0  5.65e+07  0.00e+00  5.65e+07  3.56e+40  2.27e-16  9.13e+07  1.45e+04  3.95e+04  3.12e-09  9.58e-01  9.94e-01  3.29e-07  2.10e-24 -6.49e+25  9.06e+23 -4.02e+25  1.22e+03  1.40e+04  1.00e+07  0.00e+00  3.87e+06 
2.823e+13 3.065e+13   20      0        0  5.75e+07  0.00e+00  5.75e+07  5.72e+40  1.63e-16  6.54e+07  1.42e+04  3.95e+04  3.09e-09  9.59e-01  9.94e-01  1.25e-07  2.93e-24 -5.67e+25 -1.50e+24 -3.66e+25  1.24e+03  1.42e+04  1.00e+07  0.00e+00  3.86e+06 
3.306e+13 3.590e+13   21      0        0  5.84e+07  0.00e+00  5.84e+07  9.19e+40  1.17e-16  4.69e+07  1.40e+04  3.95e+04  3.08e-09  9.78e-01  9.95e-01  7.94e-08  4.07e-24 -4.63e+25  1.36e+24 -2.81e+25  1.25e+03  1.44e+04  1.00e+07  0.00e+00  3.86e+06 
3.873e+13 4.205e+13   22      0        0  5.91e+07  0.00e+00  5.91e+07  1.48e+41  8.43e-17  3.37e+07  1.37e+04  3.95e+04  3.09e-09  9.85e-01  9.96e-01  3.50e-08  5.66e-24 -3.99e+25 -1.64e+24 -2.69e+25  1.27e+03  1.45e+04  1.00e+07  0.00e+00  3.86e+06 
4.536e+13 4.925e+13   23      0        0  5.98e+07  0.00e+00  5.98e+07  2.37e+41  6.09e-17  2.44e+07  1.34e+04  3.95e+04  3.11e-09  9.80e-01  9.96e-01  1.67e-08  7.84e-24 -3.21e+25  3.84e+22 -2.10e+25  1.28e+03  1.46e+04  1.00e+07  0.00e+00  3.86e+06 
