        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
1.195e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  2.92e+04  2.92e+04 -8.75e+00 -4.08e+00  4.03e+04  4.03e+04  3.06e-01  2.83e+38  2.83e+38  2.83e+38  1.07e+07  2.68e+01  4.83e+06  2.52e-01  0.00e+00  0.00e+00 
1.640e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.66e+04  2.66e+04  1.46e+01 -1.01e+01  4.06e+04  4.06e+04  1.22e-01  4.04e+36  4.04e+36  4.03e+36  1.11e+07  1.06e+02  4.53e+06  2.30e-01  0.00e+00  0.00e+00 
1.921e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.55e+04  2.55e+04  6.69e+00 -1.77e+01  4.08e+04  4.08e+04  7.43e-02  7.11e+35  7.11e+35  7.09e+35  1.06e+07  2.14e+02  4.31e+06  1.00e-01  0.00e+00  0.00e+00 
2.250e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.94e+10  2.45e+04  2.45e+04 -5.75e+00  7.95e+00  4.08e+04  4.09e+04  4.95e-02  2.04e+35  2.04e+35  2.04e+35  1.05e+07  3.32e+02  4.22e+06  4.02e-01  0.00e+00  0.00e+00 
2.635e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.03e+10  2.35e+04  2.35e+04 -2.28e+01 -1.85e+01  4.08e+04  4.08e+04  3.42e-02  7.99e+34  7.99e+34  7.96e+34  1.04e+07  4.50e+02  4.16e+06  2.46e-01  0.00e+00  0.00e+00 
3.086e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.70e+10  2.25e+04  2.25e+04 -7.51e+01  1.42e+01  4.07e+04  4.08e+04  2.42e-02  3.80e+34  3.80e+34  3.79e+34  1.03e+07  5.62e+02  4.11e+06  4.92e-01  0.00e+00  0.00e+00 
3.615e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.01e+10  2.15e+04  2.17e+04  5.01e+01 -1.22e+02  4.06e+04  4.07e+04  1.73e-02  2.01e+34  2.01e+34  2.02e+34  1.02e+07  6.64e+02  4.07e+06  4.74e-01  0.00e+00  0.00e+00 
4.234e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.28e+09  2.11e+04  2.11e+04  2.80e+01  3.29e+01  4.05e+04  4.05e+04  1.25e-02  1.22e+34  1.22e+34  1.22e+34  1.02e+07  7.55e+02  4.03e+06  3.12e-01  0.00e+00  0.00e+00 
4.959e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.01e+09  2.06e+04  2.06e+04 -5.24e+01 -7.65e+01  4.04e+04  4.04e+04  9.08e-03  7.76e+33  7.76e+33  7.67e+33  1.01e+07  8.35e+02  4.01e+06  2.30e-01  0.00e+00  0.00e+00 
5.809e+12   10      0        0  3.67e+07  0.00e+00  3.67e+07  4.98e+38  5.79e-15  2.63e+09  2.03e+04  2.00e+04 -1.80e+02 -2.91e+02  4.02e+04  4.03e+04  6.61e-03  5.30e+33  5.30e+33  5.19e+33  1.01e+07  9.05e+02  3.98e+06  6.31e-01  0.00e+00  0.00e+00 
6.804e+12   11      0        0  4.01e+07  0.00e+00  4.01e+07  8.01e+38  3.89e-15  1.74e+09  2.01e+04  2.02e+04  1.94e+02 -1.36e+02  4.01e+04  4.01e+04  4.82e-03  3.55e+33  3.55e+33  3.61e+33  1.01e+07  9.65e+02  3.96e+06  2.30e-01  0.00e+00  0.00e+00 
7.969e+12   12      0        0  4.32e+07  0.00e+00  4.32e+07  1.29e+39  2.65e-15  1.16e+09  1.96e+04  1.98e+04  1.69e+02 -2.95e+02  4.00e+04  4.00e+04  3.51e-03  2.47e+33  2.47e+33  2.44e+33  1.01e+07  1.02e+03  3.95e+06  3.65e-01  0.00e+00  0.00e+00 
9.334e+12   13      0        0  4.60e+07  0.00e+00  4.60e+07  2.07e+39  1.83e-15  8.14e+08  1.96e+04  1.95e+04 -9.48e+01 -9.02e+01  3.99e+04  3.99e+04  2.57e-03  2.01e+33  2.01e+33  1.99e+33  1.01e+07  1.07e+03  3.94e+06  1.79e-01  0.00e+00  0.00e+00 
1.093e+13   14      0        0  4.84e+07  0.00e+00  4.84e+07  3.32e+39  1.27e-15  5.50e+08  1.95e+04  1.91e+04  2.64e+02 -6.27e+02  3.98e+04  3.99e+04  1.87e-03  1.40e+33  1.40e+33  1.44e+33  1.00e+07  1.11e+03  3.93e+06  5.22e-01  0.00e+00  0.00e+00 
1.281e+13   15      0        0  5.05e+07  0.00e+00  5.05e+07  5.34e+39  8.91e-16  3.77e+08  1.91e+04  1.87e+04 -1.66e+02  6.83e+01  3.98e+04  3.98e+04  1.37e-03  1.07e+33  1.07e+33  1.05e+33  1.00e+07  1.14e+03  3.93e+06  5.74e-01  0.00e+00  0.00e+00 
1.500e+13   16      0        0  5.23e+07  0.00e+00  5.23e+07  8.58e+39  6.29e-16  2.67e+08  1.83e+04  1.94e+04  7.83e+02  9.37e+02  3.97e+04  3.97e+04  9.97e-04  7.67e+32  7.67e+32  8.14e+32  1.00e+07  1.17e+03  3.92e+06  6.16e-01  0.00e+00  0.00e+00 
1.757e+13   17      0        0  5.39e+07  0.00e+00  5.39e+07  1.38e+40  4.46e-16  1.83e+08  1.82e+04  1.82e+04 -2.65e+02  2.26e+02  3.97e+04  3.97e+04  7.27e-04  6.05e+32  6.05e+32  6.08e+32  1.00e+07  1.20e+03  3.92e+06  8.00e-01  0.00e+00  0.00e+00 
2.058e+13   18      0        0  5.53e+07  0.00e+00  5.53e+07  2.21e+40  3.18e-16  1.28e+08  1.72e+04  1.81e+04  7.30e+01  6.81e+02  3.97e+04  3.97e+04  5.30e-04  4.64e+32  4.64e+32  4.52e+32  1.00e+07  1.22e+03  3.91e+06  6.94e-01  0.00e+00  0.00e+00 
2.410e+13   19      0        0  5.65e+07  0.00e+00  5.65e+07  3.56e+40  2.27e-16  9.44e+07  1.77e+04  1.73e+04 -1.90e+02  1.25e+02  3.96e+04  3.96e+04  3.87e-04  4.34e+32  4.34e+32  4.40e+32  1.00e+07  1.24e+03  3.91e+06  4.25e-01  0.00e+00  0.00e+00 
2.823e+13   20      0        0  5.75e+07  0.00e+00  5.75e+07  5.72e+40  1.63e-16  6.64e+07  1.72e+04  1.70e+04  4.03e-01 -5.48e-01  3.96e+04  3.96e+04  2.82e-04  3.64e+32  3.64e+32  3.50e+32  1.00e+07  1.26e+03  3.91e+06  1.39e-01  0.00e+00  0.00e+00 
3.306e+13   21      0        0  5.84e+07  0.00e+00  5.84e+07  9.19e+40  1.17e-16  4.69e+07  1.64e+04  1.64e+04  7.38e+00  1.92e+01  3.96e+04  3.96e+04  2.06e-04  2.75e+32  2.75e+32  2.74e+32  1.00e+07  1.27e+03  3.91e+06  1.32e-01  0.00e+00  0.00e+00 
3.873e+13   22      0        0  5.91e+07  0.00e+00  5.91e+07  1.48e+41  8.43e-17  3.38e+07  1.58e+04  1.58e+04 -1.04e+01 -1.06e+01  3.96e+04  3.96e+04  1.50e-04  2.32e+32  2.32e+32  2.34e+32  1.00e+07  1.29e+03  3.91e+06  4.42e-01  0.00e+00  0.00e+00 
4.536e+13   23      0        0  5.98e+07  0.00e+00  5.98e+07  2.37e+41  6.09e-17  2.43e+07  1.52e+04  1.52e+04 -3.54e+00 -3.59e+00  3.96e+04  3.96e+04  1.09e-04  1.99e+32  1.99e+32  2.00e+32  1.00e+07  1.30e+03  3.90e+06  2.46e-01  0.00e+00  0.00e+00 
