        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
1.195e+12 1.298e+12    0     -1        0  7.07e+03  0.00e+00  7.07e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.400e+12 1.520e+12    1      0        0  7.07e+03  0.00e+00  7.07e+03  6.98e+36  9.52e-12  4.42e+12  2.92e+04  4.03e+04  2.00e-07  1.30e-02  5.99e-01  3.65e-03  9.65e-10 -3.87e+28 -1.20e+24 -2.46e+28  2.68e+01  3.03e+02  1.07e+07  0.00e+00  4.83e+06 
1.640e+12 1.780e+12    2      0        0  1.37e+06  0.00e+00  1.37e+06  1.12e+37  9.61e-13  4.47e+11  2.66e+04  4.06e+04  3.52e-08  7.87e-03  2.91e-01  1.84e-02  2.37e-08 -4.87e+27  1.05e+25 -3.06e+27  1.06e+02  1.22e+03  1.11e+07  0.00e+00  4.53e+06 
1.921e+12 2.085e+12    3      0        0  4.68e+06  0.00e+00  4.68e+06  1.80e+37  2.97e-13  1.38e+11  2.55e+04  4.08e+04  1.62e-08  2.27e-02  1.65e-01  4.08e-02  1.19e-07 -2.14e+27 -7.40e+24 -1.37e+27  2.14e+02  2.45e+03  1.06e+07  0.00e+00  4.31e+06 
2.250e+12 2.442e+12    4      0        0  9.08e+06  0.00e+00  9.08e+06  2.89e+37  1.28e-13  5.94e+10  2.45e+04  4.08e+04  9.97e-09  3.12e-02  1.14e-01  6.54e-02  3.04e-07 -1.46e+27 -4.47e+24 -9.16e+26  3.32e+02  3.81e+03  1.05e+07  0.00e+00  4.22e+06 
2.635e+12 2.861e+12    5      0        0  1.40e+07  0.00e+00  1.40e+07  4.65e+37  6.53e-14  3.03e+10  2.35e+04  4.08e+04  7.30e-09  2.60e-02  8.96e-02  8.86e-02  5.43e-07 -1.12e+27  5.99e+24 -7.21e+26  4.50e+02  5.16e+03  1.04e+07  0.00e+00  4.16e+06 
3.086e+12 3.351e+12    6      0        0  1.90e+07  0.00e+00  1.90e+07  7.47e+37  3.66e-14  1.70e+10  2.25e+04  4.07e+04  5.86e-09  2.82e-02  7.69e-02  1.08e-01  7.73e-07 -9.26e+26 -1.03e+24 -5.77e+26  5.62e+02  6.45e+03  1.03e+07  0.00e+00  4.11e+06 
3.615e+12 3.925e+12    7      0        0  2.39e+07  0.00e+00  2.39e+07  1.20e+38  2.19e-14  1.01e+10  2.15e+04  4.06e+04  4.98e-09  4.06e-02  6.98e-02  1.24e-01  9.67e-07 -7.74e+26 -5.27e+24 -4.93e+26  6.64e+02  7.62e+03  1.02e+07  0.00e+00  4.07e+06 
4.234e+12 4.597e+12    8      0        0  2.85e+07  0.00e+00  2.85e+07  1.93e+38  1.36e-14  6.28e+09  2.11e+04  4.05e+04  4.35e-09  6.69e-02  6.52e-02  1.34e-01  1.08e-06 -6.36e+26  2.89e+23 -4.08e+26  7.55e+02  8.66e+03  1.02e+07  0.00e+00  4.03e+06 
4.959e+12 5.384e+12    9      0        0  3.28e+07  0.00e+00  3.28e+07  3.10e+38  8.78e-15  4.01e+09  2.06e+04  4.04e+04  3.91e-09  1.31e-01  6.28e-02  1.40e-01  1.13e-06 -5.32e+26  6.65e+24 -3.35e+26  8.35e+02  9.58e+03  1.01e+07  0.00e+00  4.01e+06 
5.809e+12 6.306e+12   10      0        0  3.67e+07  0.00e+00  3.67e+07  4.98e+38  5.79e-15  2.63e+09  2.03e+04  4.02e+04  3.58e-09  1.70e-01  6.11e-02  1.44e-01  1.15e-06 -4.33e+26  1.22e+24 -2.69e+26  9.05e+02  1.04e+04  1.01e+07  0.00e+00  3.98e+06 
6.804e+12 7.386e+12   11      0        0  4.01e+07  0.00e+00  4.01e+07  8.01e+38  3.89e-15  1.74e+09  2.01e+04  4.01e+04  3.31e-09  2.55e-01  5.98e-02  1.47e-01  1.15e-06 -3.32e+26 -6.44e+24 -2.18e+26  9.65e+02  1.10e+04  1.01e+07  0.00e+00  3.96e+06 
7.969e+12 8.652e+12   12      0        0  4.32e+07  0.00e+00  4.32e+07  1.29e+39  2.65e-15  1.16e+09  1.96e+04  4.00e+04  3.13e-09  4.14e-01  5.91e-02  1.51e-01  1.16e-06 -2.58e+26 -1.57e+24 -1.60e+26  1.02e+03  1.16e+04  1.01e+07  0.00e+00  3.95e+06 
9.334e+12 1.013e+13   13      0        0  4.60e+07  0.00e+00  4.60e+07  2.07e+39  1.83e-15  8.14e+08  1.96e+04  3.99e+04  2.99e-09  2.94e-01  5.87e-02  1.51e-01  1.13e-06 -2.09e+26  1.08e+24 -1.32e+26  1.07e+03  1.21e+04  1.01e+07  0.00e+00  3.94e+06 
1.093e+13 1.187e+13   14      0        0  4.84e+07  0.00e+00  4.84e+07  3.32e+39  1.27e-15  5.50e+08  1.95e+04  3.98e+04  2.76e-09  4.96e-01  5.60e-02  1.56e-01  1.20e-06 -1.65e+26 -1.83e+24 -1.08e+26  1.11e+03  1.26e+04  1.00e+07  0.00e+00  3.93e+06 
1.281e+13 1.390e+13   15      0        0  5.05e+07  0.00e+00  5.05e+07  5.34e+39  8.91e-16  3.77e+08  1.91e+04  3.98e+04  2.68e-09  6.37e-01  5.57e-02  1.60e-01  1.22e-06 -1.32e+26  2.30e+23 -8.44e+25  1.14e+03  1.30e+04  1.00e+07  0.00e+00  3.93e+06 
1.500e+13 1.628e+13   16      0        0  5.23e+07  0.00e+00  5.23e+07  8.58e+39  6.29e-16  2.67e+08  1.83e+04  3.97e+04  2.71e-09  6.18e-01  5.75e-02  1.60e-01  1.18e-06 -1.11e+26 -1.34e+23 -6.93e+25  1.17e+03  1.33e+04  1.00e+07  0.00e+00  3.92e+06 
1.757e+13 1.907e+13   17      0        0  5.39e+07  0.00e+00  5.39e+07  1.38e+40  4.46e-16  1.83e+08  1.82e+04  3.97e+04  2.56e-09  8.32e-01  5.51e-02  1.66e-01  1.26e-06 -8.64e+25  1.07e+24 -5.90e+25  1.20e+03  1.36e+04  1.00e+07  0.00e+00  3.92e+06 
2.058e+13 2.234e+13   18      0        0  5.53e+07  0.00e+00  5.53e+07  2.21e+40  3.18e-16  1.28e+08  1.72e+04  3.97e+04  2.62e-09  9.35e-01  5.70e-02  1.67e-01  1.24e-06 -7.66e+25  5.14e+23 -4.80e+25  1.22e+03  1.39e+04  1.00e+07  0.00e+00  3.91e+06 
2.410e+13 2.617e+13   19      0        0  5.65e+07  0.00e+00  5.65e+07  3.56e+40  2.27e-16  9.44e+07  1.77e+04  3.96e+04  2.50e-09  7.53e-01  5.52e-02  1.69e-01  1.27e-06 -6.33e+25 -4.97e+23 -4.31e+25  1.24e+03  1.41e+04  1.00e+07  0.00e+00  3.91e+06 
2.823e+13 3.065e+13   20      0        0  5.75e+07  0.00e+00  5.75e+07  5.72e+40  1.63e-16  6.64e+07  1.72e+04  3.96e+04  2.48e-09  8.66e-01  5.51e-02  1.72e-01  1.30e-06 -5.50e+25  1.68e+24 -3.63e+25  1.26e+03  1.43e+04  1.00e+07  0.00e+00  3.91e+06 
3.306e+13 3.590e+13   21      0        0  5.84e+07  0.00e+00  5.84e+07  9.19e+40  1.17e-16  4.69e+07  1.64e+04  3.96e+04  2.53e-09  9.77e-01  5.65e-02  1.73e-01  1.29e-06 -4.41e+25  1.42e+24 -2.94e+25  1.27e+03  1.45e+04  1.00e+07  0.00e+00  3.91e+06 
3.873e+13 4.205e+13   22      0        0  5.91e+07  0.00e+00  5.91e+07  1.48e+41  8.43e-17  3.38e+07  1.58e+04  3.96e+04  2.56e-09  9.77e-01  5.75e-02  1.74e-01  1.28e-06 -3.90e+25  2.75e+23 -2.37e+25  1.29e+03  1.46e+04  1.00e+07  0.00e+00  3.91e+06 
4.536e+13 4.925e+13   23      0        0  5.98e+07  0.00e+00  5.98e+07  2.37e+41  6.09e-17  2.43e+07  1.52e+04  3.96e+04  2.61e-09  9.87e-01  5.88e-02  1.74e-01  1.27e-06 -3.08e+25 -3.00e+23 -2.16e+25  1.30e+03  1.48e+04  1.00e+07  0.00e+00  3.90e+06 
5.313e+13 5.768e+13   24      0        0  6.03e+07  0.00e+00  6.03e+07  3.81e+41  4.40e-17  1.76e+07  1.45e+04  3.96e+04  2.68e-09  9.97e-01  6.06e-02  1.73e-01  1.25e-06 -2.65e+25  5.19e+23 -1.57e+25  1.31e+03  1.49e+04  1.00e+07  0.00e+00  3.90e+06 
6.223e+13 6.756e+13   25      0        0  6.08e+07  0.00e+00  6.08e+07  6.13e+41  3.18e-17  1.27e+07  1.37e+04  3.95e+04  2.76e-09  9.97e-01  6.26e-02  1.72e-01  1.23e-06 -2.21e+25 -8.44e+23 -1.40e+25  1.32e+03  1.50e+04  1.00e+07  0.00e+00  3.90e+06 
7.289e+13 7.913e+13   26      0        0  6.12e+07  0.00e+00  6.12e+07  9.85e+41  2.31e-17  9.20e+06  1.29e+04  3.95e+04  2.86e-09  9.98e-01  6.50e-02  1.70e-01  1.20e-06 -1.86e+25  1.01e+24 -1.13e+25  1.32e+03  1.50e+04  1.00e+07  0.00e+00  3.90e+06 
8.538e+13 9.269e+13   27      0        0  6.16e+07  0.00e+00  6.16e+07  1.58e+42  1.67e-17  6.67e+06  1.21e+04  3.95e+04  2.98e-09  9.98e-01  6.78e-02  1.68e-01  1.17e-06 -1.71e+25 -1.05e+24 -1.02e+25  1.33e+03  1.51e+04  1.00e+07  0.00e+00  3.90e+06 
1.000e+14 1.086e+14   28     -1        0  6.19e+07  0.00e+00  6.19e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
1.171e+14 1.272e+14   29     -1        0  6.21e+07  0.00e+00  6.21e+07  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
