# Wave Flambda
43.968 1.002e-49
44.041 1.571e-49
44.115 2.119e-49
44.189 2.643e-49
44.262 3.142e-49
44.336 3.617e-49
44.410 4.071e-49
44.485 7.083e-49
44.559 1.331e-48
44.633 1.990e-48
44.708 2.624e-48
44.783 3.229e-48
44.857 3.809e-48
44.932 4.364e-48
45.007 4.925e-48
45.083 9.058e-48
45.158 1.596e-47
45.233 2.307e-47
45.309 2.991e-47
45.385 3.646e-47
45.461 4.276e-47
45.536 4.880e-47
45.613 6.497e-47
45.689 1.271e-46
45.765 2.031e-46
45.842 2.777e-46
45.918 3.494e-46
45.995 4.184e-46
46.072 4.847e-46
46.149 5.485e-46
46.226 8.653e-46
46.303 1.558e-45
46.380 2.310e-45
46.458 3.039e-45
46.535 3.742e-45
46.613 4.419e-45
46.691 5.071e-45
46.769 6.544e-45
46.847 1.232e-44
46.925 1.956e-44
47.004 2.673e-44
47.082 3.364e-44
47.161 4.031e-44
47.240 4.674e-44
47.319 5.300e-44
47.398 8.711e-44
47.477 1.490e-43
47.556 2.144e-43
47.636 2.778e-43
47.715 3.390e-43
47.795 3.981e-43
47.875 4.553e-43
47.955 6.743e-43
48.035 1.190e-42
48.115 1.766e-42
48.196 2.328e-42
48.276 2.870e-42
48.357 3.395e-42
48.437 3.903e-42
48.518 4.969e-42
48.599 8.720e-42
48.681 1.341e-41
48.762 1.806e-41
48.843 2.255e-41
48.925 2.690e-41
49.007 3.112e-41
49.089 3.924e-41
49.171 6.865e-41
49.253 1.060e-40
49.335 1.432e-40
49.418 1.792e-40
49.500 2.140e-40
49.583 2.478e-40
49.666 2.984e-40
49.749 5.033e-40
49.832 7.805e-40
49.915 1.059e-39
49.998 1.329e-39
50.082 1.591e-39
50.166 1.845e-39
50.249 2.331e-39
50.333 3.952e-39
50.417 5.987e-39
50.502 8.004e-39
50.586 9.961e-39
50.670 1.186e-38
50.755 1.370e-38
50.840 1.751e-38
50.925 2.893e-38
51.010 4.286e-38
51.095 5.659e-38
51.180 6.993e-38
51.266 8.289e-38
51.352 9.547e-38
51.437 1.372e-37
51.523 2.223e-37
51.609 3.151e-37
51.696 4.056e-37
51.782 4.935e-37
51.869 5.789e-37
51.955 6.679e-37
52.042 1.021e-36
52.129 1.580e-36
52.216 2.157e-36
52.303 2.719e-36
52.391 3.266e-36
52.478 3.797e-36
52.566 4.901e-36
52.654 7.874e-36
52.742 1.141e-35
52.830 1.488e-35
52.918 1.826e-35
53.006 2.154e-35
53.095 2.479e-35
53.184 3.620e-35
53.272 5.554e-35
53.361 7.578e-35
53.451 9.551e-35
53.540 1.147e-34
53.629 1.334e-34
53.719 1.752e-34
53.809 2.745e-34
53.899 3.883e-34
53.989 4.998e-34
54.079 6.084e-34
54.169 7.140e-34
54.260 8.447e-34
54.350 1.277e-33
54.441 1.870e-33
54.532 2.468e-33
54.623 3.049e-33
54.714 3.616e-33
54.806 4.209e-33
54.897 6.184e-33
54.989 9.205e-33
55.081 1.230e-32
55.173 1.532e-32
55.265 1.826e-32
55.357 2.113e-32
55.450 2.882e-32
55.543 4.310e-32
55.635 5.835e-32
55.728 7.324e-32
55.821 8.775e-32
55.915 1.019e-31
56.008 1.395e-31
56.102 2.080e-31
56.195 2.809e-31
56.289 3.521e-31
56.383 4.215e-31
56.477 4.892e-31
56.572 6.525e-31
56.666 9.614e-31
56.761 1.293e-30
56.856 1.618e-30
56.951 1.934e-30
57.046 2.249e-30
57.141 3.139e-30
57.237 4.562e-30
57.332 6.032e-30
57.428 7.466e-30
57.524 8.865e-30
57.620 1.035e-29
57.716 1.459e-29
57.813 2.071e-29
57.909 2.692e-29
58.006 3.298e-29
58.103 3.889e-29
58.200 4.773e-29
58.297 6.932e-29
58.395 9.518e-29
58.492 1.207e-28
58.590 1.455e-28
58.688 1.698e-28
58.786 2.196e-28
58.884 3.144e-28
58.983 4.167e-28
59.081 5.168e-28
59.180 6.145e-28
59.279 7.315e-28
59.378 1.035e-27
59.477 1.428e-27
59.576 1.820e-27
59.676 2.202e-27
59.775 2.575e-27
59.875 3.295e-27
59.975 4.652e-27
60.076 6.121e-27
60.176 7.556e-27
60.276 8.958e-27
60.377 1.086e-26
60.478 1.528e-26
60.579 2.060e-26
60.680 2.585e-26
60.782 3.097e-26
60.883 3.618e-26
60.985 4.866e-26
61.087 6.682e-26
61.189 8.525e-26
61.291 1.033e-25
61.393 1.208e-25
61.496 1.583e-25
61.599 2.191e-25
61.702 2.821e-25
61.805 3.437e-25
61.908 4.039e-25
62.011 5.068e-25
62.115 6.980e-25
62.219 9.057e-25
62.323 1.109e-24
62.427 1.307e-24
62.531 1.643e-24
62.636 2.260e-24
62.740 2.928e-24
62.845 3.581e-24
62.950 4.219e-24
63.055 5.242e-24
63.160 7.141e-24
63.266 9.213e-24
63.372 1.124e-23
63.478 1.322e-23
63.584 1.685e-23
63.690 2.286e-23
63.796 2.915e-23
63.903 3.528e-23
64.010 4.132e-23
64.117 5.332e-23
64.224 7.133e-23
64.331 8.973e-23
64.438 1.077e-22
64.546 1.279e-22
64.654 1.706e-22
64.762 2.237e-22
64.870 2.763e-22
64.978 3.278e-22
65.087 3.985e-22
65.196 5.317e-22
65.305 6.807e-22
65.414 8.267e-22
65.523 9.724e-22
65.632 1.257e-21
65.742 1.658e-21
65.852 2.062e-21
65.962 2.458e-21
66.072 2.954e-21
66.183 3.901e-21
66.293 4.985e-21
66.404 6.050e-21
66.515 7.129e-21
66.626 9.208e-21
66.737 1.200e-20
66.849 1.480e-20
66.960 1.754e-20
67.072 2.150e-20
67.184 2.818e-20
67.297 3.534e-20
67.409 4.235e-20
67.522 5.085e-20
67.634 6.649e-20
67.747 8.437e-20
67.861 1.019e-19
67.974 1.203e-19
68.088 1.545e-19
68.201 1.976e-19
68.315 2.404e-19
68.429 2.838e-19
68.544 3.621e-19
68.658 4.643e-19
68.773 5.666e-19
68.888 6.677e-19
69.003 8.386e-19
69.118 1.075e-18
69.234 1.313e-18
69.349 1.550e-18
69.465 1.957e-18
69.581 2.499e-18
69.697 3.043e-18
69.814 3.588e-18
69.930 4.516e-18
70.047 5.728e-18
70.164 6.941e-18
70.282 8.234e-18
70.399 1.048e-17
70.517 1.316e-17
70.634 1.582e-17
70.752 1.887e-17
70.871 2.400e-17
70.989 2.978e-17
71.108 3.545e-17
71.226 4.330e-17
71.345 5.502e-17
71.464 6.721e-17
71.584 7.937e-17
71.703 9.893e-17
71.823 1.240e-16
71.943 1.490e-16
72.063 1.787e-16
72.184 2.260e-16
72.304 2.776e-16
72.425 3.284e-16
72.546 4.049e-16
72.667 5.065e-16
72.789 6.087e-16
72.910 7.305e-16
73.032 9.188e-16
73.154 1.122e-15
73.276 1.327e-15
73.399 1.646e-15
73.521 2.036e-15
73.644 2.424e-15
73.767 2.954e-15
73.891 3.686e-15
74.014 4.431e-15
74.138 5.295e-15
74.262 6.597e-15
74.386 8.000e-15
74.510 9.518e-15
74.634 1.184e-14
74.759 1.443e-14
74.884 1.709e-14
75.009 2.108e-14
75.134 2.578e-14
75.260 3.057e-14
75.386 3.765e-14
75.511 4.607e-14
75.638 5.458e-14
75.764 6.686e-14
75.891 8.170e-14
76.017 9.693e-14
76.144 1.190e-13
76.272 1.450e-13
76.399 1.718e-13
76.527 2.106e-13
76.654 2.552e-13
76.783 3.036e-13
76.911 3.730e-13
77.039 4.491e-13
77.168 5.356e-13
77.297 6.561e-13
77.426 7.832e-13
77.555 9.449e-13
77.685 1.153e-12
77.815 1.367e-12
77.945 1.662e-12
78.075 2.005e-12
78.205 2.390e-12
78.336 2.916e-12
78.467 3.473e-12
78.598 4.184e-12
