Ncycle Converged Converging      T_r_converged       T_e_converged        hc_converged
------ --------- ---------- ------------------ ------------------- -------------------
     0     0.139        0.0 0.7883211678832117  0.5693430656934306 0.23357664233576642
     1     0.168        0.0 0.9854014598540146 0.18248175182481752  0.1897810218978102
     2     0.248      0.153                1.0 0.24817518248175183 0.38686131386861317
     3      0.38        0.0                1.0  0.3795620437956204 0.48905109489051096
     4     0.489        0.0                1.0 0.48905109489051096  0.5255474452554745
     5     0.511      0.073                1.0  0.5109489051094891  0.5766423357664233
     6     0.555      0.109                1.0  0.5547445255474452  0.6204379562043796
     7      0.62      0.204                1.0  0.6204379562043796  0.6788321167883211
     8      0.65      0.197                1.0  0.6496350364963503  0.7518248175182481
     9     0.715      0.234                1.0  0.7153284671532847  0.8248175182481752
    10     0.781      0.307                1.0   0.781021897810219  0.8978102189781022
    11     0.861      0.321                1.0  0.8613138686131386  0.9854014598540146
    12     0.985      0.387                1.0  0.9854014598540146                 1.0
    13       1.0      0.401                1.0                 1.0                 1.0
    14       1.0      0.423                1.0                 1.0                 1.0
    15       1.0      0.314                1.0                 1.0                 1.0
    16       1.0      0.212                1.0                 1.0                 1.0
    17       1.0      0.234                1.0                 1.0                 1.0
    18       1.0       0.19                1.0                 1.0                 1.0
    19       1.0      0.241                1.0                 1.0                 1.0
    20       1.0      0.241                1.0                 1.0                 1.0
