Ncycle Converged Converging      T_r_converged        T_e_converged        hc_converged
------ --------- ---------- ------------------ -------------------- -------------------
     0     0.146        0.0  0.781021897810219  0.18248175182481752 0.15328467153284672
     1     0.029        0.0 0.9051094890510949   0.0364963503649635  0.0364963503649635
     2     0.044        0.0                1.0 0.043795620437956206 0.31386861313868614
     3     0.307        0.0                1.0  0.30656934306569344 0.45255474452554745
     4     0.518       0.08                1.0   0.5182481751824818  0.5766423357664233
     5     0.569      0.285                1.0   0.5693430656934306   0.656934306569343
     6     0.613      0.343                1.0   0.6131386861313869  0.7153284671532847
     7     0.672      0.401                1.0   0.6715328467153284   0.781021897810219
     8     0.774       0.38                1.0   0.7737226277372263  0.8978102189781022
     9     0.839      0.431                1.0   0.8394160583941606  0.9708029197080292
    10     0.912      0.431                1.0   0.9124087591240876                 1.0
    11     0.978      0.518                1.0   0.9781021897810219                 1.0
    12       1.0      0.467                1.0                  1.0                 1.0
    13       1.0      0.438                1.0                  1.0                 1.0
    14       1.0       0.38                1.0                  1.0                 1.0
    15       1.0      0.226                1.0                  1.0                 1.0
    16       1.0      0.482                1.0                  1.0                 1.0
    17       1.0      0.321                1.0                  1.0                 1.0
    18       1.0      0.416                1.0                  1.0                 1.0
    19       1.0      0.423                1.0                  1.0                 1.0
    20       1.0      0.277                1.0                  1.0                 1.0
    21       1.0      0.328                1.0                  1.0                 1.0
    22       1.0       0.27                1.0                  1.0                 1.0
    23       1.0       0.27                1.0                  1.0                 1.0
    24       1.0      0.358                1.0                  1.0                 1.0
    25       1.0      0.307                1.0                  1.0                 1.0
    26       1.0      0.263                1.0                  1.0                 1.0
    27       1.0      0.307                1.0                  1.0                 1.0
    28       1.0       0.27                1.0                  1.0                 1.0
    29       1.0       0.27                1.0                  1.0                 1.0
    30       1.0       0.27                1.0                  1.0                 1.0
