                 r                    i01                    i02                i03                    i04 i05 i06 i07 i08 i09 i10 i11 i12 i13 i14 i15 i16 i17 i18 i19 i20
------------------ ---------------------- ---------------------- ------------------ ---------------------- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- ---
1285502400000000.0  8.616007559921652e-08       78.5684604960968   29681898.3258509 0.00018944747182436035 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1385467200000000.0  5.597373271133313e-08     55.486476729084885  17572273.47995708  8.143094225126868e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1485432000000000.0  3.315127158016127e-08      37.38153637905638 10790265.534560243 3.0548844974428066e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1585396800000000.0 1.5545888865558176e-08     21.470595691431125  6839681.223594941 2.7090164266476547e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1685361600000000.0  8.598175069841336e-09     13.945105490083998  4458102.453268211 1.1611143181844729e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1785326400000000.0  4.457608092406231e-09      8.682181784103179  2978368.362640349   6.59793177779601e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1885291200000000.0 2.3433466475685745e-09      5.482570676608467 2034008.7274467966 3.5759421193005154e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1985256000000000.0 1.3445159744412533e-09      3.685683188249667 1416727.4692915285 1.5368419938398768e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2085220800000000.0   7.21171174089907e-10      2.363410907847462 1004471.6989190571  9.561014843646063e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2185185600000000.0  4.129546906741036e-10     1.5919056233194235  723742.0405040038  4.840285575230565e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2285150400000000.0  2.226635352289011e-10      1.029003512438419  529174.2438762442 3.3161768244429907e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2385115200000000.0  1.219797478777506e-10     0.6723284074121305  392136.0770828613 2.3825586728659045e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2485080000000000.0  6.905568623635235e-11    0.44928976707799084  294184.4973010724 1.6820889881758335e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2585044800000000.0 3.9133023383626844e-11      0.300541720730034 223216.32947331562 1.2762282165002406e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2685009600000000.0  2.352500884164172e-11    0.20982440934342156 171151.86389791578  8.295486374152836e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2784974400000000.0  1.532549894611333e-11    0.15497423079587086 132511.66333886163  4.409214601762916e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2884939200000000.0  9.377117154405917e-12    0.10975736335562203 103525.16965553118 3.0085530706325566e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2984904000000000.0  6.006130619155764e-12    0.08013259218097239  81562.41242394343 1.9327241084413208e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3084868800000000.0  3.912391546897552e-12   0.059183777305568036   64765.8070090702 1.2525056863308172e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3184833600000000.0 2.6673241828394665e-12    0.04514874634197508 51807.837148541184 7.3261227081228375e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3284798400000000.0 1.7516701129343532e-12    0.03357139659454932  41729.35504618252  5.073499779918673e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3384763200000000.0 1.2134263900764702e-12    0.02589583042679521 33830.210391127024 3.1253164176119324e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3484728000000000.0  8.313097612122324e-13   0.019804745143984958  27594.37480419274  2.125077742978269e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3584692800000000.0  5.846775936007067e-13   0.015449338405558597 22638.057777602327  1.354968753630109e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3684657600000000.0 4.0470864210468013e-13   0.011922733812820118 18673.375472044376  9.450121241394529e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3784622400000000.0 2.9957923632254817e-13   0.009636222431558233 15482.636104875695  5.578646822932794e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3884587200000000.0 2.0677005136812817e-13  0.0074123779842081025 12899.969756151058  4.336506031214587e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3984552000000000.0 1.5833295116164974e-13   0.006139846087748132 10798.074659013606 2.4431246485111114e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4084516800000000.0 1.1640868412053395e-13   0.004940856753422976  9078.582030485248  1.639144391037794e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4184481600000000.0  8.677657274804557e-14   0.004013129312351595  7664.983075103471 1.0937747886566107e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4284446400000000.0  6.484716420154347e-14   0.003267473356405534  6497.403659907796  7.400036044266265e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4384411200000000.0  4.984111884166432e-14   0.002713706230794737  5528.711176189775 4.7035851488621813e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4484376000000000.0 3.8532540255854455e-14  0.0022628092845266277   4721.59486616786 3.0265324729982733e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4584340800000000.0   2.92932773700778e-14   0.001864543572230443  4046.360716932506 2.1173296959750926e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4684305600000000.0 2.2295587456249752e-14  0.0015377745098540969 3479.2555692257647  1.513499559752086e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4784270400000000.0 1.7214224270302104e-14   0.001281239637214714  3001.185629653527 1.0579069062105436e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4884235200000000.0 1.3081372776489956e-14  0.0010553988199792626 2596.7306516903436  8.001278875487955e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4984200000000000.0 1.0218975128883853e-14  0.0008867364089184528   2253.38120902495  5.637179641101043e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5084164800000000.0  8.084605642655537e-15  0.0007518816867450069 1960.9456746172634 3.8863677659922916e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5184129600000000.0  6.396278516720886e-15  0.0006373162185086852 1711.0864528283983 2.7520975893404346e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5284094400000000.0  5.029168018023371e-15  0.0005378033761499095 1496.9556564317531 2.0323052717605034e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5384059200000000.0  4.097919556148756e-15  0.0004655086838976092 1312.9074896283482 1.3600683877367525e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5484024000000000.0 3.2083170355254407e-15  0.0003916422768228985 1154.2702189547408 1.0589009462735982e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5583988800000000.0 2.6349582899026877e-15  0.0003408781889413087 1017.1643957103529  7.179826917514792e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5683953600000000.0 2.1238389636714245e-15 0.00029275217726510414  898.3576199224876  5.274804574597325e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5783918400000000.0  1.668653770597028e-15 0.00024688229748877057  795.1477411429132  4.289509176552597e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5883883200000000.0  1.384280721739147e-15 0.00021652687659143362  705.2687333142222  2.945538647640685e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5983848000000000.0 1.1352367066089513e-15 0.00018823466656271517  626.8145407730938 2.1532274728140413e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6083812800000000.0  9.464210633242633e-16 0.00016554951409508516  558.1771328900263 1.5167637644741935e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6183777600000000.0  7.742565976088261e-16 0.00014369636029826978  497.9960609859317 1.1495025844968212e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6283742400000000.0  6.528040914095362e-16 0.00012738155679975477  445.1171526238366  8.053323938601446e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6383707200000000.0   5.45420965058985e-16 0.00011220412308108373 398.55864084308786   5.88603881944852e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6483672000000000.0   4.46883825661621e-16  9.745891219679839e-05 357.48324558009017  4.654925453587852e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6583636800000000.0 3.8938730527633477e-16  8.846411671613034e-05  321.1751213436436  3.042759485513362e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6683601600000000.0  3.297172656675591e-16  7.866763088261404e-05 289.02077871828914  2.216445305778259e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6783566400000000.0 2.8001940954972734e-16  7.010188094151009e-05  260.4931969042786  1.619741223767293e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6883531200000000.0 2.3871929154986456e-16  6.263688091823658e-05 235.13861349175323 1.1837754305340156e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6983496000000000.0 2.0427963295667577e-16 5.6115983057413556e-05 212.56547594834936  8.650356807631157e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
