              r_in              r_out                    rho                t_e                t_r                 ne                    w      v_inner       v_outer
------------------ ------------------ ---------------------- ------------------ ------------------ ------------------ -------------------- ------------ -------------
1235520000000000.0 1335484800000000.0  6.584558618322444e-14  9861.860633460388 10957.622926067097   2520335904.76221   0.4898719343429777 1100000000.0  1189000000.0
1335484800000000.0 1435449600000000.0 3.8981915036091084e-14  9849.422842980843 10943.803158867602 1488642412.2196112   0.3319936041774657 1189000000.0  1278000000.0
1435449600000000.0 1535414400000000.0  2.393687668217888e-14   9774.58023024235 10860.644700269278   911791222.601121  0.25095274490636776 1278000000.0  1367000000.0
1535414400000000.0 1635379200000000.0 1.5172986449672213e-14  9852.204709897887 10946.894122108764  579151008.3659823  0.18966084570724778 1367000000.0  1456000000.0
1635379200000000.0 1735344000000000.0  9.889748535553613e-15  9770.635193421473 10856.261326023858  376944457.1792159  0.15627691263162438 1456000000.0  1545000000.0
1735344000000000.0 1835308800000000.0  6.607140187746083e-15  9734.460751033803  10816.06750114867 251836517.83639765  0.13059992225678868 1545000000.0  1634000000.0
1835308800000000.0 1935273600000000.0  4.512194670856211e-15  9678.660394726083 10754.067105251203 171957341.11418653  0.11293863649863481 1634000000.0  1723000000.0
1935273600000000.0 2035238400000000.0 3.1428328946893936e-15   9573.92385732751 10637.693174808344 119589152.02048688  0.10067914443733905 1723000000.0  1812000000.0
2035238400000000.0 2135203200000000.0  2.228294418363953e-15  9536.840514054804 10596.489460060893  84825755.71419209  0.08867983103403079 1812000000.0  1901000000.0
2135203200000000.0 2235168000000000.0 1.6055306522136945e-15   9455.10419398909 10505.671326654543  61071489.21952407  0.08074258206549441 1901000000.0  1990000000.0
2235168000000000.0 2335132800000000.0 1.1739061774861958e-15  9426.281750240718 10473.646389156353 44692600.630694695  0.07298686748249215 1990000000.0  2079000000.0
2335132800000000.0 2435097600000000.0  8.699041246733311e-16  9404.644883666113  10449.60542629568  33151656.71861236  0.06611616334784862 2079000000.0  2168000000.0
2435097600000000.0 2535062400000000.0  6.526108528220783e-16  9378.655169736327 10420.727966373695  24889551.02891028  0.06018858708020423 2168000000.0  2257000000.0
2535062400000000.0 2635027200000000.0  4.951769183512643e-16  9363.762195770547  10404.18021752283  18904334.25802589 0.054898371107597974 2257000000.0  2346000000.0
2635027200000000.0 2734992000000000.0 3.7967850526877414e-16  9318.240025427682  10353.60002825298 14497433.398682082  0.05101169512699833 2346000000.0  2435000000.0
2734992000000000.0 2834956800000000.0  2.939601490846088e-16  9236.521536766988 10262.801707518875 11214292.528036993   0.0481552059596519 2435000000.0  2524000000.0
2834956800000000.0 2934921600000000.0 2.2965730119509046e-16   9196.24124410405 10218.045826782278  8763888.322062977 0.045259751946972016 2524000000.0  2613000000.0
2934921600000000.0 3034886400000000.0 1.8093572918137463e-16  9146.632837014331 10162.925374460368  6903986.557734222  0.04258967521273971 2613000000.0  2702000000.0
3034886400000000.0 3134851200000000.0 1.4367460898209995e-16  9098.366756556861  10109.29639617429   5481557.63613089   0.0401445439520057 2702000000.0  2791000000.0
3134851200000000.0 3234816000000000.0 1.1492901537191336e-16  9032.210884103604 10035.789871226227  4381734.734419446  0.03821940262904327 2791000000.0  2880000000.0
3234816000000000.0 3334780800000000.0  9.257119444431139e-17  8993.474808167608  9992.749786852897 3529751.0589483473  0.03621104830000469 2880000000.0  2969000000.0
3334780800000000.0 3434745600000000.0  7.504795745072502e-17  8935.657450917997  9928.508278797774  2859957.416794749 0.034561316530440485 2969000000.0  3058000000.0
3434745600000000.0 3534710400000000.0  6.121455773835217e-17  8894.687784500522  9882.986427222802  2332526.905320405  0.03278482590986786 3058000000.0  3147000000.0
3534710400000000.0 3634675200000000.0 5.0219606564107325e-17  8841.890123541763  9824.322359490849 1912613.5876854795 0.031420854501923924 3147000000.0  3236000000.0
3634675200000000.0 3734640000000000.0  4.142446924630085e-17   8803.01961319432  9781.132903549244  1577567.657980438 0.030056973504504376 3236000000.0  3325000000.0
3734640000000000.0 3834604800000000.0  3.434622593075054e-17  8738.587926899876  9709.542140999862 1306592.3516161307 0.028996389422417064 3325000000.0  3414000000.0
3834604800000000.0 3934569600000000.0 2.8616913267977155e-17  8717.561077762977  9686.178975292196 1089142.0039810096 0.027556646365377108 3414000000.0  3503000000.0
