#depth	H	H+	H2
 5.00000e-02	2.69e-11	1.00e+00	5.39e-40
 1.45000e-01	2.69e-11	1.00e+00	5.40e-40
 2.30500e-01	2.69e-11	1.00e+00	5.40e-40
 3.07450e-01	2.69e-11	1.00e+00	5.40e-40
 3.76705e-01	2.69e-11	1.00e+00	5.41e-40
 4.39034e-01	2.69e-11	1.00e+00	5.41e-40
 4.95131e-01	2.69e-11	1.00e+00	5.41e-40
 5.45618e-01	2.69e-11	1.00e+00	5.41e-40
 5.91056e-01	2.69e-11	1.00e+00	5.41e-40
 6.31951e-01	2.69e-11	1.00e+00	5.41e-40
 6.68755e-01	2.69e-11	1.00e+00	5.41e-40
 7.01880e-01	2.69e-11	1.00e+00	5.41e-40
 7.31692e-01	2.69e-11	1.00e+00	5.41e-40
 7.58523e-01	2.69e-11	1.00e+00	5.41e-40
 7.82670e-01	2.69e-11	1.00e+00	5.41e-40
 8.04403e-01	2.69e-11	1.00e+00	5.41e-40
 8.23963e-01	2.69e-11	1.00e+00	5.41e-40
 8.41567e-01	2.69e-11	1.00e+00	5.41e-40
 8.57410e-01	2.69e-11	1.00e+00	5.41e-40
 8.71669e-01	2.69e-11	1.00e+00	5.41e-40
 8.84502e-01	2.69e-11	1.00e+00	5.41e-40
 8.96052e-01	2.69e-11	1.00e+00	5.41e-40
 9.06523e-01	2.69e-11	1.00e+00	5.41e-40
 9.16523e-01	2.69e-11	1.00e+00	5.41e-40
 9.26523e-01	2.69e-11	1.00e+00	5.41e-40
 9.36523e-01	2.69e-11	1.00e+00	5.41e-40
 9.46523e-01	2.69e-11	1.00e+00	5.41e-40
 9.56523e-01	2.69e-11	1.00e+00	5.41e-40
 9.66523e-01	2.69e-11	1.00e+00	5.41e-40
 9.76523e-01	2.69e-11	1.00e+00	5.41e-40
 9.86523e-01	2.69e-11	1.00e+00	5.41e-40
 9.95761e-01	2.69e-11	1.00e+00	5.41e-40
