i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- --------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05     0.59    0.406  0.00429 1.37e-05 3.12e-07 5.96e-12 2.08e-17
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05     0.55    0.444  0.00548  1.8e-05 4.67e-07 1.05e-11 4.29e-17
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.506    0.487  0.00714 2.42e-05 7.25e-07 1.93e-11 9.44e-17
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.461    0.529  0.00925 3.24e-05 1.12e-06 3.57e-11 2.08e-16
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.416    0.572   0.0119 4.36e-05 1.74e-06 6.62e-11 4.62e-16
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.371    0.613   0.0154 5.87e-05 2.69e-06 1.23e-10 1.03e-15
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04    0.327    0.653   0.0197 7.96e-05 4.17e-06 2.31e-10 2.34e-15
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04    0.285     0.69   0.0253 0.000109  6.5e-06 4.37e-10 5.37e-15
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04    0.245    0.723   0.0323  0.00015 1.02e-05 8.34e-10 1.25e-14
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04    0.207    0.752   0.0413 0.000208  1.6e-05 1.61e-09 2.98e-14
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.172    0.775   0.0527 0.000294 2.53e-05 3.17e-09 7.25e-14
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04    0.143    0.791   0.0662 0.000411 3.93e-05 6.05e-09 1.71e-13
1        3 7.650e+03 7.090e+07 1.780e-05 1.310e-03    0.114      0.8   0.0844 0.000599 6.34e-05 1.23e-08 4.38e-13
1        3 7.650e+03 7.090e+07 2.410e-05 1.770e-03   0.0901    0.801    0.107 0.000887 0.000103 2.55e-08 1.15e-12
1        3 7.650e+03 7.090e+07 3.260e-05 2.400e-03   0.0695    0.793    0.136  0.00133 0.000169 5.35e-08  3.1e-12
1        3 7.650e+03 7.090e+07 4.420e-05 3.250e-03   0.0524    0.773    0.172  0.00203 0.000278 1.14e-07 8.55e-12
1        1 8.610e+03 7.090e+07 5.970e-05 4.390e-03   0.0379    0.736    0.222  0.00349 0.000507 2.86e-07 2.94e-11
1        3 1.040e+04 7.090e+07 8.080e-05 5.940e-03   0.0251    0.674    0.293  0.00661  0.00102 8.49e-07 1.28e-10
1        3 1.040e+04 7.090e+07 1.090e-04 8.040e-03   0.0176    0.619    0.352   0.0101  0.00165 1.79e-06 3.55e-10
1        3 1.040e+04 7.090e+07 1.480e-04 1.090e-02   0.0117    0.551    0.419   0.0156  0.00272 3.97e-06 1.05e-09
1        3 1.040e+04 7.090e+07 2.000e-04 1.470e-02  0.00766    0.479    0.485   0.0235  0.00438 8.48e-06 2.99e-09
1        3 1.040e+04 7.090e+07 2.710e-04 1.990e-02  0.00475    0.402     0.55   0.0355  0.00714 1.87e-05  8.9e-09
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02  0.00286    0.327    0.606   0.0522   0.0115 4.06e-05 2.62e-08
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02  0.00167    0.258    0.647   0.0747   0.0182 8.73e-05 7.61e-08
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02 0.000977    0.201    0.668    0.102   0.0277 0.000177 2.05e-07
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02  0.00054     0.15     0.67    0.137   0.0428 0.000367 5.72e-07
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02 0.000288    0.107    0.649    0.178   0.0651 0.000752 1.58e-06
