i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.281     0.57     0.14  0.00878 0.000371 3.38e-05 2.67e-06 6.56e-08 4.14e-10 2.44e-11 8.69e-13 1.79e-17 8.61e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.255     0.57    0.163   0.0117 0.000491 4.43e-05 3.23e-06 7.71e-08 4.81e-10 2.84e-11    1e-12 2.46e-17 1.17e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.226    0.565    0.193   0.0159 0.000676 6.02e-05 3.99e-06 9.23e-08 5.66e-10 3.36e-11 1.18e-12 3.51e-17 1.64e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.196    0.556    0.226   0.0217  0.00094 8.27e-05 4.96e-06 1.11e-07 6.66e-10 4.01e-11 1.41e-12 5.02e-17 2.32e-19 1.43e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04    0.167     0.54    0.262   0.0295  0.00132 0.000115 6.21e-06 1.34e-07 7.83e-10 4.81e-11 1.72e-12 7.25e-17 3.31e-19 2.06e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.139    0.518    0.301     0.04  0.00189 0.000161 7.82e-06 1.62e-07 9.21e-10 5.84e-11 2.16e-12 1.06e-16 4.81e-19 3.01e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04    0.113    0.488    0.342   0.0541  0.00273 0.000229 9.97e-06 1.99e-07 1.09e-09  7.2e-11 2.81e-12 1.57e-16 7.13e-19 4.49e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04   0.0887    0.451    0.384   0.0725  0.00398  0.00033 1.29e-05 2.47e-07 1.29e-09 9.05e-11 3.79e-12 2.37e-16 1.09e-18 6.87e-20 1.05e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04   0.0676    0.407    0.423   0.0964  0.00585  0.00048 1.69e-05 3.12e-07 1.55e-09 1.16e-10 5.33e-12 3.67e-16 1.72e-18 1.08e-19 1.81e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04   0.0496    0.358    0.456    0.127  0.00868 0.000707 2.26e-05 4.03e-07 1.89e-09 1.53e-10 7.77e-12 5.86e-16 2.83e-18 1.77e-19 3.24e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04   0.0349    0.305    0.482    0.164   0.0129  0.00105 3.12e-05 5.37e-07 2.37e-09 2.09e-10 1.17e-11 9.73e-16 4.87e-18    3e-19 6.03e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
