i converge       t_e       t_r        ip        xi      i01      i02     i03
- -------- --------- --------- --------- --------- -------- -------- -------
1        3 7.650e+03 7.090e+07 4.730e-07 3.480e-05    0.701    0.298 0.00102
1        3 7.650e+03 7.090e+07 6.410e-07 4.710e-05    0.667    0.332 0.00133
1        3 7.650e+03 7.090e+07 8.670e-07 6.370e-05    0.627    0.371 0.00178
1        3 7.650e+03 7.090e+07 1.170e-06 8.620e-05    0.585    0.413 0.00236
1        3 7.650e+03 7.090e+07 1.590e-06 1.170e-04     0.54    0.457 0.00313
1        3 7.650e+03 7.090e+07 2.150e-06 1.580e-04    0.494    0.502 0.00413
1        3 7.650e+03 7.090e+07 2.900e-06 2.140e-04    0.447    0.547 0.00544
1        3 7.650e+03 7.090e+07 3.930e-06 2.890e-04      0.4    0.593 0.00716
1        3 7.650e+03 7.090e+07 5.320e-06 3.910e-04    0.353    0.638  0.0094
1        3 7.650e+03 7.090e+07 7.200e-06 5.290e-04    0.307    0.681  0.0123
1        3 7.650e+03 7.090e+07 9.740e-06 7.160e-04    0.263    0.721  0.0162
1        3 7.650e+03 7.090e+07 1.320e-05 9.690e-04    0.225    0.754  0.0209
1        3 7.650e+03 7.090e+07 1.780e-05 1.310e-03    0.187    0.786  0.0274
1        3 7.650e+03 7.090e+07 2.410e-05 1.770e-03    0.152    0.812   0.036
1        3 7.650e+03 7.090e+07 3.260e-05 2.400e-03    0.122     0.83  0.0472
1        3 7.650e+03 7.090e+07 4.420e-05 3.250e-03   0.0967    0.841  0.0619
1        1 8.610e+03 7.090e+07 5.970e-05 4.390e-03   0.0702    0.845  0.0849
1        3 1.040e+04 7.090e+07 8.080e-05 5.940e-03   0.0471    0.831   0.122
1        3 1.040e+04 7.090e+07 1.090e-04 8.040e-03   0.0352    0.809   0.155
1        3 1.040e+04 7.090e+07 1.480e-04 1.090e-02   0.0253    0.776   0.199
1        3 1.040e+04 7.090e+07 2.000e-04 1.470e-02   0.0181    0.732    0.25
1        3 1.040e+04 7.090e+07 2.710e-04 1.990e-02   0.0124    0.675   0.312
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02  0.00837     0.61   0.382
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02  0.00551    0.539   0.456
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02  0.00366    0.469   0.527
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02  0.00232    0.397   0.601
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02  0.00144    0.329    0.67
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01 0.000878    0.267   0.733
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01 0.000539    0.215   0.784
1        3 1.040e+04 7.090e+07 3.040e-03 2.240e-01 0.000317    0.169   0.831
1        3 1.040e+04 7.090e+07 4.120e-03 3.030e-01 0.000184    0.131   0.869
1        3 1.040e+04 7.090e+07 5.570e-03 4.100e-01 0.000105      0.1   0.899
1        3 1.040e+04 7.090e+07 7.540e-03 5.540e-01 5.94e-05   0.0764   0.924
1        3 1.040e+04 7.090e+07 1.020e-02 7.500e-01 3.34e-05   0.0577   0.942
1        3 1.040e+04 7.090e+07 1.380e-02 1.010e+00 1.86e-05   0.0433   0.957
1        3 1.040e+04 7.090e+07 1.870e-02 1.370e+00 1.03e-05   0.0324   0.968
1        3 1.040e+04 7.090e+07 2.530e-02 1.860e+00 5.71e-06   0.0242   0.976
1        3 1.040e+04 7.090e+07 3.420e-02 2.510e+00 3.14e-06    0.018   0.982
1        3 1.040e+04 7.090e+07 4.630e-02 3.400e+00 1.73e-06   0.0134   0.987
1        3 1.040e+04 7.090e+07 6.260e-02 4.600e+00 9.49e-07  0.00992    0.99
1        3 1.040e+04 7.090e+07 8.470e-02 6.230e+00  5.2e-07  0.00736   0.993
1        3 1.040e+04 7.090e+07 1.150e-01 8.430e+00 2.85e-07  0.00545   0.995
