i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- --------
1        2 9.300e+03 7.090e+07 4.730e-07 3.480e-05    0.563    0.434  0.00309 5.89e-06 7.06e-09 3.76e-13 3.03e-18
1        2 9.300e+03 7.090e+07 6.410e-07 4.710e-05    0.519    0.477  0.00404 9.18e-06 1.31e-08 8.32e-13 7.97e-18
1        2 9.300e+03 7.090e+07 8.670e-07 6.370e-05    0.474     0.52  0.00527 1.43e-05 2.43e-08 1.85e-12 2.11e-17
1        2 9.310e+03 7.090e+07 1.170e-06 8.620e-05    0.429    0.564  0.00684 2.22e-05 4.54e-08 4.12e-12 5.64e-17
1        2 9.310e+03 7.090e+07 1.590e-06 1.170e-04    0.384    0.607  0.00886 3.46e-05 8.49e-08 9.27e-12 1.53e-16
1        2 9.310e+03 7.090e+07 2.150e-06 1.580e-04    0.339    0.649   0.0114  5.4e-05  1.6e-07 2.11e-11  4.2e-16
1        2 9.310e+03 7.090e+07 2.900e-06 2.140e-04    0.296    0.689   0.0148 8.46e-05 3.05e-07 4.88e-11 1.18e-15
1        2 9.320e+03 7.090e+07 3.930e-06 2.890e-04    0.255    0.725    0.019 0.000133 5.86e-07 1.15e-10 3.39e-15
1        2 9.320e+03 7.090e+07 5.320e-06 3.910e-04    0.217    0.758   0.0245 0.000211 1.14e-06 2.75e-10    1e-14
1        2 9.330e+03 7.090e+07 7.200e-06 5.290e-04    0.184    0.785    0.031 0.000327 2.16e-06 6.37e-10 2.83e-14
1        2 9.340e+03 7.090e+07 9.740e-06 7.160e-04    0.151    0.808     0.04 0.000529 4.38e-06 1.61e-09 8.98e-14
1        2 9.350e+03 7.090e+07 1.320e-05 9.690e-04    0.122    0.825   0.0516 0.000863 9.03e-06  4.2e-09 2.95e-13
1        2 9.370e+03 7.090e+07 1.780e-05 1.310e-03   0.0971    0.835   0.0667  0.00142 1.89e-05 1.12e-08    1e-12
1        2 9.390e+03 7.090e+07 2.410e-05 1.770e-03   0.0757    0.836    0.086  0.00236 4.04e-05 3.08e-08 3.54e-12
1        2 9.410e+03 7.090e+07 3.260e-05 2.400e-03   0.0578    0.828    0.111  0.00394 8.75e-05 8.64e-08 1.29e-11
1        2 9.460e+03 7.090e+07 4.420e-05 3.250e-03   0.0439     0.81     0.14  0.00644 0.000184 2.35e-07 4.51e-11
1        2 9.520e+03 7.090e+07 5.970e-05 4.390e-03    0.032    0.779    0.178   0.0109 0.000411 6.92e-07 1.76e-10
1        2 9.600e+03 7.090e+07 8.080e-05 5.940e-03   0.0227    0.735    0.224   0.0182 0.000913 2.04e-06  6.9e-10
1        2 9.700e+03 7.090e+07 1.090e-04 8.040e-03   0.0159    0.679    0.274   0.0295  0.00197 5.82e-06  2.6e-09
1        2 9.840e+03 7.090e+07 1.480e-04 1.090e-02   0.0107    0.608    0.329   0.0477  0.00424 1.68e-05    1e-08
1        3 1.000e+04 7.090e+07 2.000e-04 1.470e-02  0.00675    0.521    0.386   0.0767  0.00931 5.03e-05 4.09e-08
1        3 1.020e+04 7.090e+07 2.710e-04 1.990e-02  0.00405    0.426    0.432    0.118   0.0197 0.000145 1.62e-07
1        3 1.040e+04 7.090e+07 3.670e-04 2.700e-02  0.00232    0.331    0.457    0.171   0.0386 0.000388 5.89e-07
1        3 1.040e+04 7.090e+07 4.960e-04 3.650e-02  0.00131    0.249    0.455    0.226   0.0678 0.000905 1.82e-06
1        3 1.040e+04 7.090e+07 6.710e-04 4.930e-02 0.000676    0.172    0.426    0.284    0.115  0.00206 5.59e-06
1        3 1.040e+04 7.090e+07 9.080e-04 6.680e-02 0.000322    0.111     0.37    0.333    0.181  0.00439  1.6e-05
1        3 1.040e+04 7.090e+07 1.230e-03 9.030e-02 0.000142    0.066    0.298    0.362    0.266  0.00867 4.27e-05
1        3 1.040e+04 7.090e+07 1.660e-03 1.220e-01 6.14e-05   0.0377    0.226    0.365    0.356   0.0154 0.000101
1        3 1.040e+04 7.090e+07 2.250e-03 1.650e-01 2.35e-05   0.0195    0.158    0.344    0.452   0.0264 0.000232
1        3 1.040e+04 7.090e+07 3.040e-03 2.240e-01 8.46e-06  0.00947    0.104    0.304    0.539   0.0425 0.000504
1        3 1.040e+04 7.090e+07 4.120e-03 3.030e-01 2.88e-06  0.00435   0.0643    0.255     0.61   0.0648  0.00104
1        3 1.040e+04 7.090e+07 5.570e-03 4.100e-01  9.3e-07   0.0019   0.0381    0.204    0.659   0.0946  0.00205
1        3 1.040e+04 7.090e+07 7.540e-03 5.540e-01 2.89e-07 0.000801   0.0217    0.157    0.684    0.133  0.00388
1        3 1.040e+04 7.090e+07 1.020e-02 7.500e-01 8.62e-08 0.000325   0.0119    0.116    0.685    0.179  0.00709
1        3 1.040e+04 7.090e+07 1.380e-02 1.010e+00 2.48e-08 0.000127  0.00628   0.0832    0.663    0.235   0.0126
1        3 1.040e+04 7.090e+07 1.870e-02 1.370e+00 6.89e-09 4.82e-05  0.00322   0.0576    0.621    0.297   0.0215
1        3 1.040e+04 7.090e+07 2.530e-02 1.860e+00 1.84e-09 1.76e-05  0.00159   0.0385    0.561    0.363   0.0355
