i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05     0.57    0.427  0.00268 4.09e-06 4.31e-09 2.03e-13 1.44e-18
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.527     0.47  0.00354  6.5e-06  8.2e-09 4.62e-13 3.93e-18
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.482    0.513  0.00465 1.03e-05 1.56e-08 1.06e-12 1.08e-17
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.437    0.557   0.0061 1.64e-05 2.99e-08 2.44e-12    3e-17
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.391    0.601  0.00797 2.61e-05 5.75e-08 5.66e-12 8.43e-17
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04    0.347    0.643   0.0104 4.14e-05 1.11e-07 1.33e-11  2.4e-16
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.303    0.683   0.0135  6.6e-05 2.16e-07 3.15e-11 6.95e-16
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04    0.262     0.72   0.0175 0.000106 4.24e-07 7.58e-11 2.05e-15
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04    0.223    0.754   0.0226 0.000169 8.39e-07 1.85e-10 6.19e-15
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04    0.187    0.783   0.0292 0.000274 1.69e-06 4.63e-10 1.92e-14
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04    0.154    0.807   0.0378 0.000444 3.43e-06 1.18e-09 6.14e-14
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04    0.125    0.825   0.0487 0.000726 7.08e-06 3.07e-09 2.02e-13
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03      0.1    0.836   0.0629   0.0012 1.48e-05 8.19e-09 6.85e-13
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03   0.0783    0.839    0.081  0.00198 3.15e-05 2.23e-08 2.39e-12
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03   0.0602    0.832    0.104   0.0033 6.78e-05 6.21e-08 8.62e-12
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03   0.0454    0.816    0.133  0.00551 0.000148 1.76e-07 3.19e-11
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03   0.0334    0.788    0.169  0.00921 0.000324 5.09e-07 1.21e-10
1        0 7.950e+03 7.090e+07 8.070e-05 5.940e-03    0.024    0.748    0.212   0.0154 0.000716 1.49e-06 4.67e-10
1        0 8.110e+03 7.090e+07 1.090e-04 8.040e-03   0.0168    0.694    0.263   0.0255  0.00159 4.39e-06 1.84e-09
1        0 8.340e+03 7.090e+07 1.480e-04 1.090e-02   0.0113    0.625    0.318   0.0418   0.0035  1.3e-05 7.33e-09
1        0 8.660e+03 7.090e+07 2.000e-04 1.470e-02  0.00732    0.543    0.375   0.0672  0.00761 3.84e-05 2.92e-08
1        0 9.080e+03 7.090e+07 2.700e-04 1.990e-02  0.00449     0.45    0.424    0.105   0.0162 0.000112 1.16e-07
1        0 9.620e+03 7.090e+07 3.660e-04 2.700e-02  0.00258    0.351    0.455    0.157   0.0334 0.000316 4.51e-07
1        0 1.030e+04 7.090e+07 4.950e-04 3.650e-02  0.00137    0.254    0.456    0.222   0.0653 0.000852 1.68e-06
1        0 1.110e+04 7.090e+07 6.700e-04 4.930e-02 0.000668    0.169    0.421    0.289    0.118  0.00214 5.87e-06
1        0 1.190e+04 7.090e+07 9.070e-04 6.680e-02 0.000295    0.102    0.353    0.344    0.196  0.00493 1.88e-05
1        0 1.280e+04 7.090e+07 1.230e-03 9.040e-02 0.000118    0.056    0.269    0.371    0.294   0.0103 5.47e-05
1        0 1.360e+04 7.090e+07 1.660e-03 1.220e-01 4.31e-05    0.028    0.186    0.364    0.402   0.0196 0.000145
1        0 1.460e+04 7.090e+07 2.250e-03 1.650e-01 1.44e-05   0.0129    0.119    0.329    0.505   0.0343 0.000353
1        0 1.560e+04 7.090e+07 3.040e-03 2.240e-01 4.48e-06  0.00549   0.0704    0.276    0.591   0.0559 0.000801
1        0 1.660e+04 7.090e+07 4.110e-03 3.030e-01 1.31e-06  0.00221   0.0394    0.218    0.652    0.086  0.00172
1        0 1.770e+04 7.090e+07 5.560e-03 4.100e-01 3.66e-07 0.000848    0.021    0.164    0.685    0.126   0.0035
1        0 1.880e+04 7.090e+07 7.530e-03 5.540e-01 9.75e-08 0.000312   0.0107    0.118    0.688    0.176  0.00683
1        0 2.000e+04 7.090e+07 1.020e-02 7.500e-01 2.49e-08  0.00011  0.00522   0.0817    0.663    0.237   0.0128
1        0 2.140e+04 7.090e+07 1.380e-02 1.020e+00 6.04e-09  3.7e-05  0.00243    0.054    0.614    0.306   0.0232
1        0 2.300e+04 7.090e+07 1.860e-02 1.370e+00 1.39e-09 1.18e-05  0.00108   0.0341    0.544    0.381   0.0404
1        0 2.490e+04 7.090e+07 2.520e-02 1.860e+00 3.01e-10 3.57e-06 0.000455   0.0204    0.459    0.452   0.0676
1        0 2.720e+04 7.090e+07 3.410e-02 2.510e+00 6.01e-11    1e-06 0.000178   0.0115    0.367    0.513    0.108
1        0 3.020e+04 7.090e+07 4.620e-02 3.400e+00 1.11e-11 2.63e-07 6.53e-05  0.00606    0.277    0.551    0.166
1        0 3.410e+04 7.090e+07 6.250e-02 4.600e+00 1.88e-12  6.3e-08  2.2e-05  0.00296    0.195    0.559    0.243
1        0 3.900e+04 7.090e+07 8.460e-02 6.230e+00 2.89e-13 1.39e-08 6.83e-06  0.00134    0.129    0.534    0.336
1        0 4.530e+04 7.090e+07 1.140e-01 8.430e+00 4.06e-14 2.82e-09 1.95e-06  0.00056   0.0791    0.479    0.441
1        0 5.280e+04 7.090e+07 1.550e-01 1.140e+01 3.01e-15 5.37e-10 5.25e-07  0.00022   0.0458    0.406    0.548
1        0 6.190e+04 7.090e+07 2.090e-01 1.540e+01 7.62e-16 9.68e-11 1.34e-07 8.14e-05   0.0251    0.327    0.648
1        0 7.290e+04 7.090e+07 2.830e-01 2.090e+01 1.95e-16 1.63e-11 3.21e-08 2.86e-05   0.0131    0.252    0.735
1        0 8.630e+04 7.090e+07 3.830e-01 2.820e+01 2.76e-24 2.65e-12 7.45e-09 9.62e-06  0.00658    0.187    0.807
1        0 1.000e+05 7.090e+07 5.190e-01 3.820e+01 2.76e-24 4.28e-13 1.73e-09 3.24e-06  0.00327    0.136    0.861
1        0 1.150e+05 7.090e+07 7.020e-01 5.170e+01 4.79e-17 7.01e-14 4.04e-10 1.09e-06  0.00162   0.0977    0.901
1        0 1.220e+05 7.090e+07 9.500e-01 7.000e+01 1.33e-16  1.4e-14 1.08e-10 4.06e-07 0.000848   0.0718    0.927
1        0 1.290e+05 7.090e+07 1.290e+00 9.470e+01 5.82e-17 2.73e-15 2.92e-11 1.52e-07 0.000445   0.0526    0.947
1        0 1.430e+05 7.090e+07 1.740e+00 1.280e+02 2.76e-24 2.66e-16 7.11e-12 5.29e-08 0.000222   0.0374    0.962
1        0 1.840e+05 7.090e+07 2.350e+00 1.730e+02 2.76e-24 2.76e-24 1.23e-12  1.4e-08 9.34e-05   0.0244    0.976
1        1 2.650e+05 7.090e+07 3.180e+00 2.340e+02 2.76e-24 2.76e-24 1.57e-13 2.96e-09  3.4e-05   0.0148    0.985
1        0 3.110e+05 7.090e+07 4.310e+00 3.170e+02 2.76e-24 2.76e-24  3.2e-14 8.94e-10 1.55e-05     0.01     0.99
1        1 3.220e+05 7.090e+07 5.830e+00 4.290e+02 2.76e-24 2.76e-24 8.65e-15 3.39e-10 8.16e-06  0.00726    0.993
1        0 2.450e+05 7.090e+07 7.880e+00 5.810e+02 2.76e-24 2.76e-24  5.2e-15 2.26e-10 6.12e-06   0.0063    0.994
1        0 2.820e+05 7.090e+07 1.070e+01 7.860e+02 1.18e-17 1.07e-16 1.15e-15 7.12e-11 2.86e-06   0.0043    0.996
1        0 3.190e+05 7.090e+07 1.440e+01 1.060e+03 2.76e-24 2.76e-24 8.53e-18 2.28e-11 1.35e-06  0.00296    0.997
1        0 3.630e+05 7.090e+07 1.950e+01 1.440e+03  2.9e-18 2.64e-17 7.68e-17 7.26e-12 6.36e-07  0.00203    0.998
1        0 4.300e+05 7.090e+07 2.640e+01 1.950e+03 2.76e-24 2.76e-24 4.15e-19 2.13e-12 2.84e-07  0.00136    0.999
1        0 5.840e+05 7.090e+07 3.580e+01 2.630e+03 4.67e-19 4.25e-18  2.4e-17 4.77e-13 1.07e-07 0.000831    0.999
1        1 9.750e+05 7.090e+07 4.840e+01 3.570e+03 1.18e-18 1.08e-17 5.75e-17 7.72e-14 3.03e-08 0.000441      1.0
1        2 9.750e+05 7.090e+07 6.550e+01 4.820e+03 3.35e-18 3.04e-17 1.62e-16 3.15e-14 1.66e-08 0.000326      1.0
1        2 9.750e+05 7.090e+07 8.860e+01 6.530e+03 4.62e-19  4.2e-18 2.24e-17 1.25e-14 9.06e-09 0.000241      1.0
1        2 9.750e+05 7.090e+07 1.200e+02 8.830e+03  3.1e-20 2.79e-19  1.5e-18  5.1e-15 4.95e-09 0.000178      1.0
1        2 9.750e+05 7.090e+07 1.620e+02 1.190e+04 2.76e-24 2.76e-24 2.76e-24 2.05e-15 2.71e-09 0.000132      1.0
1        2 9.750e+05 7.090e+07 2.190e+02 1.620e+04 4.94e-20 4.46e-19 2.39e-18 8.37e-16 1.48e-09 9.74e-05      1.0
1        2 9.750e+05 7.090e+07 2.970e+02 2.190e+04 4.03e-20 3.64e-19 1.95e-18 3.41e-16 8.07e-10  7.2e-05      1.0
1        2 9.750e+05 7.090e+07 4.020e+02 2.960e+04 1.59e-19 1.44e-18 7.69e-18 1.59e-16 4.41e-10 5.32e-05      1.0
1        2 9.750e+05 7.090e+07 5.440e+02 4.000e+04 2.76e-24 2.76e-24 2.76e-24 4.71e-17 2.41e-10 3.93e-05      1.0
1        2 9.750e+05 7.090e+07 7.360e+02 5.420e+04 5.11e-20 4.64e-19 2.48e-18 2.97e-17 1.32e-10 2.91e-05      1.0
1        2 9.750e+05 7.090e+07 9.950e+02 7.330e+04 1.41e-20 1.28e-19 6.82e-19  1.1e-17 7.19e-11 2.15e-05      1.0
1        2 9.750e+05 7.090e+07 1.350e+03 9.920e+04  1.6e-20 1.45e-19 7.74e-19    6e-18 3.93e-11 1.59e-05      1.0
1        2 9.750e+05 7.090e+07 1.820e+03 1.340e+05 6.29e-20  5.7e-19 3.04e-18 1.09e-17 2.14e-11 1.17e-05      1.0
1        2 9.750e+05 7.090e+07 2.460e+03 1.820e+05  6.5e-20  5.9e-19 3.15e-18 1.04e-17 1.17e-11 8.67e-06      1.0
1        2 9.750e+05 7.090e+07 3.330e+03 2.460e+05 2.76e-24 2.76e-24 2.76e-24 2.36e-19  6.4e-12 6.41e-06      1.0
1        2 9.750e+05 7.090e+07 4.510e+03 3.320e+05 2.76e-24 2.76e-24 2.76e-24 9.55e-20 3.49e-12 4.74e-06      1.0
1        2 9.750e+05 7.090e+07 6.110e+03 4.500e+05 2.76e-24 2.76e-24 2.76e-24 3.85e-20 1.91e-12  3.5e-06      1.0
1        2 9.750e+05 7.090e+07 8.260e+03 6.090e+05 2.76e-24 2.76e-24 2.76e-24 1.56e-20 1.04e-12 2.59e-06      1.0
1        2 9.750e+05 7.090e+07 1.120e+04 8.230e+05 2.76e-24 2.76e-24 2.76e-24 2.76e-24  5.7e-13 1.91e-06      1.0
1        2 9.750e+05 7.090e+07 1.510e+04 1.110e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 3.11e-13 1.41e-06      1.0
1        2 9.750e+05 7.090e+07 2.050e+04 1.510e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24  1.7e-13 1.04e-06      1.0
1        2 9.750e+05 7.090e+07 2.770e+04 2.040e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 9.28e-14 7.72e-07      1.0
1        2 9.750e+05 7.090e+07 3.750e+04 2.760e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 5.07e-14  5.7e-07      1.0
1        2 9.750e+05 7.090e+07 5.070e+04 3.730e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 2.77e-14 4.22e-07      1.0
1        2 9.750e+05 7.090e+07 6.860e+04 5.050e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 1.51e-14 3.12e-07      1.0
1        2 9.750e+05 7.090e+07 9.280e+04 6.840e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 8.26e-15  2.3e-07      1.0
1        2 9.750e+05 7.090e+07 1.260e+05 9.250e+06 2.76e-24 2.76e-24 2.76e-24 2.76e-24 4.51e-15  1.7e-07      1.0
1        2 9.750e+05 7.090e+07 1.700e+05 1.250e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 2.46e-15 1.26e-07      1.0
1        2 9.750e+05 7.090e+07 2.300e+05 1.690e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 1.35e-15  9.3e-08      1.0
1        2 9.750e+05 7.090e+07 3.110e+05 2.290e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 7.35e-16 6.87e-08      1.0
1        2 9.750e+05 7.090e+07 4.210e+05 3.100e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 4.02e-16 5.08e-08      1.0
1        2 9.750e+05 7.090e+07 5.700e+05 4.200e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 2.19e-16 3.75e-08      1.0
1        2 9.750e+05 7.090e+07 7.710e+05 5.680e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24  1.2e-16 2.77e-08      1.0
1        2 9.750e+05 7.090e+07 1.040e+06 7.680e+07 2.76e-24 2.76e-24 2.76e-24 2.76e-24 6.54e-17 2.05e-08      1.0
1        2 9.750e+05 7.090e+07 1.410e+06 1.040e+08 2.76e-24 2.76e-24 2.76e-24 2.76e-24 3.57e-17 1.51e-08      1.0
1        2 9.750e+05 7.090e+07 1.910e+06 1.410e+08 2.76e-24 2.76e-24 2.76e-24 2.76e-24 1.95e-17 1.12e-08      1.0
1        2 9.750e+05 7.090e+07 2.580e+06 1.900e+08 2.76e-24 2.76e-24 2.76e-24 2.76e-24 1.06e-17 8.28e-09      1.0
1        2 9.750e+05 7.090e+07 3.490e+06 2.570e+08 2.76e-24 2.76e-24 2.76e-24 2.76e-24 5.79e-18 6.12e-09      1.0
1        2 9.750e+05 7.090e+07 4.730e+06 3.480e+08 2.76e-24 2.76e-24 2.76e-24 2.76e-24 3.16e-18 4.52e-09      1.0
