i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05    0.357    0.539   0.0986  0.00511 0.000229 2.11e-05  1.9e-06 5.34e-08 3.78e-10 2.07e-11 7.85e-13 1.28e-17  5.9e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.309    0.559    0.123  0.00735 0.000321 2.93e-05 2.41e-06 6.46e-08 4.46e-10 2.43e-11 8.95e-13 1.83e-17 8.32e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.265    0.571    0.153   0.0106 0.000456  4.1e-05 3.07e-06 7.84e-08 5.27e-10 2.87e-11 1.03e-12 2.63e-17 1.18e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.224    0.574    0.187   0.0151 0.000653 5.81e-05  3.9e-06 9.52e-08 6.21e-10 3.42e-11 1.21e-12 3.82e-17 1.69e-19 1.07e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.186    0.567    0.225   0.0216 0.000949 8.32e-05 4.99e-06 1.16e-07 7.32e-10 4.11e-11 1.45e-12  5.6e-17 2.45e-19 1.55e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04    0.152    0.549    0.267   0.0306  0.00139  0.00012 6.42e-06 1.42e-07 8.63e-10 5.01e-11  1.8e-12  8.3e-17 3.61e-19 2.29e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.122    0.521    0.312    0.043  0.00207 0.000176 8.32e-06 1.76e-07 1.02e-09 6.21e-11 2.32e-12 1.25e-16 5.43e-19 3.46e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04   0.0953    0.484    0.358   0.0598  0.00312  0.00026 1.09e-05 2.19e-07 1.21e-09 7.84e-11 3.14e-12 1.91e-16  8.4e-19 5.37e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04   0.0724    0.438    0.402   0.0823  0.00473 0.000389 1.45e-05 2.79e-07 1.45e-09 1.01e-10 4.43e-12 2.99e-16 1.35e-18  8.6e-20 1.43e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04   0.0531    0.385    0.442    0.112  0.00723  0.00059 1.97e-05 3.62e-07 1.76e-09 1.35e-10 6.55e-12 4.85e-16 2.26e-18 1.43e-19  2.6e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04   0.0375    0.328    0.474    0.149   0.0111 0.000903 2.75e-05 4.85e-07 2.21e-09 1.86e-10    1e-11 8.17e-16 3.97e-18 2.47e-19 4.95e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
