i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 5.430e+03 7.090e+07 4.730e-07 3.480e-05    0.538    0.446   0.0162 1.51e-05 2.49e-08 7.88e-12 1.35e-16 8.95e-24
1        0 5.660e+03 7.090e+07 6.400e-07 4.710e-05    0.491    0.487   0.0213 2.37e-05 4.67e-08 1.77e-11 3.62e-16 8.95e-24
1        0 5.880e+03 7.090e+07 8.660e-07 6.380e-05    0.443    0.529   0.0279  3.7e-05 8.74e-08 3.97e-11 9.76e-16 8.95e-24
1        0 6.100e+03 7.090e+07 1.170e-06 8.630e-05    0.396    0.568   0.0362 5.76e-05 1.64e-07 8.95e-11 2.65e-15 1.33e-20
1        0 6.310e+03 7.090e+07 1.580e-06 1.170e-04    0.348    0.605   0.0468 8.95e-05 3.07e-07 2.03e-10 7.27e-15 4.42e-20
1        0 6.520e+03 7.090e+07 2.140e-06 1.580e-04    0.303    0.637     0.06 0.000139 5.76e-07 4.63e-10 2.01e-14 1.49e-19
1        0 6.710e+03 7.090e+07 2.900e-06 2.140e-04    0.259    0.664   0.0765 0.000215 1.09e-06 1.07e-09 5.65e-14  5.1e-19
1        0 6.890e+03 7.090e+07 3.920e-06 2.890e-04    0.218    0.685   0.0969 0.000333 2.06e-06 2.48e-09 1.61e-13 1.78e-18
1        0 7.050e+03 7.090e+07 5.310e-06 3.910e-04     0.18    0.698    0.122 0.000515 3.93e-06 5.84e-09 4.69e-13 6.41e-18
1        0 7.190e+03 7.090e+07 7.190e-06 5.290e-04    0.146    0.701    0.153 0.000799 7.57e-06  1.4e-08  1.4e-12 2.37e-17
1        0 7.320e+03 7.090e+07 9.720e-06 7.160e-04    0.115    0.694    0.189  0.00124 1.47e-05  3.4e-08 4.25e-12 9.04e-17
1        0 7.430e+03 7.090e+07 1.320e-05 9.690e-04   0.0889    0.676    0.233  0.00192 2.87e-05 8.37e-08 1.32e-11 3.55e-16
1        0 7.520e+03 7.090e+07 1.780e-05 1.310e-03   0.0668    0.647    0.284  0.00297 5.63e-05 2.09e-07  4.2e-11 1.44e-15
1        0 7.600e+03 7.090e+07 2.410e-05 1.770e-03   0.0488    0.606    0.341  0.00457 0.000111 5.29e-07 1.36e-10 5.97e-15
1        0 7.670e+03 7.090e+07 3.260e-05 2.400e-03   0.0346    0.554    0.404  0.00699 0.000219 1.35e-06 4.51e-10 2.55e-14
1        0 7.750e+03 7.090e+07 4.410e-05 3.250e-03   0.0238    0.495     0.47   0.0106 0.000433 3.48e-06 1.51e-09 1.12e-13
1        0 7.830e+03 7.090e+07 5.970e-05 4.390e-03   0.0157    0.431    0.537   0.0159 0.000851 8.98e-06 5.12e-09 4.97e-13
1        0 7.950e+03 7.090e+07 8.070e-05 5.940e-03   0.0101    0.364      0.6   0.0234  0.00166 2.32e-05 1.75e-08 2.25e-12
1        0 8.110e+03 7.090e+07 1.090e-04 8.040e-03  0.00623    0.299    0.657   0.0341  0.00321 5.99e-05 6.03e-08 1.03e-11
1        0 8.340e+03 7.090e+07 1.480e-04 1.090e-02  0.00371    0.239    0.702   0.0488  0.00616 0.000154 2.09e-07  4.8e-11
1        0 8.660e+03 7.090e+07 2.000e-04 1.470e-02  0.00212    0.185    0.733   0.0686   0.0116 0.000395 7.23e-07 2.25e-10
1        0 9.080e+03 7.090e+07 2.700e-04 1.990e-02  0.00117    0.138    0.744   0.0944   0.0217    0.001  2.5e-06 1.06e-09
1        0 9.620e+03 7.090e+07 3.660e-04 2.700e-02  0.00062   0.0995    0.731    0.127   0.0395  0.00251 8.63e-06 5.04e-09
1        0 1.030e+04 7.090e+07 4.950e-04 3.650e-02 0.000313   0.0685    0.691    0.164   0.0698  0.00615 2.92e-05 2.36e-08
1        0 1.110e+04 7.090e+07 6.700e-04 4.930e-02  0.00015   0.0447     0.62    0.203    0.118   0.0144 9.47e-05 1.06e-07
1        0 1.190e+04 7.090e+07 9.070e-04 6.680e-02 6.62e-05   0.0272     0.52    0.235    0.186   0.0317  0.00029 4.52e-07
1        0 1.280e+04 7.090e+07 1.230e-03 9.040e-02 2.72e-05   0.0152      0.4     0.25     0.27   0.0639 0.000815 1.77e-06
1        0 1.360e+04 7.090e+07 1.660e-03 1.220e-01 9.98e-06  0.00766    0.278    0.241    0.355    0.117  0.00207 6.24e-06
1        0 1.460e+04 7.090e+07 2.250e-03 1.650e-01  3.3e-06  0.00346    0.173    0.208    0.418    0.192  0.00473 1.99e-05
1        0 1.560e+04 7.090e+07 3.040e-03 2.240e-01 9.85e-07  0.00141   0.0973    0.162    0.445    0.284  0.00977 5.72e-05
1        0 1.660e+04 7.090e+07 4.110e-03 3.030e-01 2.68e-07 0.000522   0.0498    0.115    0.431    0.384   0.0184  0.00015
1        0 1.770e+04 7.090e+07 5.560e-03 4.100e-01 6.75e-08 0.000179   0.0235   0.0759    0.387    0.481   0.0321 0.000364
1        0 1.880e+04 7.090e+07 7.530e-03 5.540e-01 1.59e-08 5.75e-05   0.0104   0.0467    0.325    0.564   0.0524  0.00083
1        0 2.000e+04 7.090e+07 1.020e-02 7.500e-01 3.53e-09 1.74e-05  0.00436   0.0272    0.259    0.626   0.0812  0.00179
1        0 2.140e+04 7.090e+07 1.380e-02 1.020e+00 7.48e-10 5.02e-06  0.00173   0.0151    0.196    0.663     0.12  0.00371
1        0 2.300e+04 7.090e+07 1.860e-02 1.370e+00 1.49e-10 1.36e-06  0.00065  0.00795    0.141    0.672    0.171  0.00738
1        0 2.490e+04 7.090e+07 2.520e-02 1.860e+00 2.81e-11 3.49e-07 0.000232  0.00399   0.0973    0.651    0.233   0.0142
1        0 2.720e+04 7.090e+07 3.410e-02 2.510e+00 5.03e-12  8.5e-08 7.81e-05  0.00189   0.0635    0.603    0.305   0.0263
1        0 3.020e+04 7.090e+07 4.620e-02 3.400e+00 8.39e-13 1.92e-08 2.45e-05 0.000848   0.0391     0.53    0.383    0.047
1        0 3.410e+04 7.090e+07 6.250e-02 4.600e+00 1.27e-13 3.96e-09 7.15e-06 0.000354   0.0225     0.44    0.457   0.0808
1        0 3.900e+04 7.090e+07 8.460e-02 6.230e+00  1.8e-14 7.53e-10 1.92e-06 0.000137    0.012    0.342    0.514    0.132
1        0 4.530e+04 7.090e+07 1.140e-01 8.430e+00 2.06e-15 1.32e-10 4.68e-07 4.85e-05  0.00594    0.247    0.543    0.203
1        0 5.280e+04 7.090e+07 1.550e-01 1.140e+01    5e-16 2.14e-11 1.07e-07 1.59e-05  0.00273    0.167    0.536    0.294
