i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15      i16      i17      i18      i19      i20      i21      i22      i23      i24      i25      i26      i27
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.523    0.431    0.045  0.00181   0.0001 9.44e-06 1.03e-06 4.43e-08 6.22e-10 2.31e-11    8e-13 1.04e-17  5.2e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05    0.474    0.465   0.0574  0.00255 0.000135 1.26e-05 1.29e-06 5.27e-08 7.28e-10 2.66e-11 9.01e-13 1.45e-17 7.14e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.425    0.498   0.0728  0.00361 0.000184 1.69e-05 1.61e-06 6.29e-08 8.52e-10 3.07e-11 1.02e-12 2.04e-17 9.85e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.376    0.527   0.0917  0.00512 0.000254 2.29e-05 2.03e-06 7.51e-08 9.97e-10 3.55e-11 1.15e-12 2.89e-17 1.36e-19 1.05e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.327    0.551    0.114  0.00729 0.000353 3.15e-05 2.56e-06    9e-08 1.17e-09 4.13e-11  1.3e-12  4.1e-17 1.89e-19 1.46e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.279    0.568    0.141   0.0104 0.000497 4.38e-05 3.23e-06 1.08e-07 1.36e-09 4.82e-11 1.49e-12 5.86e-17 2.64e-19 2.04e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04    0.234    0.577    0.173   0.0148 0.000708 6.17e-05  4.1e-06  1.3e-07 1.59e-09 5.68e-11 1.74e-12 8.45e-17 3.71e-19 2.88e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.192    0.576    0.209    0.021  0.00102 8.79e-05 5.23e-06 1.58e-07 1.84e-09 6.75e-11 2.07e-12 1.23e-16 5.27e-19 4.14e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04    0.154    0.565     0.25   0.0298   0.0015 0.000127 6.72e-06 1.92e-07 2.15e-09 8.12e-11 2.55e-12 1.82e-16 7.58e-19 6.06e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04     0.12    0.541    0.294    0.042  0.00224 0.000187 8.73e-06 2.36e-07  2.5e-09 9.96e-11 3.28e-12 2.73e-16 1.11e-18 9.09e-20 1.49e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04   0.0903    0.506    0.341    0.059  0.00339 0.000279 1.15e-05 2.95e-07 2.92e-09 1.25e-10 4.43e-12 4.18e-16 1.68e-18 1.41e-19 2.42e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04   0.0655     0.46    0.387    0.082  0.00521 0.000423 1.54e-05 3.75e-07 3.45e-09 1.61e-10 6.31e-12  6.6e-16 2.63e-18 2.25e-19 4.19e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03   0.0456    0.405    0.428    0.113  0.00809 0.000652 2.13e-05 4.89e-07 4.13e-09 2.14e-10 9.46e-12 1.08e-15 4.31e-18 3.77e-19  7.7e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03   0.0302    0.342    0.461    0.153   0.0127  0.00102 3.04e-05 6.63e-07 5.11e-09 2.95e-10 1.48e-11 1.86e-15 7.51e-18 6.61e-19 1.49e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03   0.0188    0.276    0.481    0.203     0.02  0.00164 4.55e-05 9.44e-07 6.62e-09 4.26e-10 2.41e-11 3.38e-15  1.4e-17 1.22e-18 3.04e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03    0.011    0.212    0.481    0.262   0.0314  0.00265 7.18e-05 1.43e-06  9.2e-09 6.41e-10 4.02e-11  6.6e-15 2.79e-17 2.39e-18  6.4e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03  0.00596    0.152    0.459    0.328   0.0492  0.00438 0.000121 2.31e-06  1.4e-08 1.01e-09 6.82e-11 1.39e-14 5.96e-17 4.93e-18 1.39e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03  0.00299    0.103    0.416    0.395   0.0755  0.00729 0.000215    4e-06 2.33e-08 1.66e-09 1.17e-10 3.13e-14 1.35e-16 1.07e-17 3.08e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03  0.00137   0.0645    0.355    0.454    0.113   0.0122 0.000405 7.35e-06 4.26e-08 2.88e-09 2.01e-10 7.57e-14 3.22e-16 2.45e-17 6.99e-18 1.05e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.120e+03 7.090e+07 1.480e-04 1.090e-02 0.000569   0.0371    0.282    0.495    0.164   0.0206   0.0008 1.43e-05 8.45e-08  5.3e-09 3.51e-10 1.95e-13 8.18e-16 6.02e-17 1.63e-17 3.67e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.390e+03 7.090e+07 2.000e-04 1.470e-02 0.000212   0.0195    0.208    0.507    0.229   0.0345  0.00163  2.9e-05 1.78e-07 1.05e-08 6.25e-10 5.33e-13  2.2e-15 1.59e-16  3.9e-17 1.37e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 3.730e+03 7.090e+07 2.700e-04 1.990e-02 6.98e-05  0.00922    0.141    0.485    0.304   0.0573  0.00342 6.15e-05 3.96e-07 2.24e-08 1.14e-09 1.53e-12 6.32e-15 4.59e-16 9.71e-17 5.48e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 4.180e+03 7.090e+07 3.660e-04 2.700e-02 2.01e-05  0.00388   0.0863    0.429     0.38   0.0934  0.00726 0.000135 9.13e-07 5.27e-08 2.17e-09 4.64e-12 1.94e-14 1.46e-15 2.54e-16 2.35e-18 2.43e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 4.830e+03 7.090e+07 4.950e-04 3.650e-02 4.81e-06   0.0014   0.0469    0.344    0.443    0.148   0.0156 0.000312 2.19e-06 1.36e-07 4.37e-09 1.51e-11 6.47e-14 5.18e-15 7.07e-16  1.1e-17 1.05e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 5.760e+03 7.090e+07 6.700e-04 4.930e-02 9.63e-07 0.000429   0.0221    0.246    0.473    0.225   0.0334 0.000747 5.38e-06 3.81e-07 9.34e-09 5.18e-11 2.32e-13 2.02e-14 2.06e-15 5.49e-17 4.91e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.580e+04 7.090e+07 9.070e-04 6.680e-02  1.1e-07 1.44e-05  0.00228   0.0707    0.354    0.416    0.154  0.00404 3.42e-05 3.89e-06  5.3e-08 6.19e-10  4.6e-12 4.68e-13 1.58e-14 1.13e-15 1.55e-17 2.92e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
