i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.602    0.392  0.00561 1.64e-05 1.19e-08 1.07e-10 4.77e-14 7.23e-20    1e-20
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05     0.56    0.433  0.00734  2.4e-05 1.87e-08 1.85e-10 8.93e-14  1.6e-19    1e-20
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.516    0.474  0.00958 3.51e-05 2.95e-08 3.23e-10 1.68e-13 3.59e-19    1e-20
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.472    0.516   0.0125 5.16e-05 4.65e-08 5.66e-10 3.18e-13 8.07e-19    1e-20
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.427    0.557   0.0161 7.63e-05 7.36e-08    1e-09 6.05e-13 1.83e-18    1e-20
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.382    0.597   0.0208 0.000113 1.17e-07 1.78e-09 1.16e-12 4.21e-18    1e-20
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04    0.338    0.636   0.0267 0.000169 1.86e-07  3.2e-09 2.24e-12 9.79e-18    1e-20
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.295    0.671   0.0341 0.000254 2.99e-07 5.82e-09 4.39e-12 2.32e-17    1e-20
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04    0.254    0.702   0.0436 0.000384 4.85e-07 1.07e-08 8.75e-12 5.61e-17    1e-20
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04    0.216    0.728   0.0555 0.000586 7.98e-07    2e-08 1.78e-11  1.4e-16    1e-20
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04     0.18    0.748   0.0705 0.000901 1.33e-06 3.79e-08 3.71e-11 3.58e-16    1e-20
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04    0.148    0.761   0.0894   0.0014 2.26e-06 7.31e-08 7.94e-11  9.5e-16    1e-20
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03    0.119    0.766    0.113  0.00219 3.92e-06 1.44e-07 1.76e-10 2.63e-15    1e-20
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03   0.0933    0.761    0.143  0.00346 6.99e-06 2.88e-07 4.03e-10 7.63e-15 3.47e-20
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03   0.0714    0.744    0.179  0.00552 1.28e-05 5.91e-07 9.62e-10 2.33e-14 1.35e-19
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03    0.053    0.714    0.224  0.00886 2.41e-05 1.23e-06 2.39e-09 7.47e-14 5.62e-19
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03    0.038     0.67    0.278   0.0143  4.7e-05 2.64e-06 6.22e-09 2.55e-13 2.52e-18
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03   0.0262    0.612    0.339    0.023  9.3e-05 5.67e-06 1.66e-08 9.05e-13 1.18e-17
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03   0.0173    0.541    0.405   0.0366 0.000188 1.23e-05 4.59e-08 3.35e-12 5.86e-17
1        0 3.120e+03 7.090e+07 1.480e-04 1.090e-02   0.0108    0.459    0.472   0.0574 0.000385 2.67e-05  1.3e-07 1.29e-11 3.08e-16
1        0 3.390e+03 7.090e+07 2.000e-04 1.470e-02  0.00634    0.372    0.533   0.0877 0.000791 5.78e-05 3.74e-07 5.13e-11 1.69e-15
1        0 3.730e+03 7.090e+07 2.700e-04 1.990e-02  0.00349    0.285     0.58    0.129  0.00161 0.000124 1.08e-06 2.08e-10 9.53e-15
1        0 4.180e+03 7.090e+07 3.660e-04 2.700e-02  0.00178    0.206    0.605    0.183  0.00322 0.000261 3.13e-06 8.55e-10 5.57e-14
1        0 4.830e+03 7.090e+07 4.950e-04 3.650e-02 0.000834    0.139    0.605    0.248  0.00632 0.000546 9.11e-06 3.62e-09 3.42e-13
1        0 5.760e+03 7.090e+07 6.700e-04 4.930e-02 0.000358   0.0881     0.58    0.319   0.0119  0.00112 2.63e-05 1.55e-08 2.18e-12
