i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
- -------- --------- --------- --------- --------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------
1        0 1.590e+03 7.090e+07 4.730e-07 3.480e-05    0.421    0.576  0.00126  0.00112 5.84e-05 1.63e-07 3.23e-11 2.43e-14  2.1e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.620e+03 7.090e+07 6.400e-07 4.710e-05     0.38    0.617  0.00155  0.00139 7.43e-05 2.08e-07 4.87e-11 3.65e-14 3.76e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.650e+03 7.090e+07 8.660e-07 6.380e-05    0.341    0.656  0.00191  0.00173 9.43e-05 2.65e-07 7.35e-11 5.51e-14 6.77e-19    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.690e+03 7.090e+07 1.170e-06 8.630e-05    0.302    0.693  0.00236  0.00214 0.000119 3.39e-07 1.11e-10 8.36e-14 1.22e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.720e+03 7.090e+07 1.580e-06 1.170e-04    0.266    0.728  0.00291  0.00265 0.000151 4.35e-07 1.69e-10 1.28e-13 2.23e-18    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.760e+03 7.090e+07 2.140e-06 1.580e-04    0.232    0.761   0.0036  0.00327 0.000191 5.61e-07 2.57e-10 1.97e-13 4.09e-18 1.19e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.810e+03 7.090e+07 2.900e-06 2.140e-04    0.201    0.791  0.00447  0.00404 0.000241 7.29e-07 3.95e-10 3.08e-13 7.59e-18 2.23e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.850e+03 7.090e+07 3.920e-06 2.890e-04    0.172    0.817  0.00556  0.00498 0.000306 9.55e-07 6.13e-10 4.88e-13 1.43e-17 4.28e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.910e+03 7.090e+07 5.310e-06 3.910e-04    0.145    0.841  0.00695  0.00613  0.00039 1.27e-06 9.62e-10 7.88e-13 2.75e-17 8.39e-20    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 1.960e+03 7.090e+07 7.190e-06 5.290e-04    0.122    0.861  0.00873  0.00758 0.000499 1.71e-06 1.54e-09 1.31e-12  5.4e-17  1.7e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.020e+03 7.090e+07 9.720e-06 7.160e-04    0.101    0.878    0.011  0.00938 0.000644 2.35e-06 2.51e-09 2.23e-12 1.09e-16 3.56e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.090e+03 7.090e+07 1.320e-05 9.690e-04   0.0827    0.891    0.014   0.0117 0.000841 3.32e-06 4.19e-09 3.93e-12 2.29e-16 7.79e-19    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.170e+03 7.090e+07 1.780e-05 1.310e-03   0.0667      0.9   0.0179   0.0145  0.00111 4.82e-06 7.24e-09 7.26e-12 5.01e-16 1.79e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.250e+03 7.090e+07 2.410e-05 1.770e-03   0.0531    0.904   0.0231   0.0182   0.0015 7.27e-06  1.3e-08 1.41e-11 1.15e-15 4.39e-18    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.350e+03 7.090e+07 3.260e-05 2.400e-03   0.0415    0.903     0.03    0.023  0.00206 1.14e-05 2.45e-08  2.9e-11 2.82e-15 1.15e-17    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.460e+03 7.090e+07 4.410e-05 3.250e-03   0.0319    0.897   0.0393   0.0292  0.00291 1.89e-05 4.86e-08 6.41e-11 7.37e-15 3.27e-17    1e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.590e+03 7.090e+07 5.970e-05 4.390e-03   0.0239    0.882   0.0521   0.0373  0.00423 3.33e-05 1.04e-07 1.54e-10 2.11e-14 1.02e-16 1.86e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.740e+03 7.090e+07 8.070e-05 5.940e-03   0.0176    0.859    0.069   0.0479  0.00632 6.17e-05 2.35e-07 3.97e-10  6.5e-14 3.48e-16  7.4e-20    1e-20    1e-20    1e-20    1e-20
1        0 2.910e+03 7.090e+07 1.090e-04 8.040e-03   0.0126    0.824   0.0916   0.0617  0.00975 0.000121 5.76e-07 1.12e-09  2.2e-13  1.3e-15 3.26e-19    1e-20    1e-20    1e-20    1e-20
