       Root    IP i converge       t_e       t_r        ip        xi      i01     i02
----------- ----- - -------- --------- --------- --------- --------- -------- -------
py87i_m8.00 -8.00 1        1 1.150e+03 7.100e+07 4.730e-10 3.480e-08    0.996 0.00357
py87i_m5.00 -5.00 1        0 1.590e+03 7.100e+07 4.730e-07 3.480e-05    0.882   0.118
py87i_m4.87 -4.87 1        0 1.620e+03 7.100e+07 6.400e-07 4.710e-05    0.864   0.136
py87i_m4.74 -4.74 1        0 1.650e+03 7.100e+07 8.660e-07 6.380e-05    0.842   0.158
py87i_m4.61 -4.61 1        0 1.690e+03 7.100e+07 1.170e-06 8.630e-05    0.818   0.182
py87i_m4.47 -4.47 1        0 1.720e+03 7.100e+07 1.590e-06 1.170e-04     0.79    0.21
py87i_m4.34 -4.34 1        0 1.760e+03 7.100e+07 2.150e-06 1.580e-04    0.758   0.242
py87i_m4.21 -4.21 1        0 1.810e+03 7.100e+07 2.900e-06 2.140e-04    0.722   0.278
py87i_m4.08 -4.08 1        0 1.860e+03 7.100e+07 3.930e-06 2.890e-04    0.683   0.317
py87i_m3.95 -3.95 1        0 1.910e+03 7.100e+07 5.310e-06 3.910e-04     0.64    0.36
py87i_m3.82 -3.82 1        0 1.960e+03 7.100e+07 7.190e-06 5.290e-04    0.592   0.408
py87i_m3.69 -3.69 1        0 2.020e+03 7.100e+07 9.730e-06 7.160e-04    0.541   0.459
py87i_m3.56 -3.56 1        0 2.090e+03 7.100e+07 1.320e-05 9.690e-04    0.488   0.512
py87i_m3.42 -3.42 1        0 2.170e+03 7.100e+07 1.780e-05 1.310e-03    0.432   0.568
py87i_m3.29 -3.29 1        0 2.250e+03 7.100e+07 2.410e-05 1.770e-03    0.376   0.624
py87i_m3.16 -3.16 1        0 2.350e+03 7.100e+07 3.260e-05 2.400e-03     0.32    0.68
py87i_m3.03 -3.03 1        0 2.460e+03 7.100e+07 4.410e-05 3.250e-03    0.267   0.733
py87i_m2.90 -2.90 1        0 2.590e+03 7.100e+07 5.970e-05 4.400e-03    0.218   0.782
py87i_m2.77 -2.77 1        0 2.740e+03 7.100e+07 8.070e-05 5.940e-03    0.174   0.826
py87i_m2.64 -2.64 1        0 2.910e+03 7.100e+07 1.090e-04 8.040e-03    0.135   0.865
py87i_m2.51 -2.51 1        0 3.120e+03 7.100e+07 1.480e-04 1.090e-02    0.103   0.897
py87i_m2.37 -2.37 1        0 3.390e+03 7.100e+07 2.000e-04 1.470e-02   0.0771   0.923
py87i_m2.24 -2.24 1        0 3.730e+03 7.100e+07 2.710e-04 1.990e-02   0.0564   0.944
py87i_m2.11 -2.11 1        0 4.180e+03 7.100e+07 3.660e-04 2.700e-02   0.0403    0.96
py87i_m1.98 -1.98 1        0 4.830e+03 7.100e+07 4.960e-04 3.650e-02   0.0281   0.972
py87i_m1.85 -1.85 1        0 5.770e+03 7.100e+07 6.700e-04 4.930e-02    0.019   0.981
py87i_m1.72 -1.72 1        0 1.580e+04 7.100e+07 9.070e-04 6.680e-02  0.00735   0.993
py87i_m1.59 -1.59 1        0 1.660e+04 7.100e+07 1.230e-03 9.040e-02   0.0053   0.995
py87i_m1.45 -1.45 1        0 1.720e+04 7.100e+07 1.660e-03 1.220e-01  0.00384   0.996
py87i_m1.32 -1.32 1        0 1.780e+04 7.100e+07 2.250e-03 1.650e-01  0.00279   0.997
py87i_m1.19 -1.19 1        0 1.840e+04 7.100e+07 3.040e-03 2.240e-01  0.00202   0.998
py87i_m1.06 -1.06 1        0 1.900e+04 7.100e+07 4.110e-03 3.030e-01  0.00146   0.999
py87i_m0.93 -0.93 1        0 1.980e+04 7.100e+07 5.570e-03 4.100e-01  0.00105   0.999
py87i_m0.80 -0.80 1        0 2.070e+04 7.100e+07 7.530e-03 5.540e-01 0.000756   0.999
py87i_m0.67 -0.67 1        0 2.170e+04 7.100e+07 1.020e-02 7.500e-01  0.00054   0.999
py87i_m0.54 -0.54 1        0 2.280e+04 7.100e+07 1.380e-02 1.020e+00 0.000385     1.0
py87i_m0.40 -0.40 1        0 2.390e+04 7.100e+07 1.870e-02 1.370e+00 0.000275     1.0
py87i_m0.27 -0.27 1        0 2.500e+04 7.100e+07 2.520e-02 1.860e+00 0.000197     1.0
py87i_m0.14 -0.14 1        0 2.630e+04 7.100e+07 3.420e-02 2.510e+00  0.00014     1.0
py87i_m0.01 -0.01 1        0 2.780e+04 7.100e+07 4.620e-02 3.400e+00 9.94e-05     1.0
py87i_p0.12  0.12 1        0 2.970e+04 7.100e+07 6.250e-02 4.600e+00 6.97e-05     1.0
py87i_p0.25  0.25 1        0 3.240e+04 7.100e+07 8.460e-02 6.230e+00 4.81e-05     1.0
py87i_p0.38  0.38 1        0 3.600e+04 7.100e+07 1.140e-01 8.430e+00 3.25e-05     1.0
py87i_p0.52  0.52 1        0 4.150e+04 7.100e+07 1.550e-01 1.140e+01 2.13e-05     1.0
py87i_p0.65  0.65 1        0 4.970e+04 7.100e+07 2.100e-01 1.540e+01 1.33e-05     1.0
py87i_p0.78  0.78 1        0 6.330e+04 7.100e+07 2.840e-01 2.090e+01 7.78e-06     1.0
py87i_p0.91  0.91 1        0 8.250e+04 7.100e+07 3.840e-01 2.820e+01 4.38e-06     1.0
py87i_p1.04  1.04 1        0 1.030e+05 7.100e+07 5.190e-01 3.820e+01 2.59e-06     1.0
py87i_p1.17  1.17 1        0 1.240e+05 7.100e+07 7.020e-01 5.170e+01 1.62e-06     1.0
py87i_p1.30  1.30 1        0 1.360e+05 7.100e+07 9.500e-01 7.000e+01 1.13e-06     1.0
