                 r                    i01                i02                i03                    i04                    i05 i06 i07 i08 i09 i10 i11 i12 i13 i14
------------------ ---------------------- ------------------ ------------------ ---------------------- ---------------------- --- --- --- --- --- --- --- --- ---
1285502400000000.0  0.0037819497833655857   314583.161293321  733678732.0667126       193404.118283505  6.868231342179202e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1385467200000000.0  0.0025973989294064736 240459.55239771467 434327183.53550476      85702.30903887669 2.2260395468833442e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1485432000000000.0  0.0017085898009237543 179428.05290977392  266682503.1796077     37309.572513931416  6.201600447216429e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1585396800000000.0  0.0007923893724134433 106187.73810060289 169045727.91760692     28826.591439160657 6.3833086093705275e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1685361600000000.0   0.000488936688917573  76130.85872192803 110181303.76284629     14528.214013485764 2.2252561278370404e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1785326400000000.0 0.00027299960180602304 51087.625405162566  73610450.23015162      8921.470471252802 1.1886894891659505e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1885291200000000.0 0.00015618027005092974 34876.749604381905  50271245.76873933       5425.97689602312   5.94352903844924e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1985256000000000.0 0.00010082408559075539 25831.507541503586  35014276.68441341     2881.1132101361354  2.083909837612391e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2085220800000000.0 5.7934049967385404e-05   17692.9729133532 24826130.345543798     1944.8429604501223  1.264445832988867e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2185185600000000.0 3.6543798409962654e-05  12915.19292996312 17887789.893033616     1167.3202200741596  5.630561778053465e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2285150400000000.0  2.085950106954386e-05  8816.051605135513 13079533.978209395      854.2013364396561 3.9355788580308225e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2385115200000000.0 1.2030791441573478e-05  6058.656100827415  9692837.321505107      646.4285483812149 2.9294606220424885e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2485080000000000.0  7.191184632009634e-06  4264.079922931068  7271945.350404665     485.16408296388806 2.1055077506560517e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2585044800000000.0  4.263655405755532e-06 2984.3334483198196  5517918.965188293     382.76251729047135 1.6774977905480556e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2685009600000000.0 2.7344511127444657e-06 2203.6750669462976  4230985.083538959      275.2038105175236 1.0549045368911279e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2784974400000000.0 1.9497233137583972e-06 1748.5367579869069  3275770.334178226     174.44134480758214 4.8606544339113275e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2884939200000000.0 1.2635586973070023e-06 1301.1727873935656  2559276.721710837     130.42799984408137 3.2656504924890478e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2984904000000000.0  8.642030838650704e-07 1003.6968488857012 2016359.1239180237      93.73359034812866  1.982683075123601e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3084868800000000.0  6.003989442230228e-07   782.406297631048 1601140.0546620868      67.83082565359054 1.2124942316828607e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3184833600000000.0 4.4212924919119405e-07  634.6601559170191 1280792.5082414013      46.07294068900854  6.321565296987528e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3284798400000000.0  3.068242432223935e-07 494.52575178440424 1031651.1853031038      34.96338321223567  4.244416127049482e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3384763200000000.0 2.2791825739560377e-07  403.5178344173009  836366.1950673574     24.624707135328634  2.371831484469715e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3484728000000000.0 1.6539477570166286e-07  323.9220203534697  682207.7626243714     18.474409516483224 1.5299460563342055e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3584692800000000.0 1.2412507456190685e-07 266.21478548052676  559675.4835983992     13.346860171814386  8.944570472068556e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3684657600000000.0   9.06198201754512e-08 214.73290165563827  461663.1727963786     10.231984075967128  5.974373600565159e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3784622400000000.0  7.226138523879662e-08 183.90871098956538 382773.86566972174      7.043761892484884  3.079836387943317e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3884587200000000.0  5.190123202955621e-08   146.597531631959  318929.8612020289      5.789416982999496  2.400961978786979e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3984552000000000.0 4.3037347910328184e-08  129.0036906158759  266958.7449515944      3.878885476201116 1.1468436064275322e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4084516800000000.0  3.352073906326093e-08 108.73276277758666 224448.13141007366     2.9085307824191826  7.113851575183774e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4184481600000000.0  2.649063897566785e-08  92.54411496319578 189499.51811059323      2.173501131098838 4.3586486583394445e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4284446400000000.0 2.0941421865299756e-08  78.80485673022147 160633.57509442887     1.6416671263979365 2.7232957023379192e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4384411200000000.0 1.7157409799324026e-08  68.77462024242719   136683.334078354      1.192049368252758 1.5433560326239839e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4484376000000000.0 1.4116845779338599e-08 60.191458523700376  116728.1212775441     0.8727867672578582  8.883892669071897e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4584340800000000.0  1.130128281980668e-08  51.69472929075389 100034.82078188595     0.6747576477039239  5.791392897997606e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4684305600000000.0  9.032051505216746e-09  44.34631066002385   86014.9029955043     0.5293346977785206  3.892159892024847e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4784270400000000.0  7.341954030626438e-09  38.48939359108902  74195.76470219261    0.40958907498287506 2.5226603445468346e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4884235200000000.0  5.816023511615945e-09  32.81337529710131 64197.276133192325     0.3335471030159237 1.8384134383935683e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4984200000000000.0 4.7772727468403955e-09 28.684897504243775  55708.69083665152     0.2597410521723824 1.2009598384946813e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5084164800000000.0  3.984027163057867e-09 25.341627797895278  48478.66818448515    0.19962126237705113  7.578434265328432e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5184129600000000.0 3.3116500625423815e-09 22.333064091842807  42301.42417864986    0.15607680202929405  4.967060518826903e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5284094400000000.0  2.721144844857963e-09 19.524356397246017  37007.71403863447    0.12542115321516842 3.4626547914158627e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5384059200000000.0  2.345496777602681e-09 17.643139979880285 32457.174098252923    0.09465246647240969 2.0751094785069165e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5484024000000000.0  1.905975892333535e-09 15.305705618228595 28535.616550065264    0.07877260230718523  1.562150289970841e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5583988800000000.0 1.6528831774027508e-09 13.888431685230648 25145.724852633695   0.059996502782562994   9.51509713475328e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5683953600000000.0 1.3926152249136668e-09 12.352699747260582 22208.573564982224   0.048135092427928634 6.5355311954068445e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5783918400000000.0 1.1291865722600871e-09 10.698351261746383  19657.32681305102   0.041245179540378596  5.229655372491836e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5883883200000000.0  9.870791532601167e-10  9.763464173370366 17435.104057498902    0.03173095319320714   3.23506162020615e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5983848000000000.0  8.464912960533051e-10  8.789825353561985  15495.51088911722   0.025401212873386543 2.1945957816060543e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6083812800000000.0  7.413381825505763e-10  8.028898077830258 13798.523528069556   0.019858899823246345 1.4049432269540378e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6183777600000000.0  6.311802420254083e-10  7.192670360030585 12310.777848157126   0.016287551395756973 1.0043911829996084e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6283742400000000.0   5.59358093506223e-10  6.623587777750007 11003.384939227191   0.012695461063297917  6.357866125030804e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6383707200000000.0  4.885645623501981e-10  6.038723505361281  9852.342421847072   0.010174338000377299  4.287553234978751e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6483672000000000.0  4.143555306382324e-10  5.393817786101349  8836.984474404828   0.008580522338930502  3.254856271788053e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6583636800000000.0 3.8265340710672116e-10  5.111659188135119  7939.183438784375   0.006404028435992964 1.8481200947159885e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6683601600000000.0  3.387886810334035e-10  4.704141212887936  7144.251055465072  0.0051256796747907556 1.2353568639909333e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6783566400000000.0  3.007009352175407e-10  4.336497162913232  6438.986861709299   0.004112064392444049  8.288166802258918e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6883531200000000.0 2.6789201220106914e-10  4.007847733569976  5812.167937526867  0.0032998729575835013  5.554835093664018e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6983496000000000.0 2.3955282517688424e-10  3.713598602730898  5254.113822239556  0.0026484929948852065  3.717925839825168e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7083460800000000.0  2.126511459051139e-10 3.4237002515744006  4756.479336883545    0.00215934530167462  2.577645823052279e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7183425600000000.0 1.9277704067965626e-10  3.202267237332027  4311.942870720658  0.0017178783944409998  1.684545720479764e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7283390400000000.0 1.6500961614423943e-10   2.87800554396008 3914.3736732730495  0.0014964952904175579 1.3614954477476835e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7383355200000000.0  1.565036265742007e-10  2.777819749088769 3557.9624440254297  0.0011236389302847107  7.737648504567947e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7483320000000000.0   1.43817476899085e-10 2.6227446873038436  3238.208595560818  0.0008890358105959896  4.968482081533398e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7583284800000000.0  1.320721408789668e-10 2.4751192101650683 2950.8760868647637  0.0007075442043856992   3.23006703452459e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7683249600000000.0  1.214382741897195e-10  2.337763158565814  2692.310485671363  0.0005647469610360575 2.1114673045287287e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7783214400000000.0 1.1184966990046517e-10 2.2105516710874715  2459.311495422347 0.00045173921849551106  1.385397258230357e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7883179200000000.0 1.0334979850166927e-10 2.0948607630995832  2249.067941510588  0.0003612622633515342   9.07318561857966e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7983144000000000.0  9.580662219560498e-11 1.9896360675468105 2059.1098927006246  0.0002887971340186228  5.929272150093531e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8083108800000000.0  8.910380739909576e-11 1.8939036466613748 1887.2617496487917  0.0002307554241882629 3.8654787059656384e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8183073600000000.0  8.314003350209134e-11 1.8067819962387999 1731.6041034910393 0.00018427353137614829 2.5135797175315025e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8283038400000000.0  7.782745341178522e-11 1.7274803817141227 1590.4409321101816  0.0001470601918470102  1.630084300598413e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8383003200000000.0  7.310507017986633e-11 1.6554969694223964 1462.2711245954983 0.00011728361596524045 1.0541864873310319e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8482968000000000.0  6.889587470659305e-11 1.5900593819310909 1345.7646219711494  9.346641830442139e-05  6.797695299392397e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
